recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,10,2,0.00225333029466888,0.000519461241525204,0.00567230732366212,0.00938705837819522,0.00155257575869903,0.0262973083214381,0.0369170967857792,0.0352709543673883,0.117870092471356
Dominance,JaroSimilarity,10,5,0.00285154143883303,0.00726475651941463,0.0206721861179624,0.0134878750924664,0.026936739939591,0.0317813167329618,0.0438508366463568,0.0765848347030185,0.223430087190605
Dominance,JaroSimilarity,10,7,0.00312227264390149,0.0160530799373171,0.023060055794307,0.0164058006241703,0.0568044189512183,0.0536797266297442,0.0537935762862999,0.103119912108927,0.326038842975885
Dominance,JaroSimilarity,10,10,0.00341131452886842,0.0165769839433639,0.0305704246756077,0.0269051802426479,0.0678187554542596,0.074972919158551,0.061688751848097,0.129860707082827,0.411805036934223
Dominance,JaroSimilarity,10,0,0.00355127617512876,0.0076673206289534,0.0116571037785541,0.0129981935305102,0.0163941505834135,0.0375258645649489,0.0456868782872406,0.0694811101654036,0.204961897714153
Dominance,JaroSimilarity,15,2,0.00261047315181173,0.00140487790819187,0.00429853678567041,0.00485378003878152,0.00261308050601468,0.00726478582638771,0.036082149895116,0.00764358718330905,0.066771271295283
Dominance,JaroSimilarity,15,5,0.00308071840607059,0.0204914352073566,0.00939130961760223,0.00552740819830319,0.0368122539030492,0.0456511605992823,0.0432869255539541,0.0435018091171909,0.207743020602809
Dominance,JaroSimilarity,15,7,0.00455294489526018,0.0268875668189159,0.0141883689382404,0.0155296216420276,0.0680078815279787,0.0622998316405573,0.0529549378025806,0.0625895823409904,0.307010735606551
Dominance,JaroSimilarity,15,10,0.00458761422126809,0.0282615174969894,0.0185882866669204,0.0281053688110073,0.0815110136610014,0.0853815018780045,0.0827667774312042,0.0982200205416162,0.427422100708012
Dominance,JaroSimilarity,15,0,0.00276988236081975,0.0107751542843413,0.00750867903485592,0.00526094755788407,0.0356516405133574,0.0186939150137066,0.0339254209356028,0.057040055487961,0.171625695188529
