recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,10,2,0.00175166514733444,0.000408878348035329,0.00548080981312976,0.00347916292058821,0.000666186862233323,0.0100759337697649,0.017554564597925,0.0117156636049342,0.0511328650639452
Dominance,JaroSimilarity,10,5,0.00205077071941652,0.0044350585576047,0.0151128401957447,0.00519833011806222,0.0193393427500431,0.0123369141290979,0.0204571023749261,0.0248343172363427,0.103764676081238
Dominance,JaroSimilarity,10,7,0.00221589822671265,0.0131917414123051,0.0168446534493137,0.00658185866504648,0.0293354924336439,0.0228983711726364,0.0255380143715526,0.0289481767011153,0.145554206432326
Dominance,JaroSimilarity,10,10,0.00247405553283248,0.0134435365748146,0.0200817650344934,0.01157830176837,0.0353699167127911,0.0292632593867482,0.0297674722403145,0.0349416632497852,0.176919970500149
Dominance,JaroSimilarity,10,0,0.00243039999232629,0.00658787016482868,0.00733696504547413,0.00491200216199706,0.0128593142814928,0.011260853550012,0.0184712657309147,0.0188066294397843,0.08266530036683
Dominance,JaroSimilarity,15,2,0.0021088080044773,0.001294295014702,0.00379287400034285,0.00195643303237235,0.00100132297176095,0.00509013987438815,0.0179377895081915,0.00295651217154928,0.0361381745777844
Dominance,JaroSimilarity,15,5,0.00241833539351149,0.0179042239756036,0.00725250702854794,0.00212484007225276,0.0226473348518777,0.0231054424835176,0.0198767399194335,0.0117809966145594,0.107110420339304
Dominance,JaroSimilarity,15,7,0.00315444863810628,0.0242608048831604,0.00887612704809645,0.0060393163389991,0.0329779447815549,0.0309613957313481,0.0259056760787561,0.0155962586048701,0.147771972104891
Dominance,JaroSimilarity,15,10,0.00317178330111023,0.0253310061544944,0.0110319307147832,0.0116436702351899,0.0396369308422936,0.0378760070181586,0.031852397763361,0.0225904992593478,0.183134225288739
Dominance,JaroSimilarity,15,0,0.0021885126089813,0.0100981628880606,0.00601222075179712,0.00259734317640065,0.0124745325466104,0.00803521154826892,0.0151352911956547,0.011368780935728,0.0679100556515018
Dominance,JaroSimilarity,20,2,0.0021088080044773,0.0000218941414003731,0.000240862798255507,0.00203067884557466,0.00222519579201154,0.00348260716628481,0.00603078949507039,0.00253668680928495,0.0186775230523595
Dominance,JaroSimilarity,20,5,0.00236579757749815,0.000546780563667686,0.000697539282521847,0.00230773429918824,0.0248300460136391,0.00990879611697458,0.00801292099276349,0.0107129320869778,0.0593825469332309
Dominance,JaroSimilarity,20,7,0.00294254579980477,0.000582376197269964,0.00284215074354738,0.00313739823156357,0.0260620656787489,0.0113084850257529,0.013014667759632,0.0122550470457613,0.0721447364820809
Dominance,JaroSimilarity,20,10,0.00620889085748841,0.000932021290770317,0.00635934671908252,0.00841238230122627,0.0311905224961027,0.0148441976752733,0.0175017156291961,0.0168237599598752,0.102272836929015
Dominance,JaroSimilarity,20,0,0.00558976298319722,0.000599356466682273,0.0014812866425836,0.00492885231341049,0.0149152135259022,0.00270622236752412,0.00647830758162337,0.0113883902753079,0.0480873921562312
Dominance,JaroSimilarity,25,2,0.00213356047972482,0.0000218941414003731,0.000131501468421736,0.00107061740164225,0.00193998558179494,0.00350840405383536,0.0046764660932781,0.00298907123320105,0.0164715004532986
Dominance,JaroSimilarity,25,5,0.00242365728235828,0.00055297612021453,0.00316512856113475,0.00267847717455396,0.0204202570392164,0.00723235095687918,0.00770534116414141,0.0109654062134704,0.0551435945119689
Dominance,JaroSimilarity,25,7,0.00504832919836878,0.00055297612021453,0.00392678304682096,0.00346060328982882,0.0211254005689219,0.00764368569694027,0.012844335755453,0.0132055951188461,0.0678077087953944
Dominance,JaroSimilarity,25,10,0.00795669816972988,0.000795888865603225,0.00678736327592952,0.00866261422180566,0.0245055989635659,0.0108851341470458,0.013720616880652,0.0175342357803888,0.0908481503047208
Dominance,JaroSimilarity,25,0,0.00265116936676149,0.000507140245755691,0.0020703384519097,0.0036091732981037,0.00958581778788431,0.00108490984339821,0.00665047159964943,0.00469174302284347,0.030850763616306
Dominance,JaroSimilarity,30,2,0.00213356047972482,0.0000218941414003731,0.000131501468421736,0.00137622992685852,0.00297908632253388,0.00388157284466352,0.00412916543209753,0.00267596909020295,0.0173289797059033
Dominance,JaroSimilarity,30,5,0.00647081295497235,0.00175387074807777,0.00335072086187558,0.00290136483010737,0.0219812612589157,0.00928145136257914,0.00868327762757601,0.00816485249198476,0.0625876121360887
Dominance,JaroSimilarity,30,7,0.00985931257870819,0.00515523129229546,0.00417799214546206,0.00303820117384026,0.0229554343877412,0.0135362099128522,0.0181380609396617,0.0139513116937531,0.0908117541243142
Dominance,JaroSimilarity,30,10,0.0126595269563209,0.00549877688058774,0.00709059633732946,0.00463310262908884,0.0283281900660983,0.0174168202328183,0.0209682027151376,0.0215941931031971,0.118189408920578
Dominance,JaroSimilarity,30,0,0.00611992096120841,0.000274859583667858,0.00351273157720981,0.00231829525413133,0.00822944797322378,0.0102350370185548,0.0114500100476214,0.0051546706568558,0.0472949730724732
