recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,JaroSimilarity,10,2,0.0022533302946688774,5.194612415252035E-4,0.0056723073236621185,0.009387058378195215,0.001552575758699032,0.026297308321438152,0.036917096785779195,0.03527095436738828
Dominance,JaroSimilarity,10,5,0.0028515414388330324,0.007264756519414627,0.020672186117962385,0.013487875092466378,0.026936739939590983,0.03178131673296178,0.043850836646356806,0.07658483470301851
Dominance,JaroSimilarity,10,7,0.0031222726439014857,0.01605307993731708,0.023060055794306963,0.016405800624170252,0.05680441895121832,0.05367972662974419,0.05379357628629988,0.10311991210892664
Dominance,JaroSimilarity,10,10,0.003411314528868424,0.016576983943363943,0.030570424675607683,0.026905180242647913,0.06781875545425961,0.07497291915855096,0.061688751848096995,0.12986070708282743
Dominance,JaroSimilarity,10,0,0.0035512761751287647,0.007667320628953395,0.011657103778554126,0.012998193530510196,0.016394150583413546,0.03752586456494893,0.04568687828724059,0.06948111016540358
Dominance,JaroSimilarity,15,2,0.002610473151811734,0.0014048779081918701,0.004298536785670411,0.004853780038781517,0.00261308050601468,0.007264785826387708,0.03608214989511596,0.007643587183309053
Dominance,JaroSimilarity,15,5,0.003080718406070595,0.020491435207356596,0.009391309617602225,0.005527408198303186,0.03681225390304916,0.04565116059928229,0.04328692555395412,0.04350180911719094
Dominance,JaroSimilarity,15,7,0.004552944895260177,0.026887566818915947,0.014188368938240398,0.015529621642027643,0.06800788152797867,0.06229983164055725,0.05295493780258063,0.06258958234099038
Dominance,JaroSimilarity,15,10,0.004587614221268086,0.028261517496989366,0.018588286666920407,0.028105368811007298,0.08151101366100144,0.08538150187800446,0.08276677743120418,0.0982200205416162
Dominance,JaroSimilarity,15,0,0.0027698823608197465,0.010775154284341332,0.0075086790348559244,0.005260947557884068,0.0356516405133574,0.01869391501370655,0.033925420935602794,0.057040055487961
Dominance,JaroSimilarity,20,2,0.002610473151811734,4.3788282800746276E-5,6.388082339086117E-4,0.0049936262317041135,0.004549918059603421,0.0037611586983182332,0.013750513379238168,0.005810169338285066
Dominance,JaroSimilarity,20,5,0.0029756427740439285,0.0010651520364262802,0.0014310311946262937,0.006101848046158419,0.0497228605248661,0.02844780767040936,0.021779211610929574,0.03518459309645693
Dominance,JaroSimilarity,20,7,0.004129139218657153,0.0011719389372331144,0.006634853277579904,0.009009994744461057,0.05595018537689979,0.03631317180691563,0.02772604178384836,0.04104969374577182
Dominance,JaroSimilarity,20,10,0.010434556606751706,0.001908385291048373,0.013568956443546068,0.026748784663643426,0.0704172636416735,0.04542343498314177,0.05368432852082009,0.058137509051040905
Dominance,JaroSimilarity,20,0,0.00925133999711257,0.0010879039238809976,0.002947473243173731,0.01690145834922016,0.02551702606506821,0.014886301047529901,0.01897606522436925,0.041181113925367836
Dominance,JaroSimilarity,25,2,0.002635225627059259,4.3788282800746276E-5,3.1072424440729943E-4,0.0030735033438392895,0.004167294205685317,0.003900634994388934,0.009738400718764098,0.008976860305697765
Dominance,JaroSimilarity,25,5,0.003101381042792942,0.001083738706066814,0.008833799030464995,0.0068167703924753645,0.033192496684246224,0.015076073728250323,0.02003410695382602,0.038244959503943916
Dominance,JaroSimilarity,25,7,0.00835072487481394,0.001083738706066814,0.009888750187400635,0.009052393487132044,0.034910714598724,0.01609680053434751,0.026973301654812428,0.04938526062909833
Dominance,JaroSimilarity,25,10,0.011440190090263407,0.001499988015547097,0.014750248011333263,0.02643951799245085,0.042827020254779226,0.02339191033603347,0.030679064828596152,0.06637138079105764
Dominance,JaroSimilarity,25,0,0.0034431706738598626,0.001118292402789303,0.005163663266399247,0.008807431815398125,0.014160151089492598,0.0036863268724210124,0.01632569705936736,0.020141068202441024
