recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,2.1091171299564176E-4,9.195126517282498E-4,5.5778012600867486E-5,3.1258887415238626E-4,0.0014987912514771453
Dominance,JaroSimilarity,10,5,7.406784335947108E-4,0.0017785887387798043,2.5925989836223537E-4,0.0017724708889580744,0.004550997959694825
Dominance,JaroSimilarity,10,7,0.0010267234099459752,0.0032180504928877194,5.444825991370659E-4,0.0023869176785078494,0.00717617418047861
Dominance,JaroSimilarity,10,10,0.0017864536481777512,0.004129142676278388,0.0010792266450713262,0.003001910883941647,0.009996733853469112
Dominance,JaroSimilarity,10,SizeOfTestSet,0.05682484603620389,0.04245061671505432,0.020534771394674647,0.04279344424488384,0.16260367839081669
Dominance,JaroSimilarity,15,2,3.51678811137027E-4,4.166555730985114E-4,7.635612368813811E-4,2.60853184953654E-4,0.0017927488060705736
Dominance,JaroSimilarity,15,5,0.001122627898476505,0.0012547178311540764,0.001373683785595643,0.0010454039564003186,0.004796433471626543
Dominance,JaroSimilarity,15,7,0.0014839852614254062,0.0016070960112343662,0.0017199931119664656,0.001668087912685941,0.0064791622973121785
Dominance,JaroSimilarity,15,10,0.002094040145740105,0.00314369008932502,0.0022046779784518867,0.0025977378905446074,0.010040146104061618
Dominance,JaroSimilarity,15,SizeOfTestSet,0.05260621336975751,0.0404439080595587,0.02188584112741808,0.025386784404902635,0.14032274696163693
Dominance,JaroSimilarity,20,2,9.811038082841295E-5,5.499334789246527E-4,7.581952566294433E-4,3.0170998458370747E-4,0.0017079491009662166
Dominance,JaroSimilarity,20,5,7.321824556240416E-4,5.860258303918409E-4,0.0016021386946499239,6.811111279649404E-4,0.003601458108630747
Dominance,JaroSimilarity,20,7,0.0010292559537293552,6.180054139485398E-4,0.0020913705517468808,9.657945864345427E-4,0.004704426505859319
Dominance,JaroSimilarity,20,10,0.0015311820850297917,8.399252808080844E-4,0.002543997961360777,0.0016027677246866106,0.006517873051885264
Dominance,JaroSimilarity,20,SizeOfTestSet,0.05662214037438488,0.012585273727131767,0.028586174134506235,0.02859200322798427,0.12638559146400716
Dominance,JaroSimilarity,25,2,1.6739360012699308E-4,1.558767380471486E-4,1.883767499031141E-5,3.445049118025727E-4,6.866129249670258E-4
Dominance,JaroSimilarity,25,5,0.0010367389756493629,3.700074528876854E-4,6.426450256568528E-4,0.0011920038958380145,0.0032413953500319156
Dominance,JaroSimilarity,25,7,0.0014307793029604966,4.091524212198458E-4,9.001280043039617E-4,0.0015573212289825885,0.004297380957466892
Dominance,JaroSimilarity,25,10,0.001927095244083823,5.858873071083885E-4,0.0019599941269879133,0.002973231697041604,0.007446208375221729
Dominance,JaroSimilarity,25,SizeOfTestSet,0.05830816840341683,0.008594251831949186,0.024938043783970444,0.029780195748896118,0.12162065976823258
Dominance,JaroSimilarity,30,2,3.0439451905679504E-4,5.861213881264007E-5,1.6621287658761538E-4,2.7205851827770037E-4,8.012780527347509E-4
Dominance,JaroSimilarity,30,5,7.825765457217546E-4,2.1479876874259577E-4,6.342143814664581E-4,7.231671747190534E-4,0.0023547568706498616
Dominance,JaroSimilarity,30,7,0.001154788202331657,3.0070067700299576E-4,8.227564656472665E-4,9.578570243188015E-4,0.003236102369300721
Dominance,JaroSimilarity,30,10,0.001785920879382027,6.071865823679473E-4,0.0011733315903832901,0.0015023132143425788,0.005068752266475843
Dominance,JaroSimilarity,30,SizeOfTestSet,0.05743198279030432,0.009404497555416306,0.017982851627253146,0.02733444074426378,0.11215377271723755
Dominance,JaroSimilarity,40,2,0.0018969144538868987,2.0879857692769852E-4,5.971002955943953E-5,1.8511190508983854E-4,0.0023505349654638756
Dominance,JaroSimilarity,40,5,0.0024226823722361,6.346325616896505E-4,5.072630857819002E-4,7.935073998530927E-4,0.004358085419560743
Dominance,JaroSimilarity,40,7,0.002604638294972468,8.694345797788536E-4,7.345427507445622E-4,0.0010265783403828267,0.005235193965878711
Dominance,JaroSimilarity,40,10,0.006096339876256478,0.0011908792030242482,0.0010867920488660235,0.001432297459094354,0.009806308587241103
Dominance,JaroSimilarity,40,SizeOfTestSet,0.05610420645345056,0.018917941616087765,0.020034624511365208,0.02483080343074351,0.11988757601164704
Dominance,JaroSimilarity,50,2,0.001919452204619376,4.703115814226925E-6,1.363019334812759E-4,3.7703405745714304E-4,0.002437491311372022
Dominance,JaroSimilarity,50,5,0.002544492151291553,1.223697525461889E-4,5.266828088368582E-4,0.0011815106895718731,0.004375055402246473
Dominance,JaroSimilarity,50,7,0.002693957336549883,2.5707139683459756E-4,7.309168051078184E-4,0.0014815184444036665,0.005163463982895965
Dominance,JaroSimilarity,50,10,0.00524889023015904,4.014185144318657E-4,0.0012098591843312245,0.0020269380237600194,0.00888710595268215
Dominance,JaroSimilarity,50,SizeOfTestSet,0.052830370346860944,0.015386954114271113,0.019375615359249636,0.04057069141413757,0.12816363123451927
Dominance,JaroSimilarity,5,2,4.4619521590231917E-4,0.0015854349459133205,2.2370098949082306E-4,8.42881629175363E-5,0.0023396193142239986
Dominance,JaroSimilarity,5,5,0.001056424858401971,0.002317572596945888,3.1730694128717597E-4,1.98293084784499E-4,0.0038895974814195343
Dominance,JaroSimilarity,5,7,0.0013063398357245476,0.002629998339491236,3.384509476752072E-4,5.373410707216885E-4,0.004812130193612679
Dominance,JaroSimilarity,5,10,0.0016514925199690317,0.0030372718127861286,4.865655531804227E-4,0.0016888232359159093,0.006864153121851492
Dominance,JaroSimilarity,5,SizeOfTestSet,0.05473306397869104,0.032673337493326786,0.020153934797074335,0.03752874900822451,0.14508908527731668
Dominance,JaroSimilarity,60,2,0.0018969144538868987,2.545018558735762E-4,1.356461769321281E-4,4.2779578943363724E-4,0.00271485827612624
Dominance,JaroSimilarity,60,5,0.002084881777909567,3.1857292241237807E-4,3.8766671984187415E-4,0.0011907593773716058,0.003981880797535425
Dominance,JaroSimilarity,60,7,0.002292313007763818,4.3503633999972014E-4,5.74941357991853E-4,0.0016959974594063679,0.004998288165161759
Dominance,JaroSimilarity,60,10,0.005098981434772137,7.08244848330456E-4,8.992206365109626E-4,0.0024072373073025714,0.009113684226916129
Dominance,JaroSimilarity,60,SizeOfTestSet,0.046425717646211034,0.014147734124558118,0.015643442856941293,0.03617314056151568,0.11239003518922613
Dominance,JaroSimilarity,8,2,3.5746583273811887E-4,0.0010781470902706842,3.77528140936049E-4,0.0045688326661752245,0.006381973730120076
Dominance,JaroSimilarity,8,5,0.0011789761975777894,0.001510161344755123,9.493089614891902E-4,0.005846236366899703,0.009484682870721805
Dominance,JaroSimilarity,8,7,0.0016249924369478148,0.0016514024879154708,0.0011160277981568847,0.005943797475932141,0.01033622019895231
Dominance,JaroSimilarity,8,10,0.002408544906654166,0.002743954454727783,0.001291680689324161,0.00642014250745662,0.01286432255816273
Dominance,JaroSimilarity,8,SizeOfTestSet,0.04878121895757947,0.03911077133452941,0.019854104311149562,0.04353188568556626,0.1512779802888247
Dominance,LCS-Ponderado,10,2,0.001040026461543667,0.0016529909542896978,0.0020379520187349407,0.007241739247559541,0.011972708682127846
Dominance,LCS-Ponderado,10,5,0.001673867126012895,0.0027906901827496823,0.00596049760858426,0.008790673733764262,0.019215728651111097
Dominance,LCS-Ponderado,10,7,0.0020320297253210305,0.0034036686370919993,0.007469952442206549,0.010346273299864213,0.02325192410448379
Dominance,LCS-Ponderado,10,10,0.0025000941134055116,0.0042424117386903855,0.008524050468137758,0.011135312181695957,0.02640186850192961
Dominance,LCS-Ponderado,10,SizeOfTestSet,0.04081274968111527,0.03838107312675385,0.04203862668916692,0.061743670349183315,0.18297611984621936
Dominance,LCS-Ponderado,15,2,5.604520298161744E-4,0.0013424267921935491,0.0021404475305069224,0.00938562430974036,0.013428950662257006
Dominance,LCS-Ponderado,15,5,0.0018275074924605662,0.0028107036443322,0.0038795644999889585,0.010889808887657471,0.019407584524439195
Dominance,LCS-Ponderado,15,7,0.0020739383213939336,0.0031487788318717395,0.004937204709935958,0.011990996201270435,0.022150918064472065
Dominance,LCS-Ponderado,15,10,0.002777694473227775,0.004311579953029536,0.005921837559743361,0.013144813630794944,0.026155925616795618
Dominance,LCS-Ponderado,15,SizeOfTestSet,0.043768948572173685,0.02929897152878209,0.03445792919413995,0.054511996453543834,0.16203784574863955
Dominance,LCS-Ponderado,20,2,8.914919445234096E-4,0.0019200329130880018,0.001447170326458524,0.009502170476482982,0.013760865660552919
Dominance,LCS-Ponderado,20,5,0.0015949819165943311,0.003240744900979292,0.0030345034523894753,0.011749061894124817,0.019619292164087913
Dominance,LCS-Ponderado,20,7,0.0022734081958515253,0.0038655730404475396,0.0043363708625917,0.012800635438279872,0.02327598753717064
Dominance,LCS-Ponderado,20,10,0.0025498929637148065,0.004576864201658301,0.0049144557599040285,0.014307000319812432,0.02634821324508957
Dominance,LCS-Ponderado,20,SizeOfTestSet,0.03910041791894788,0.030981626803869726,0.03477973398690843,0.05197558662634079,0.15683736533606685
Dominance,LCS-Ponderado,25,2,8.114564913956216E-4,0.0015199329679249334,0.001236647070096076,0.009618103899590818,0.01318614042900745
Dominance,LCS-Ponderado,25,5,0.001954149478134985,0.003096480189861697,0.0035392134838604624,0.011117038770245904,0.01970688192210305
Dominance,LCS-Ponderado,25,7,0.0022806977887801848,0.004100134835395218,0.004471646096146801,0.01229371841520904,0.023146197135531243
Dominance,LCS-Ponderado,25,10,0.002924441305162846,0.005183938383610456,0.006484580000395351,0.013278404771689989,0.02787136446085864
Dominance,LCS-Ponderado,25,SizeOfTestSet,0.04280027046334937,0.03008267038494842,0.03276960611700914,0.050694309709698286,0.15634685667500522
Dominance,LCS-Ponderado,30,2,0.0014193702897926876,0.0017810337206782582,0.0011425240976399925,0.009551068012366708,0.013893996120477646
Dominance,LCS-Ponderado,30,5,0.0020678613210152637,0.0031854516127298245,0.002201433551629046,0.010769489664423178,0.01822423614979731
Dominance,LCS-Ponderado,30,7,0.0024598032763818575,0.004197156276605855,0.0028736377441933147,0.012530044166641852,0.022060641463822882
Dominance,LCS-Ponderado,30,10,0.0029450997789720475,0.005152893844813137,0.0036628871375681176,0.013548931691921395,0.025309812453274697
Dominance,LCS-Ponderado,30,SizeOfTestSet,0.04294458468222938,0.03153905129495463,0.029000992761100016,0.04766118784063883,0.15114581657892284
Dominance,LCS-Ponderado,40,2,0.0014717960077868628,0.0010485712828120206,0.0014000153347629692,0.010046585617994347,0.0139669682433562
Dominance,LCS-Ponderado,40,5,0.001946597076131924,0.003372047862194174,0.0023175244357990167,0.011237987534433412,0.018874156908558527
Dominance,LCS-Ponderado,40,7,0.002170530920317956,0.004270529959157097,0.003840942497868142,0.012397138412719912,0.022679141790063105
Dominance,LCS-Ponderado,40,10,0.002875993501023735,0.005416072475753413,0.005784385411384232,0.013179263781499332,0.027255715169660712
Dominance,LCS-Ponderado,40,SizeOfTestSet,0.04109064484710193,0.02847941221171577,0.0307535154730319,0.044818304065677876,0.14514187659752747
Dominance,LCS-Ponderado,50,2,0.0015780615782982393,7.270297477021398E-4,0.0010818179664481115,0.010866291444789193,0.014253200737237685
Dominance,LCS-Ponderado,50,5,0.002363173757759889,0.0014378910158684096,0.0016995480344296318,0.012221915761108244,0.017722528569166174
Dominance,LCS-Ponderado,50,7,0.002639366723836427,0.0018449418897596378,0.002472061531893826,0.013428914099186933,0.020385284244676824
Dominance,LCS-Ponderado,50,10,0.0031651558432342916,0.002240379414933586,0.0033413624832593393,0.014613784668726022,0.02336068241015324
Dominance,LCS-Ponderado,50,SizeOfTestSet,0.04192540128269403,0.024473074773411572,0.025610680618119018,0.0454495522726076,0.13745870894683224
Dominance,LCS-Ponderado,5,2,8.669594702363559E-4,0.002776421006417859,0.0011989137536913626,0.004876304081725523,0.0097185983120711
Dominance,LCS-Ponderado,5,5,0.0019298639059225145,0.0036306348383032187,0.0037940372699892958,0.006566547841127993,0.01592108385534302
Dominance,LCS-Ponderado,5,7,0.0022667933630859524,0.004152330090264119,0.004512275474308236,0.008096656678881525,0.019028055606539834
Dominance,LCS-Ponderado,5,10,0.0025887171257850785,0.005010401191569194,0.005164124679384827,0.00909591172643943,0.02185915472317853
Dominance,LCS-Ponderado,5,SizeOfTestSet,0.05214898186935399,0.04884304656822555,0.050234543330024695,0.0825462288500611,0.23377280061766534
Dominance,LCS-Ponderado,60,2,0.0018089988528638811,9.780200507050892E-4,0.0012526895648822427,0.012049587139252234,0.016089295607703447
Dominance,LCS-Ponderado,60,5,0.0023479454495544294,0.0017265673301951191,0.002012569516234795,0.012875075444201578,0.01896215774018592
