method,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance_JaroSimilarity,10,2,2.1091171299564176E-4,4.597563258641249E-4,1.859267086695583E-5,7.814721853809656E-5,7.674079282648191E-4
Dominance_JaroSimilarity,10,5,7.406784335947108E-4,8.892943693899021E-4,8.641996612074513E-5,4.431177222395186E-4,0.0021595104913448766
Dominance_JaroSimilarity,10,7,0.0010267234099459752,0.0016090252464438597,1.814941997123553E-4,5.967294196269624E-4,0.0034139722757291525
Dominance_JaroSimilarity,10,10,0.0017864536481777512,0.002064571338139194,3.597422150237754E-4,7.504777209854117E-4,0.004961244922326132
Dominance_JaroSimilarity,10,SizeOfTestSet,0.05682484603620389,0.02122530835752716,0.006844923798224883,0.01069836106122096,0.0955934392531769
Dominance_JaroSimilarity,15,2,3.51678811137027E-4,2.083277865492557E-4,2.545204122937937E-4,6.52132962384135E-5,8.7974030621849E-4
Dominance_JaroSimilarity,15,5,0.001122627898476505,6.273589155770382E-4,4.578945951985476E-4,2.6135098910007966E-4,0.0024692323983521703
Dominance_JaroSimilarity,15,7,0.0014839852614254062,8.035480056171831E-4,5.733310373221552E-4,4.170219781714853E-4,0.00327788628253623
Dominance_JaroSimilarity,15,10,0.002094040145740105,0.00157184504466251,7.348926594839622E-4,6.494344726361518E-4,0.005050212322522729
Dominance_JaroSimilarity,15,SizeOfTestSet,0.05260621336975751,0.02022195402977935,0.007295280375806026,0.006346696101225659,0.08647014387656854
Dominance_JaroSimilarity,20,2,9.811038082841295E-5,2.7496673946232636E-4,2.527317522098144E-4,7.542749614592687E-5,7.012363686464806E-4
Dominance_JaroSimilarity,20,5,7.321824556240416E-4,2.9301291519592045E-4,5.340462315499747E-4,1.702777819912351E-4,0.001729519384361172
Dominance_JaroSimilarity,20,7,0.0010292559537293552,3.090027069742699E-4,6.971235172489603E-4,2.4144864660863568E-4,0.002276830824561221
Dominance_JaroSimilarity,20,10,0.0015311820850297917,4.199626404040422E-4,8.479993204535924E-4,4.0069193117165265E-4,0.003199835977059079
Dominance_JaroSimilarity,20,SizeOfTestSet,0.05662214037438488,0.006292636863565884,0.009528724711502078,0.007148000806996068,0.07959150275644891
Dominance_JaroSimilarity,25,2,1.6739360012699308E-4,7.79383690235743E-5,6.27922499677047E-6,8.612622795064318E-5,3.3773742209798103E-4
Dominance_JaroSimilarity,25,5,0.0010367389756493629,1.850037264438427E-4,2.1421500855228426E-4,2.9800097395950363E-4,0.0017339586846049936
Dominance_JaroSimilarity,25,7,0.0014307793029604966,2.045762106099229E-4,3.0004266810132056E-4,3.893303072456471E-4,0.0023247284889173873
Dominance_JaroSimilarity,25,10,0.001927095244083823,2.9294365355419426E-4,6.533313756626378E-4,7.43307924260401E-4,0.003616678197561056
Dominance_JaroSimilarity,25,SizeOfTestSet,0.05830816840341683,0.004297125915974593,0.00831268126132348,0.007445048937224029,0.07836302451793893
Dominance_JaroSimilarity,30,2,3.0439451905679504E-4,2.9306069406320033E-5,5.5404292195871794E-5,6.801462956942509E-5,4.5711951022841196E-4
Dominance_JaroSimilarity,30,5,7.825765457217546E-4,1.0739938437129789E-4,2.1140479382215268E-4,1.8079179367976335E-4,0.0012821725175949687
Dominance_JaroSimilarity,30,7,0.001154788202331657,1.5035033850149788E-4,2.742521552157555E-4,2.3946425607970038E-4,0.0018188549521286107
Dominance_JaroSimilarity,30,10,0.001785920879382027,3.0359329118397364E-4,3.9111053012776337E-4,3.755783035856447E-4,0.0028562030042794083
Dominance_JaroSimilarity,30,SizeOfTestSet,0.05743198279030432,0.004702248777708153,0.0059942838757510485,0.006833610186065945,0.07496212562982947
Dominance_JaroSimilarity,40,2,0.0018969144538868987,1.0439928846384926E-4,1.9903343186479844E-5,4.6277976272459634E-5,0.0020674950618096875
Dominance_JaroSimilarity,40,5,0.0024226823722361,3.1731628084482526E-4,1.690876952606334E-4,1.9837684996327318E-4,0.0031074631983048313
Dominance_JaroSimilarity,40,7,0.002604638294972468,4.347172898894268E-4,2.4484758358152075E-4,2.566445850957067E-4,0.0035408477535391223
Dominance_JaroSimilarity,40,10,0.006096339876256478,5.954396015121241E-4,3.622640162886745E-4,3.580743647735885E-4,0.007412117858830866
Dominance_JaroSimilarity,40,SizeOfTestSet,0.05610420645345056,0.009458970808043882,0.00667820817045507,0.006207700857685877,0.07844908628963539
Dominance_JaroSimilarity,50,2,0.001919452204619376,2.3515579071134626E-6,4.5433977827091965E-5,9.425851436428576E-5,0.0020614962547178674
Dominance_JaroSimilarity,50,5,0.002544492151291553,6.118487627309445E-5,1.7556093627895273E-4,2.953776723929683E-4,0.0030766156362365686
Dominance_JaroSimilarity,50,7,0.002693957336549883,1.2853569841729878E-4,2.4363893503593945E-4,3.703796111009166E-4,0.0034365115811040375
Dominance_JaroSimilarity,50,10,0.00524889023015904,2.0070925721593286E-4,4.0328639477707484E-4,5.067345059400048E-4,0.006359620388092053
Dominance_JaroSimilarity,50,SizeOfTestSet,0.052830370346860944,0.0076934770571355565,0.006458538453083212,0.010142672853534393,0.0771250587106141
Dominance_JaroSimilarity,5,2,4.4619521590231917E-4,7.927174729566602E-4,7.456699649694103E-5,2.1072040729384076E-5,0.0013345517260853045
Dominance_JaroSimilarity,5,5,0.001056424858401971,0.001158786298472944,1.0576898042905867E-4,4.957327119612475E-5,0.0023705534085000984
Dominance_JaroSimilarity,5,7,0.0013063398357245476,0.001314999169745618,1.128169825584024E-4,1.3433526768042212E-4,0.00286849125570899
