recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
Dominance,JaroSimilarity,10,2,2.9829545454545457E-4,2.2116578697974897E-4,0.0,5.194612415252035E-4
Dominance,JaroSimilarity,10,5,0.0017424242424242426,0.005111141337101999,4.1119093988838514E-4,0.007264756519414627
Dominance,JaroSimilarity,10,7,0.010483286815523657,0.005111141337101999,4.5865178469142265E-4,0.01605307993731708
Dominance,JaroSimilarity,10,10,0.010599027556264398,0.005111141337101999,8.668150499975451E-4,0.016576983943363943
Dominance,JaroSimilarity,10,0,0.005961174242424243,3.4788276136829896E-4,0.001358263625160853,0.007667320628953395
Dominance,JaroSimilarity,15,2,0.0011837121212121212,2.2116578697974897E-4,0.0,0.0014048779081918701
Dominance,JaroSimilarity,15,5,0.015332833025451558,0.005111141337101999,4.74608448030375E-5,0.020491435207356596
Dominance,JaroSimilarity,15,7,0.021669638581007115,0.005111141337101999,1.0678690080683436E-4,0.026887566818915947
Dominance,JaroSimilarity,15,10,0.022587965148971375,0.005111141337101999,5.624110109159943E-4,0.028261517496989366
Dominance,JaroSimilarity,15,0,0.00966733047385621,3.693468642561808E-4,7.384769462289423E-4,0.010775154284341332
Dominance,JaroSimilarity,20,2,0.0,4.3788282800746276E-5,0.0,4.3788282800746276E-5
Dominance,JaroSimilarity,20,5,2.840909090909091E-5,0.0010367429455171893,0.0,0.0010651520364262802
Dominance,JaroSimilarity,20,7,2.840909090909091E-5,0.0010367429455171893,1.0678690080683436E-4,0.0011719389372331144
Dominance,JaroSimilarity,20,10,1.642786561264822E-4,0.0011182425380192268,6.258640969026639E-4,0.001908385291048373
Dominance,JaroSimilarity,20,0,3.0014822134387354E-4,2.1973806695614793E-4,5.680176355809762E-4,0.0010879039238809976
Dominance,JaroSimilarity,25,2,0.0,4.3788282800746276E-5,0.0,4.3788282800746276E-5
Dominance,JaroSimilarity,25,5,2.840909090909091E-5,0.0010367429455171893,1.8586669640533807E-5,0.001083738706066814
Dominance,JaroSimilarity,25,7,2.840909090909091E-5,0.0010367429455171893,1.8586669640533807E-5,0.001083738706066814
Dominance,JaroSimilarity,25,10,1.642786561264822E-4,0.0011182425380192268,2.1746682140138808E-4,0.001499988015547097
Dominance,JaroSimilarity,25,0,1.0775862068965517E-4,3.75222186196919E-4,6.353115959027288E-4,0.001118292402789303
Dominance,JaroSimilarity,30,2,0.0,4.3788282800746276E-5,0.0,4.3788282800746276E-5
Dominance,JaroSimilarity,30,5,2.840909090909091E-5,0.0010367429455171893,0.0036212705532302626,0.004686422589656543
Dominance,JaroSimilarity,30,7,2.840909090909091E-5,0.0010367429455171893,0.013825352185883323,0.014890504222309604
Dominance,JaroSimilarity,30,10,1.642786561264822E-4,0.0011182425380192268,0.014326130866354935,0.015608652060500643
Dominance,JaroSimilarity,30,0,0.0,3.4727946876764897E-4,3.036595478521018E-4,6.509390166197508E-4
Dominance,JaroSimilarity,40,2,0.0,0.0,0.0034638735877125966,0.0034638735877125966
Dominance,JaroSimilarity,40,5,2.840909090909091E-5,0.0010367429455171893,0.0041187948524860265,0.005183946888912307
Dominance,JaroSimilarity,40,7,2.840909090909091E-5,0.0010367429455171893,0.004210723515843262,0.005275875552269542
Dominance,JaroSimilarity,40,10,4.5310441370223975E-4,0.0011182425380192268,0.004242315099845283,0.00581366205156675
Dominance,JaroSimilarity,40,0,0.0,2.9477099386660655E-4,0.004255394986203307,0.004550165980069914
Dominance,JaroSimilarity,50,2,0.0,0.0,2.4470219742573287E-5,2.4470219742573287E-5
Dominance,JaroSimilarity,50,5,2.840909090909091E-5,6.169358235671074E-4,2.4470219742573287E-5,6.698151342187716E-4
Dominance,JaroSimilarity,50,7,2.840909090909091E-5,6.169358235671074E-4,2.4470219742573287E-5,6.698151342187716E-4
Dominance,JaroSimilarity,50,10,4.2499346917450364E-4,6.984354160691449E-4,8.053202348716842E-5,0.001203960908730817
Dominance,JaroSimilarity,50,0,4.028975095785441E-4,6.134805413043483E-4,4.326672260912361E-4,0.0014490452769741285
Dominance,JaroSimilarity,5,2,7.657099844599845E-4,2.2116578697974897E-4,0.0,9.868757714397334E-4
Dominance,JaroSimilarity,5,5,8.814507252007251E-4,0.005111141337101999,4.2674993494665626E-4,0.00641934199724938
Dominance,JaroSimilarity,5,7,8.814507252007251E-4,0.006129886243377468,4.2674993494665626E-4,0.007438086903524849
Dominance,JaroSimilarity,5,10,0.0015975965585340584,0.010273828363671461,0.001920485222592951,0.013791910144798471
