recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,JaroSimilarity,10,2,1.0900370612600829E-4,6.236305410416315E-4,5.633896995453059E-4,1.252191334835963E-4,1.3133267850248982E-4,0.0,0.001552575758699032
Dominance,JaroSimilarity,10,5,0.014421704161115509,0.007067877376554153,0.0021130973018844874,2.504382669671926E-4,0.0030836228330696405,0.0,0.026936739939590983
Dominance,JaroSimilarity,10,7,0.014421704161115509,0.02047659031413848,0.0021130973018844874,2.504382669671926E-4,0.019542588907112662,0.0,0.05680441895121832
Dominance,JaroSimilarity,10,10,0.016563044262276436,0.02686799051363149,0.0034288867755686977,7.62963092388424E-4,0.02019587081039457,0.0,0.06781875545425961
Dominance,JaroSimilarity,10,0,0.011000290676549668,0.0020943396026825594,8.771929824561404E-4,6.998135687628014E-4,0.0017225137529623786,0.0,0.016394150583413546
Dominance,JaroSimilarity,15,2,1.0900370612600829E-4,6.236305410416315E-4,0.0014035087719298245,3.456048084147258E-4,1.3133267850248982E-4,0.0,0.00261308050601468
Dominance,JaroSimilarity,15,5,0.014421704161115509,0.007067877376554153,0.011929824561403509,7.302850911080207E-4,0.002662562712867976,0.0,0.03681225390304916
Dominance,JaroSimilarity,15,7,0.014421704161115509,0.02047659031413848,0.011929824561403509,0.00210769555942758,0.01907206693189359,0.0,0.06800788152797867
Dominance,JaroSimilarity,15,10,0.01651308423030201,0.02686799051363149,0.013955202565042384,0.004063397928464504,0.020111338423561047,0.0,0.08151101366100144
Dominance,JaroSimilarity,15,0,0.003697042366107114,0.0036157444417497775,0.009347281246594747,0.0011108610463139465,0.017880711412591815,0.0,0.0356516405133574
Dominance,JaroSimilarity,20,2,1.0900370612600829E-4,0.004050120525765225,0.0,2.594611492096986E-4,1.3133267850248982E-4,0.0,0.004549918059603421
Dominance,JaroSimilarity,20,5,0.014421704161115509,0.005778249879042058,0.011929824561403509,4.79846824140828E-4,0.01711323509916419,0.0,0.0497228605248661
Dominance,JaroSimilarity,20,7,0.014421704161115509,0.005975858810965781,0.011929824561403509,6.050659576244242E-4,0.020648063639345068,0.002369668246445498,0.05595018537689979
Dominance,JaroSimilarity,20,10,0.01651308423030201,0.006930968648597109,0.013391812865497076,0.0025216928523827792,0.0282292679727513,0.002830437072143233,0.0704172636416735
Dominance,JaroSimilarity,20,0,0.008244779272075082,0.006815761349723932,0.008631815044858522,5.824873344892562E-4,9.788865920941393E-4,2.6329647182727755E-4,0.02551702606506821
Dominance,JaroSimilarity,25,2,1.0900370612600829E-4,0.0031041069723018143,5.633896995453059E-4,2.594611492096986E-4,1.3133267850248982E-4,0.0,0.004167294205685317
Dominance,JaroSimilarity,25,5,0.014471664193089932,0.00482803804057807,0.0014405826820014461,0.011278744895766172,0.0011734668728105972,0.0,0.033192496684246224
Dominance,JaroSimilarity,25,7,0.014471664193089932,0.005778249879042058,0.00196689847147513,0.011403964029249767,0.001289938025867116,0.0,0.034910714598724
Dominance,JaroSimilarity,25,10,0.016563044262276436,0.005975858810965781,0.003240916850756667,0.011403964029249767,0.002483678639603239,0.00315955766192733,0.042827020254779226
Dominance,JaroSimilarity,25,0,0.0078402976625575,0.0014394869695729293,4.437724746649232E-4,3.9075474278569056E-5,0.004054915870378364,3.426026380403129E-4,0.014160151089492598
Dominance,JaroSimilarity,30,2,1.0900370612600829E-4,0.0031041069723018143,5.633896995453059E-4,0.002245989304812834,0.0028436761876932818,0.0,0.008866165870479243
Dominance,JaroSimilarity,30,5,0.014421704161115509,0.00482803804057807,0.0014405826820014461,0.01326527305136931,0.006329396665368897,4.988775255674732E-4,0.04078387212600071
Dominance,JaroSimilarity,30,7,0.014421704161115509,0.005778249879042058,0.00196689847147513,0.01326527305136931,0.007947539730880384,4.988775255674732E-4,0.04387854281944986
Dominance,JaroSimilarity,30,10,0.016563044262276436,0.005975858810965781,0.003240916850756667,0.013521535464079925,0.007947539730880384,0.016362113815344047,0.06361100893430324
Dominance,JaroSimilarity,30,0,0.0044851919896834016,0.003202427102646216,0.0011768551814318406,0.0010398630398076245,0.007453958058940431,0.0,0.017358295372509512
Dominance,JaroSimilarity,40,2,0.0,0.004050120525765225,0.0,0.0063133576811670224,6.567885666246322E-5,0.009478672985781991,0.019907830049376702
Dominance,JaroSimilarity,40,5,0.014421704161115509,0.005268857965638684,5.263157894736842E-4,0.0063133576811670224,6.299294209130275E-4,0.010281167019595978,0.0374413320379039
Dominance,JaroSimilarity,40,7,0.014421704161115509,0.005778249879042058,5.263157894736842E-4,0.020894688964401054,6.299294209130275E-4,0.010281167019595978,0.05253205523454131
Dominance,JaroSimilarity,40,10,0.01490527956494339,0.008841188323859765,0.0012691313263395645,0.020894688964401054,0.0014675692608242278,0.010753551866109622,0.05813140930647762
Dominance,JaroSimilarity,40,0,0.008496060294621445,0.003922772547414381,4.2283298097251583E-4,0.0057944279761679264,0.0011178674088510156,0.009821275623822304,0.02957523683184959
Dominance,JaroSimilarity,50,2,0.0,0.0028653295128939827,0.0,6.481931615621455E-4,8.093758093758095E-5,0.0,0.0035944602553937095
Dominance,JaroSimilarity,50,5,0.010773194397497831,0.0036432470277068287,5.263157894736842E-4,0.0016890217037094847,0.003445981634792501,0.0,0.020077760553180328
Dominance,JaroSimilarity,50,7,0.010773194397497831,0.004246584171041154,5.263157894736842E-4,0.004767939221129676,0.003445981634792501,3.5545023696682463E-4,0.02411546545090167
Dominance,JaroSimilarity,50,10,0.011365773507451722,0.004246584171041154,0.0012691313263395645,0.004767939221129676,0.003445981634792501,3.5545023696682463E-4,0.02545086009772144
Dominance,JaroSimilarity,50,0,1.0180534817429075E-4,0.004189497146263189,5.263157894736842E-4,6.872686358407146E-4,0.004087347837347837,0.0,0.009592234757099716
Dominance,JaroSimilarity,5,2,0.00196985268927715,7.578709877014488E-4,0.003194968646913727,0.001226287053742688,0.005461474677892588,0.0,0.012610454055527602
Dominance,JaroSimilarity,5,5,0.005244790342840934,0.011493305562677572,0.004744676249252908,0.0013515061872262843,0.009196232152723801,0.0,0.0320305104947215
Dominance,JaroSimilarity,5,7,0.005244790342840934,0.012925970319124564,0.004744676249252908,0.0013515061872262843,0.013202642409134057,0.0,0.03746958550757874
Dominance,JaroSimilarity,5,10,0.006574246258627786,0.012925970319124564,0.006060465722937117,0.0016077685999369002,0.015580072671179702,0.0,0.04274852357180607
Dominance,JaroSimilarity,5,0,0.0037131585054537013,0.0036232005005954315,0.002971856518767273,0.001701835916388325,0.006876124180645848,2.0908837468636745E-4,0.019095263996536944
Dominance,JaroSimilarity,60,2,0.0,0.0033862985152383436,0.0,0.0010113652166217873,2.584780810587262E-4,0.0,0.004656141812918857
Dominance,JaroSimilarity,60,5,0.009038867573242952,0.0033862985152383436,5.263157894736842E-4,0.0028059342839181272,9.322505111602703E-4,0.0,0.016689666673033378
Dominance,JaroSimilarity,60,7,0.009038867573242952,0.007321099704799845,5.263157894736842E-4,0.005735610767313618,0.003290069355808693,0.0,0.025911963190638793
Dominance,JaroSimilarity,60,10,0.010155898476821974,0.008594579488308282,0.0012691313263395645,0.006347793197677868,0.008332993213165538,0.0,0.03470039570231323
Dominance,JaroSimilarity,60,0,0.002647283520047898,0.00371125542551291,5.263157894736842E-4,0.0012317508915529168,0.00530176414727151,0.0,0.013418369773858919
Dominance,JaroSimilarity,8,2,0.00196985268927715,6.236305410416315E-4,0.003194968646913727,1.252191334835963E-4,1.3133267850248982E-4,0.0,0.006045003689218595
Dominance,JaroSimilarity,8,5,0.004398324658245754,0.007067877376554153,0.004744676249252908,2.504382669671926E-4,0.017771133561239955,0.0,0.03423245011225996
Dominance,JaroSimilarity,8,7,0.004398324658245754,0.02047659031413848,0.004744676249252908,2.504382669671926E-4,0.018224195993071884,0.0,0.04809422548167622
Dominance,JaroSimilarity,8,10,0.004814225703643201,0.02686799051363149,0.006060465722937117,7.62963092388424E-4,0.023109073437649487,0.0,0.06161471847024972
Dominance,JaroSimilarity,8,0,0.0021982414068745008,0.006354289566829597,0.0028708133971291866,7.649275181742714E-4,9.266532800567554E-4,3.426026380403129E-4,0.013457527807104623
Dominance,LCS-Ponderado,10,2,1.0900370612600829E-4,0.007539564915318299,0.0013157894736842103,0.0,1.232741617357002E-4,0.0,0.009087632256864219
Dominance,LCS-Ponderado,10,5,0.002662543885565468,0.00869561159371527,0.004780701754385964,3.7997530160539567E-4,0.004086359236399976,0.0,0.020605191771672075
Dominance,LCS-Ponderado,10,7,0.004019558469084079,0.010605831268977926,0.004780701754385964,0.0011832363979361784,0.004086359236399976,8.363534987454698E-4,0.025512040625529597
