recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,0.0038746684514216977,1.9149751053236308E-4,0.004257663472486424,0.0,0.004257663472486424,0.0,0.004257663472486424,0.004066165961954061
Dominance,JaroSimilarity,10,5,0.00552429432268041,6.97902038384612E-4,0.006920098399449634,5.089961249408157E-4,0.008447086774272082,0.0,0.008447086774272082,0.0067311924860058376
Dominance,JaroSimilarity,10,7,0.005751651358155526,7.077224235401177E-4,0.007167096205235762,5.71454687889485E-4,0.008881460268904217,0.0,0.008881460268904217,0.007030828469585129
Dominance,JaroSimilarity,10,10,0.005929960432912941,7.540464601923657E-4,0.007438053353297672,7.378440052336479E-4,0.009651585368998617,2.3924976223736956E-5,0.009747285273893565,0.007445775874562692
Dominance,JaroSimilarity,10,0,0.0031136079023833716,2.6937896588692396E-4,0.0036523658341572193,3.8439333987621524E-4,0.0048055458537858645,3.968440270385336E-6,0.004821419614867406,0.003771348648416896
Dominance,JaroSimilarity,15,2,0.0034167562636041675,1.9149751053236308E-4,0.0037997512846688936,7.8541318698799E-5,0.00403537524076529,0.0,0.00403537524076529,0.0036867950928353294
Dominance,JaroSimilarity,15,5,0.0038856984530260615,5.713009064215499E-4,0.005028300265869161,1.0540555830009085E-4,0.005344516940769433,0.0,0.005344516940769433,0.0045624049177477016
Dominance,JaroSimilarity,15,7,0.003891848514526676,5.713009064215499E-4,0.005034450327369776,3.3340005159523256E-4,0.0060346504821554734,0.0,0.0060346504821554734,0.004796549472543458
Dominance,JaroSimilarity,15,10,0.003984099437035902,6.159292738347274E-4,0.0052159579847053565,4.2076499302890163E-4,0.006478252963792061,2.3924976223736956E-5,0.006573952868687009,0.005044718680123269
Dominance,JaroSimilarity,15,0,0.0035429702123108186,2.69692327333078E-4,0.004082354866976974,4.167255476203512E-5,0.0042073725312630796,7.101136924611395E-6,0.004235777078961525,0.003861436231330543
Dominance,JaroSimilarity,20,2,0.0,4.1890080428954424E-5,8.378016085790885E-5,7.8541318698799E-5,3.1940411695430585E-4,0.0,3.1940411695430585E-4,1.2043139912775343E-4
Dominance,JaroSimilarity,20,5,4.797851150153293E-5,1.1546286601267885E-4,2.789042435268906E-4,1.0240197248071264E-4,5.861101609690286E-4,0.0,5.861101609690286E-4,2.658433499949244E-4
Dominance,JaroSimilarity,20,7,1.5047953651178305E-4,1.1546286601267885E-4,3.8140526853714074E-4,3.2091701690414637E-4,0.00134415631924958,0.0,0.00134415631924958,5.868594194286083E-4
Dominance,JaroSimilarity,20,10,2.7762023099565095E-4,3.1211607875168245E-4,9.018523884990158E-4,4.0405907410041327E-4,0.0021140296108002558,2.0165507060782764E-5,0.0021946916390433867,0.0010139608909085296
Dominance,JaroSimilarity,20,0,3.6703398750405414E-5,1.5716205178675587E-5,6.813580910775658E-5,1.109000281390022E-4,4.008358935247632E-4,0.0,4.008358935247632E-4,1.633196320680832E-4
Dominance,JaroSimilarity,25,2,0.0,4.1890080428954424E-5,8.378016085790885E-5,2.386065378191362E-5,1.5536212220364971E-4,0.0,1.5536212220364971E-4,6.575073421086805E-5
Dominance,JaroSimilarity,25,5,4.797851150153293E-5,1.1546286601267885E-4,2.789042435268906E-4,6.800286327845383E-4,0.002318990141880505,0.0,0.002318990141880505,8.4347001029875E-4
Dominance,JaroSimilarity,25,7,1.5047953651178305E-4,1.1546286601267885E-4,3.8140526853714074E-4,7.044700220553239E-4,0.0024948153347031125,0.0,0.0024948153347031125,9.704124245797859E-4
Dominance,JaroSimilarity,25,10,2.7762023099565095E-4,3.1211607875168245E-4,9.018523884990158E-4,7.044700220553239E-4,0.0030152624546649874,9.104491200733135E-6,0.00305168041946792,0.0013033108230033905
Dominance,JaroSimilarity,25,0,2.2993886655284463E-5,1.6160862022334178E-4,3.46211127101968E-4,6.936713718865951E-4,0.0024272252427617533,5.121668347424665E-5,0.00263209197665874,9.29490562239468E-4
Dominance,JaroSimilarity,30,2,0.0,4.1890080428954424E-5,8.378016085790885E-5,2.386065378191362E-5,1.5536212220364971E-4,0.0,1.5536212220364971E-4,6.575073421086805E-5
Dominance,JaroSimilarity,30,5,3.260335774999541E-5,1.1546286601267885E-4,2.635290897753531E-4,6.800286327845383E-4,0.002303614988128968,4.627991982077585E-5,0.002488734667412071,8.743747763679884E-4
Dominance,JaroSimilarity,30,7,1.351043827602455E-4,1.1546286601267885E-4,3.6603011478560316E-4,7.1384385032679E-4,0.0025075616657659733,4.627991982077585E-5,0.0026926813450490767,0.0010106910189204904
Dominance,JaroSimilarity,30,10,2.622450772441134E-4,3.1211607875168245E-4,8.864772347474783E-4,7.34841225654874E-4,0.0030910009117121,4.950098818473081E-5,0.0032890048644510232,0.0013587033698354005
Dominance,JaroSimilarity,30,0,1.2493914001640016E-4,0.0,1.2493914001640016E-4,1.6569898459662237E-6,1.2991010955429883E-4,1.5810851619900801E-6,1.3623445020225915E-4,1.2817721502435646E-4
Dominance,JaroSimilarity,40,2,0.0,1.626320769594701E-4,3.252641539189402E-4,6.014873140857392E-4,0.002129726096176158,3.6364958725771846E-5,0.0022751859310792453,8.004843497709812E-4
Dominance,JaroSimilarity,40,5,3.260335774999541E-5,1.846906509575018E-4,4.01984659664999E-4,6.014873140857392E-4,0.002206446601922217,3.8827648968593104E-5,0.0023617571977965894,8.576089717618296E-4
Dominance,JaroSimilarity,40,7,3.260335774999541E-5,1.9161404544768544E-4,4.1583144864536627E-4,6.108611423572053E-4,0.0022484148757169822,7.959103603548211E-5,0.0025667790198589105,9.146695815903682E-4
Dominance,JaroSimilarity,40,10,1.9476098615112955E-4,1.9161404544768544E-4,5.779890770465004E-4,6.135725802869683E-4,0.002418706817907405,1.0307673854587642E-4,0.0028310137720909106,0.0011030243504316598
Dominance,JaroSimilarity,40,0,1.2944522827581216E-4,1.0956229756073649E-4,3.485698233972851E-4,4.447922555534745E-4,0.0016829465900577087,8.13692386841361E-5,0.002008423544794253,7.651690200741592E-4
Dominance,JaroSimilarity,50,2,0.0,7.885191610156126E-5,1.5770383220312253E-4,3.7807774028246466E-4,0.0012919370530505164,3.5373187124159886E-4,0.002706864538016912,8.106615276256248E-4
Dominance,JaroSimilarity,50,5,3.260335774999541E-5,1.0282484366155231E-4,2.3825304507310005E-4,3.932301015564544E-4,0.0014179433497424634,3.5373187124159886E-4,0.002832870834708859,8.82390174209601E-4
Dominance,JaroSimilarity,50,7,3.260335774999541E-5,1.2221422646319303E-4,2.7703181067638145E-4,4.2968387816771133E-4,0.0015660834451795154,9.095962403355399E-4,0.005204468406521675,0.0014940977027164395
Dominance,JaroSimilarity,50,10,7.992041466849164E-5,1.2221422646319303E-4,3.243488675948777E-4,4.3358963994748884E-4,0.0016251177874373442,9.130655063522128E-4,0.005277379812846195,0.0015487897874313862
Dominance,JaroSimilarity,50,0,0.0,4.866861393715193E-5,9.733722787430387E-5,4.443926989167218E-4,0.0014305153246244693,3.5686130085698704E-4,0.0028579605280524174,8.499226137108607E-4
Dominance,JaroSimilarity,5,2,0.0,9.178869298666702E-4,0.0018357738597333405,2.9858131222221275E-5,0.0019253482534000042,0.0,0.0019253482534000042,9.477450610888915E-4
Dominance,JaroSimilarity,5,5,3.3730177455227234E-4,9.930315226072178E-4,0.002323364819766708,3.657394891229414E-5,0.0024330866665035907,0.0,0.0024330866665035907,0.0013669072460717841
Dominance,JaroSimilarity,5,7,3.3730177455227234E-4,9.930315226072178E-4,0.002323364819766708,1.1225621435887149E-4,0.0026601334628433226,0.0,0.0026601334628433226,0.0014425895115183615
Dominance,JaroSimilarity,5,10,4.234026355608825E-4,0.0010302671496551774,0.0024839369348712372,1.1319393208520608E-4,0.0028235187311268554,4.040550969530205E-6,0.002839680935004976,0.0015709042682707963
Dominance,JaroSimilarity,5,0,2.521525215252152E-4,0.0010302671496551774,0.00231268682083557,6.5297535631349535E-6,0.002332276081524975,1.0414461172969767E-5,0.002373933926216854,0.0012993638859164975
Dominance,JaroSimilarity,60,2,0.0,0.0,0.0,7.194109021376471E-6,2.1582327064129412E-5,0.0,2.1582327064129412E-5,7.194109021376471E-6
Dominance,JaroSimilarity,60,5,3.260335774999541E-5,6.82917480970737E-5,1.6918685394414282E-4,7.194109021376471E-6,1.9076918100827223E-4,4.3426903835464145E-6,2.0813994254245788E-4,1.1243190525199199E-4
Dominance,JaroSimilarity,60,7,3.260335774999541E-5,7.960383732683354E-5,1.918110324036625E-4,8.514366524399859E-6,2.1735413197686206E-4,4.3426903835464145E-6,2.3472489351104771E-4,1.2506425198477523E-4
Dominance,JaroSimilarity,60,10,7.992041466849164E-5,9.316642382006965E-5,2.662532623086309E-4,1.5421397882322223E-5,3.125174559555976E-4,1.2449045766166389E-5,3.6231363902026315E-4,2.009572821370499E-4
Dominance,JaroSimilarity,60,0,0.0,1.449337036235276E-5,2.898674072470552E-5,1.5185598495641018E-5,7.454353621162857E-5,1.3450269123489248E-5,1.2834461270558556E-4,4.3129237981483024E-5
Dominance,JaroSimilarity,8,2,0.0017590472952101358,9.178869298666702E-4,0.0035948211549434762,1.7486733807873262E-4,0.004119423169179674,0.0,0.004119423169179674,0.0028518015631555384
Dominance,JaroSimilarity,8,5,0.001771859923336417,9.930315226072178E-4,0.0037579229685508527,9.454661620210331E-4,0.006594321454613953,3.474152306837132E-6,0.006608218063841301,0.003713831760271505
Dominance,JaroSimilarity,8,7,0.0022990080519605604,9.930315226072178E-4,0.004285071097174996,0.0010099051112242375,0.007314786430847708,3.474152306837132E-6,0.007328683040075057,0.0043054188380988526
Dominance,JaroSimilarity,8,10,0.0026398239601196417,0.0010302671496551774,0.0047003582594299965,0.0011489268436889594,0.008147138790496875,7.110648179414317E-6,0.008175581383214532,0.004826128601643193
Dominance,JaroSimilarity,8,0,0.002234944911329154,0.0010302671496551774,0.004295479210639509,8.223298393611568E-4,0.006762468728722979,4.56893071169954E-6,0.006780744451569777,0.004092110831057188
Dominance,LCS-Ponderado,10,2,0.0,3.712105588781192E-4,7.424211177562384E-4,1.763345473288707E-4,0.0012714247597428504,0.0,0.0012714247597428504,5.475451062069899E-4
