recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,0.0052893123025973925,1.9149751053236308E-4,0.0056723073236621185,0.0,0.0056723073236621185,0.0,0.0056723073236621185,0.005480809813129756
Dominance,JaroSimilarity,10,5,0.011477811687591244,0.00171071109408911,0.014899233875769463,0.0019243174140643074,0.020672186117962385,0.0,0.020672186117962385,0.01511284019574466
Dominance,JaroSimilarity,10,7,0.012847225381728184,0.0017794537901776506,0.016406132962083486,0.002217974277407826,0.023060055794306963,0.0,0.023060055794306963,0.01684465344931366
Dominance,JaroSimilarity,10,10,0.013846610375578123,0.002196974462729851,0.018240559301037823,0.0038228554101717755,0.02970912553155315,2.153247860136326E-4,0.030570424675607683,0.020081765034493382
Dominance,JaroSimilarity,10,0,0.005016422446833164,5.068437518296683E-4,0.0060301099504925,0.0023754328101861983,0.013156408381051095,1.0894118679079785E-4,0.013592173128214285,0.008007640195639827
Dominance,JaroSimilarity,15,2,0.0034442938524128913,1.9149751053236308E-4,0.0038272888734776174,1.57082637397598E-4,0.004298536785670411,0.0,0.004298536785670411,0.0037928740003428524
Dominance,JaroSimilarity,15,5,0.0053277501869762375,0.00171071109408911,0.008749172375154457,2.14045747482589E-4,0.009391309617602225,0.0,0.009391309617602225,0.007252507028547937
Dominance,JaroSimilarity,15,7,0.0053646505559799265,0.00171071109408911,0.008786072744158147,0.0018007653980274172,0.014188368938240398,0.0,0.014188368938240398,0.008876127048096453
Dominance,JaroSimilarity,15,10,0.006287159781072178,0.0021485107012985654,0.010584181183669309,0.0023809354463988548,0.017726987522865875,2.153247860136326E-4,0.018588286666920407,0.01103193071478323
Dominance,JaroSimilarity,15,0,0.004004224824856944,7.053491637942041E-4,0.005414923152445352,3.468153210211315E-4,0.0064553691155087465,1.5973114054423592E-4,0.00709429367768569,0.005216120450216515
Dominance,JaroSimilarity,20,2,0.0,8.378016085790885E-5,1.675603217158177E-4,1.57082637397598E-4,6.388082339086117E-4,0.0,6.388082339086117E-4,2.4086279825550686E-4
Dominance,JaroSimilarity,20,5,1.6885131537882543E-4,3.238840221815962E-4,8.166193597420178E-4,2.0480394496142528E-4,0.0014310311946262937,0.0,0.0014310311946262937,6.975392825218469E-4
Dominance,JaroSimilarity,20,7,7.83857465440326E-4,3.238840221815962E-4,0.0014316255098035186,0.0017344092559254617,0.006634853277579904,0.0,0.006634853277579904,0.002842150743547384
Dominance,JaroSimilarity,20,10,0.0018009830213112693,0.002088607234625988,0.005978197490563246,0.0022882668995982142,0.012842998189357888,1.814895635470449E-4,0.013568956443546068,0.006359346719082517
Dominance,JaroSimilarity,20,0,1.6731380000367167E-4,1.0120062622752893E-4,3.6971505245872953E-4,7.073753237253438E-4,0.002491841023634761,0.0,0.002491841023634761,9.758897499565444E-4
Dominance,JaroSimilarity,25,2,0.0,8.378016085790885E-5,1.675603217158177E-4,4.772130756382724E-5,3.1072424440729943E-4,0.0,3.1072424440729943E-4,1.315014684217361E-4
Dominance,JaroSimilarity,25,5,1.6885131537882543E-4,3.238840221815962E-4,8.166193597420178E-4,0.0026723932235743256,0.008833799030464995,0.0,0.008833799030464995,0.0031651285611347473
Dominance,JaroSimilarity,25,7,7.83857465440326E-4,3.238840221815962E-4,0.0014316255098035186,0.002819041559199039,0.009888750187400635,0.0,0.009888750187400635,0.003926783046820962
Dominance,JaroSimilarity,25,10,0.0018009830213112693,0.002088607234625988,0.005978197490563246,0.002819041559199039,0.014435322168160363,7.873146079322506E-5,0.014750248011333263,0.006787363275929522
Dominance,JaroSimilarity,25,0,9.197554662113785E-5,0.0014191015938733724,0.0029301787343678828,0.002819041559199039,0.011387303411965,5.69593922514162E-4,0.013665679102021648,0.004899712622207711
Dominance,JaroSimilarity,30,2,0.0,8.378016085790885E-5,1.675603217158177E-4,4.772130756382724E-5,3.1072424440729943E-4,0.0,3.1072424440729943E-4,1.315014684217361E-4
Dominance,JaroSimilarity,30,5,1.3041343099998165E-4,3.238840221815962E-4,7.781814753631741E-4,0.0026723932235743256,0.00879536114608615,2.240301851196793E-4,0.009691481886564867,0.003350720861875583
Dominance,JaroSimilarity,30,7,7.454195810614822E-4,3.238840221815962E-4,0.0013931876254246747,0.002884658357099302,0.01004716269672258,2.240301851196793E-4,0.010943283437201298,0.00417799214546206
Dominance,JaroSimilarity,30,10,0.0017625451369324256,0.002088607234625988,0.0059397596061844015,0.002989645233739722,0.014908695307403567,2.4979873203131894E-4,0.015907890235528844,0.0070905963373294545
