recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.0038746684514216977,1.9149751053236308E-4,0.0,0.0,0.004066165961954061
Dominance,JaroSimilarity,10,5,0.00552429432268041,6.97902038384612E-4,5.089961249408157E-4,0.0,0.0067311924860058376
Dominance,JaroSimilarity,10,7,0.005751651358155526,7.077224235401177E-4,5.71454687889485E-4,0.0,0.007030828469585129
Dominance,JaroSimilarity,10,10,0.005929960432912941,7.540464601923657E-4,7.378440052336479E-4,2.3924976223736956E-5,0.007445775874562692
Dominance,JaroSimilarity,10,0,0.0031136079023833716,2.6937896588692396E-4,3.8439333987621524E-4,3.968440270385336E-6,0.003771348648416896
Dominance,JaroSimilarity,15,2,0.0034167562636041675,1.9149751053236308E-4,7.8541318698799E-5,0.0,0.0036867950928353294
Dominance,JaroSimilarity,15,5,0.0038856984530260615,5.713009064215499E-4,1.0540555830009085E-4,0.0,0.0045624049177477016
Dominance,JaroSimilarity,15,7,0.003891848514526676,5.713009064215499E-4,3.3340005159523256E-4,0.0,0.004796549472543458
Dominance,JaroSimilarity,15,10,0.003984099437035902,6.159292738347274E-4,4.2076499302890163E-4,2.3924976223736956E-5,0.005044718680123269
Dominance,JaroSimilarity,15,0,0.0035429702123108186,2.69692327333078E-4,4.167255476203512E-5,7.101136924611395E-6,0.003861436231330543
Dominance,JaroSimilarity,20,2,0.0,4.1890080428954424E-5,7.8541318698799E-5,0.0,1.2043139912775343E-4
Dominance,JaroSimilarity,20,5,4.797851150153293E-5,1.1546286601267885E-4,1.0240197248071264E-4,0.0,2.658433499949244E-4
Dominance,JaroSimilarity,20,7,1.5047953651178305E-4,1.1546286601267885E-4,3.2091701690414637E-4,0.0,5.868594194286083E-4
Dominance,JaroSimilarity,20,10,2.7762023099565095E-4,3.1211607875168245E-4,4.0405907410041327E-4,2.0165507060782764E-5,0.0010139608909085296
Dominance,JaroSimilarity,20,0,3.6703398750405414E-5,1.5716205178675587E-5,1.109000281390022E-4,0.0,1.633196320680832E-4
Dominance,JaroSimilarity,25,2,0.0,4.1890080428954424E-5,2.386065378191362E-5,0.0,6.575073421086805E-5
Dominance,JaroSimilarity,25,5,4.797851150153293E-5,1.1546286601267885E-4,6.800286327845383E-4,0.0,8.4347001029875E-4
Dominance,JaroSimilarity,25,7,1.5047953651178305E-4,1.1546286601267885E-4,7.044700220553239E-4,0.0,9.704124245797859E-4
Dominance,JaroSimilarity,25,10,2.7762023099565095E-4,3.1211607875168245E-4,7.044700220553239E-4,9.104491200733135E-6,0.0013033108230033905
Dominance,JaroSimilarity,25,0,2.2993886655284463E-5,1.6160862022334178E-4,6.936713718865951E-4,5.121668347424665E-5,9.29490562239468E-4
Dominance,JaroSimilarity,30,2,0.0,4.1890080428954424E-5,2.386065378191362E-5,0.0,6.575073421086805E-5
Dominance,JaroSimilarity,30,5,3.260335774999541E-5,1.1546286601267885E-4,6.800286327845383E-4,4.627991982077585E-5,8.743747763679884E-4
Dominance,JaroSimilarity,30,7,1.351043827602455E-4,1.1546286601267885E-4,7.1384385032679E-4,4.627991982077585E-5,0.0010106910189204904
Dominance,JaroSimilarity,30,10,2.622450772441134E-4,3.1211607875168245E-4,7.34841225654874E-4,4.950098818473081E-5,0.0013587033698354005
Dominance,JaroSimilarity,30,0,1.2493914001640016E-4,0.0,1.6569898459662237E-6,1.5810851619900801E-6,1.2817721502435646E-4
Dominance,JaroSimilarity,40,2,0.0,1.626320769594701E-4,6.014873140857392E-4,3.6364958725771846E-5,8.004843497709812E-4
Dominance,JaroSimilarity,40,5,3.260335774999541E-5,1.846906509575018E-4,6.014873140857392E-4,3.8827648968593104E-5,8.576089717618296E-4
Dominance,JaroSimilarity,40,7,3.260335774999541E-5,1.9161404544768544E-4,6.108611423572053E-4,7.959103603548211E-5,9.146695815903682E-4
Dominance,JaroSimilarity,40,10,1.9476098615112955E-4,1.9161404544768544E-4,6.135725802869683E-4,1.0307673854587642E-4,0.0011030243504316598
Dominance,JaroSimilarity,40,0,1.2944522827581216E-4,1.0956229756073649E-4,4.447922555534745E-4,8.13692386841361E-5,7.651690200741592E-4
Dominance,JaroSimilarity,50,2,0.0,7.885191610156126E-5,3.7807774028246466E-4,3.5373187124159886E-4,8.106615276256248E-4
Dominance,JaroSimilarity,50,5,3.260335774999541E-5,1.0282484366155231E-4,3.932301015564544E-4,3.5373187124159886E-4,8.82390174209601E-4
Dominance,JaroSimilarity,50,7,3.260335774999541E-5,1.2221422646319303E-4,4.2968387816771133E-4,9.095962403355399E-4,0.0014940977027164395
