recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.007010021670728966,4.777755983770815E-4,0.0,0.0,0.007487797269106047
Dominance,JaroSimilarity,10,5,0.01050570799446717,0.0015283874094281045,0.001862115616203187,0.0,0.013896211020098461
Dominance,JaroSimilarity,10,7,0.011386522021270032,0.0016103411772032505,0.0021776375923645047,0.0,0.015174500790837786
Dominance,JaroSimilarity,10,10,0.012089728350700307,0.0019276459482803784,0.002922715842604814,2.2638531265396067E-4,0.01716647545423946
Dominance,JaroSimilarity,10,0,0.005957908326779722,8.732216534925423E-4,0.0018216701313537478,1.2127919371693629E-4,0.00877407930534295
Dominance,JaroSimilarity,15,2,0.005856734677907063,4.777755983770815E-4,3.294040497113725E-4,0.0,0.006663914325995516
Dominance,JaroSimilarity,15,5,0.007153613714136876,0.0013827233556864987,4.3900290366739517E-4,0.0,0.00897533997349077
Dominance,JaroSimilarity,15,7,0.00721638836074636,0.0013827233556864987,0.0014160268187527918,0.0,0.01001513853518565
Dominance,JaroSimilarity,15,10,0.007632791096351285,0.0016975738554210968,0.002000809868229846,2.2638531265396067E-4,0.01155756013265619
Dominance,JaroSimilarity,15,0,0.006190088869024222,8.70789618076094E-4,3.0430446442189437E-4,1.4292702250594667E-4,0.007508109974028157
Dominance,JaroSimilarity,20,2,0.0,1.7693853228249523E-4,3.294040497113725E-4,0.0,5.063425819938677E-4
Dominance,JaroSimilarity,20,5,3.2495770361942527E-4,5.514083180145748E-4,4.115142862712783E-4,0.0,0.0012878803079052785
Dominance,JaroSimilarity,20,7,7.227036612744472E-4,5.514083180145748E-4,0.0013094972952505373,0.0,0.0025836092745395592
Dominance,JaroSimilarity,20,10,0.0012838892713070002,0.0013228292071856052,0.0018525788050594593,1.7580012475827347E-4,0.004635097408310338
Dominance,JaroSimilarity,20,0,2.96248019698627E-4,1.5395017852867576E-4,6.005916933630032E-4,0.0,0.001050789891590306
Dominance,JaroSimilarity,25,2,0.0,1.7693853228249523E-4,1.20289322340147E-4,0.0,2.9722785462264225E-4
