recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.0038746684514216977,3.8299502106472615E-4,0.0,0.0,0.004257663472486424
Dominance,JaroSimilarity,10,5,0.00552429432268041,0.001395804076769224,0.001526988374822447,0.0,0.008447086774272082
Dominance,JaroSimilarity,10,7,0.005751651358155526,0.0014154448470802355,0.001714364063668455,0.0,0.008881460268904217
Dominance,JaroSimilarity,10,10,0.005929960432912941,0.0015080929203847315,0.002213532015700944,9.569990489494782E-5,0.009747285273893565
Dominance,JaroSimilarity,10,0,0.0031136079023833716,5.387579317738479E-4,0.0011531800196286457,1.5873761081541345E-5,0.004821419614867406
Dominance,JaroSimilarity,15,2,0.0034167562636041675,3.8299502106472615E-4,2.35623956096397E-4,0.0,0.00403537524076529
Dominance,JaroSimilarity,15,5,0.0038856984530260615,0.0011426018128430997,3.162166749002725E-4,0.0,0.005344516940769433
Dominance,JaroSimilarity,15,7,0.003891848514526676,0.0011426018128430997,0.0010002001547856976,0.0,0.0060346504821554734
Dominance,JaroSimilarity,15,10,0.003984099437035902,0.0012318585476694549,0.001262294979086705,9.569990489494782E-5,0.006573952868687009
Dominance,JaroSimilarity,15,0,0.0035429702123108186,5.39384654666156E-4,1.2501766428610537E-4,2.840454769844558E-5,0.004235777078961525
Dominance,JaroSimilarity,20,2,0.0,8.378016085790885E-5,2.35623956096397E-4,0.0,3.1940411695430585E-4
Dominance,JaroSimilarity,20,5,4.797851150153293E-5,2.309257320253577E-4,3.0720591744213795E-4,0.0,5.861101609690286E-4
Dominance,JaroSimilarity,20,7,1.5047953651178305E-4,2.309257320253577E-4,9.627510507124391E-4,0.0,0.00134415631924958
Dominance,JaroSimilarity,20,10,2.7762023099565095E-4,6.242321575033649E-4,0.0012121772223012397,8.066202824313105E-5,0.0021946916390433867
Dominance,JaroSimilarity,20,0,3.6703398750405414E-5,3.1432410357351174E-5,3.327000844170066E-4,0.0,4.008358935247632E-4
Dominance,JaroSimilarity,25,2,0.0,8.378016085790885E-5,7.158196134574086E-5,0.0,1.5536212220364971E-4
Dominance,JaroSimilarity,25,5,4.797851150153293E-5,2.309257320253577E-4,0.0020400858983536147,0.0,0.002318990141880505
Dominance,JaroSimilarity,25,7,1.5047953651178305E-4,2.309257320253577E-4,0.0021134100661659716,0.0,0.0024948153347031125
Dominance,JaroSimilarity,25,10,2.7762023099565095E-4,6.242321575033649E-4,0.0021134100661659716,3.641796480293254E-5,0.00305168041946792
Dominance,JaroSimilarity,25,0,2.2993886655284463E-5,3.2321724044668355E-4,0.002081014115659785,2.048667338969866E-4,0.00263209197665874
Dominance,JaroSimilarity,30,2,0.0,8.378016085790885E-5,7.158196134574086E-5,0.0,1.5536212220364971E-4
Dominance,JaroSimilarity,30,5,3.260335774999541E-5,2.309257320253577E-4,0.0020400858983536147,1.851196792831034E-4,0.002488734667412071
