recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,0,0.0,0.0,0.0,2.990430622009569E-4,8.971291866028707E-4,4.751722499406035E-5,0.001087198086579112,3.4656028719501727E-4
Dominance,JaroSimilarity,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,0,0.0,0.0,0.0,0.0,0.0,4.751722499406035E-5,1.900688999762414E-4,4.751722499406035E-5
Dominance,JaroSimilarity,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,5,7,0.0,0.0,0.0,0.0,0.0,1.586911462301636E-4,6.347645849206543E-4,1.586911462301636E-4
Dominance,JaroSimilarity,5,10,0.0,0.0,0.0,0.0,0.0,1.586911462301636E-4,6.347645849206543E-4,1.586911462301636E-4
Dominance,JaroSimilarity,5,0,0.0,0.0,0.0,0.0,0.0,1.586911462301636E-4,6.347645849206543E-4,1.586911462301636E-4
Dominance,JaroSimilarity,60,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
