recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.03671970624235006,0.0026666666666666666,0.004614370468029005,0.006616969595443505,0.05061771297248924
Dominance,JaroSimilarity,10,5,0.05752753977968176,0.014857142857142857,0.015952537903757415,0.021023536309573668,0.1093607568501557
Dominance,JaroSimilarity,10,7,0.05752753977968176,0.027047619047619046,0.03506921555702044,0.03040455649551889,0.15004893087984011
Dominance,JaroSimilarity,10,10,0.06731946144430845,0.03923809523809524,0.03796967699406724,0.03643521232934081,0.18096244600581174
Dominance,JaroSimilarity,10,0,0.1175030599755202,0.11047619047619048,0.11285431773236651,0.08216768573582377,0.42300125391990095
Dominance,JaroSimilarity,15,2,0.037943696450428395,0.004952380952380952,0.017139090309822018,0.006616969595443505,0.06665213730807487
Dominance,JaroSimilarity,15,5,0.05018359853121175,0.02666666666666667,0.031377719182597234,0.021023536309573668,0.1292515206900493
Dominance,JaroSimilarity,15,7,0.0587515299877601,0.0380952380952381,0.04864864864864865,0.030320797386715805,0.17581621411836265
Dominance,JaroSimilarity,15,10,0.07099143206854346,0.05180952380952381,0.054581410678971654,0.03626769411173465,0.21365006066877357
Dominance,JaroSimilarity,15,0,0.10771113831089352,0.12076190476190476,0.12656558998022413,0.0881983415696457,0.4432369746226681
Dominance,JaroSimilarity,20,2,0.03671970624235006,0.004952380952380952,0.03678312458800264,0.005109305636988023,0.08356451741972168
Dominance,JaroSimilarity,20,5,0.05018359853121175,0.026285714285714287,0.04772577455504285,0.018008208392662702,0.1422032957646316
Dominance,JaroSimilarity,20,7,0.051407588739290085,0.0380952380952381,0.06209624258404746,0.02294999581204456,0.17454906523062022
Dominance,JaroSimilarity,20,10,0.06364749082007344,0.052571428571428575,0.06684245220830587,0.04020437222547952,0.2232657438252874
Dominance,JaroSimilarity,20,0,0.10648714810281518,0.11047619047619048,0.11034937376400791,0.06868246921852751,0.39599518156154107
Dominance,JaroSimilarity,25,2,0.03549571603427173,0.005333333333333333,0.03164139749505603,0.004020437222547952,0.07649088408520906
Dominance,JaroSimilarity,25,5,0.04895960832313342,0.02666666666666667,0.049439683586025046,0.009129742859535975,0.1341957014353611
Dominance,JaroSimilarity,25,7,0.05018359853121175,0.0380952380952381,0.07106130520764667,0.01608174889019181,0.17542189072428832
Dominance,JaroSimilarity,25,10,0.06364749082007344,0.05295238095238095,0.08160843770599868,0.02554652818494011,0.22375483766339319
Dominance,JaroSimilarity,25,0,0.1175030599755202,0.09638095238095239,0.10665787738958471,0.06047407655582544,0.3810159663018827
Dominance,JaroSimilarity,30,2,0.03427172582619339,0.017523809523809525,0.03150955833882663,0.005360582963397269,0.08866567665222681
Dominance,JaroSimilarity,30,5,0.0416156670746634,0.03695238095238095,0.049439683586025046,0.015244157802160985,0.14325188941523037
Dominance,JaroSimilarity,30,7,0.044063647490820076,0.05447619047619048,0.07119314436387607,0.026049082837758607,0.19578206516864524
Dominance,JaroSimilarity,30,10,0.05752753977968176,0.07238095238095238,0.08174027686222808,0.0336711617388391,0.24531993076170133
Dominance,JaroSimilarity,30,0,0.09179926560587515,0.1219047619047619,0.10850362557679631,0.06332188625513024,0.3855295393425636
Dominance,JaroSimilarity,40,2,0.01835985312117503,0.02361904761904762,0.03203691496374423,0.005444342072200352,0.07946015777616722
Dominance,JaroSimilarity,40,5,0.02447980416156671,0.03542857142857143,0.03994726433750824,0.011223720579613032,0.1110793605072594
Dominance,JaroSimilarity,40,7,0.030599755201958383,0.04914285714285714,0.06315095583388267,0.014657844040539408,0.1575514122192376
Dominance,JaroSimilarity,40,10,0.046511627906976744,0.06857142857142857,0.07949901120632828,0.01859452215428428,0.21317658983901788
Dominance,JaroSimilarity,40,0,0.07466340269277846,0.13638095238095238,0.11562294001318392,0.04816148756177234,0.37482878264868713
Dominance,JaroSimilarity,50,2,0.033047735618115054,0.023238095238095238,0.03203691496374423,0.005695619398609599,0.09401836521856413
