recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.00256002877087685,2.4187517886243764E-5,1.921997112373E-4,1.1394739476561994E-4,0.0028903633947660137
Dominance,JaroSimilarity,10,5,0.002873617529175641,1.0586605021171069E-4,3.8580520481272545E-4,2.374578492447773E-4,0.0036027466334448543
Dominance,JaroSimilarity,10,7,0.002873617529175641,2.291639913042461E-4,5.680819994155757E-4,2.6880889670897307E-4,0.003939672416604436
Dominance,JaroSimilarity,10,10,0.002986087203733235,2.921325950814975E-4,5.87767629382921E-4,2.9350808782192367E-4,0.004159495516019577
Dominance,JaroSimilarity,10,0,0.0030169468726110784,3.2834958401361733E-4,6.211330906579004E-4,2.7829130137295503E-4,0.004244720848655552
Dominance,JaroSimilarity,15,2,0.0025807743676239405,5.236530207824933E-5,3.6468101080297635E-4,1.1394739476561994E-4,0.0031117680752707866
Dominance,JaroSimilarity,15,5,0.0027029499388231465,3.1728582190425917E-4,5.648198019795052E-4,2.374578492447773E-4,0.003822513411951688
Dominance,JaroSimilarity,15,7,0.0028260725802156414,3.600402233986247E-4,6.250626124548942E-4,2.6868294316190086E-4,0.004079858359231061
Dominance,JaroSimilarity,15,10,0.0029297220195009196,4.430741093022383E-4,6.640656934736222E-4,2.9312831879362987E-4,0.004329990141070409
Dominance,JaroSimilarity,15,0,0.002793269780558246,4.966400001448442E-4,6.856228622321081E-4,3.223715647869947E-4,0.004297904207722194
Dominance,JaroSimilarity,20,2,0.00256002877087685,5.236530207824933E-5,0.0017842483094173379,1.1454096401246485E-4,0.004511183346384903
Dominance,JaroSimilarity,20,5,0.0026873907412628293,3.119948166132538E-4,0.0018666666553117817,2.1330955215190348E-4,0.005079361765339768
Dominance,JaroSimilarity,20,7,0.0026892313280418943,3.55883004955692E-4,0.0019333781559748068,2.3034258875858068E-4,0.005208835077730974
Dominance,JaroSimilarity,20,10,0.0028045598694688622,4.582880878875841E-4,0.001952325553546991,2.7195702991759653E-4,0.0054871305408210344
Dominance,JaroSimilarity,20,0,0.0027853984230823085,4.655510520288137E-4,0.001969623419677238,2.724908760755355E-4,0.005493063770863896
Dominance,JaroSimilarity,25,2,0.0024726008988712545,1.034253531383004E-4,8.74688860366438E-4,1.4216756783773382E-4,0.003592882680213727
Dominance,JaroSimilarity,25,5,0.002598925589419879,3.612256830806948E-4,0.0010043771445946187,2.082638765440236E-4,0.004172792293639215
Dominance,JaroSimilarity,25,7,0.002600766176198944,3.9852966198186874E-4,0.0011670911191599075,2.328652693241842E-4,0.004399252226664904
Dominance,JaroSimilarity,25,10,0.002725094645626488,5.002851040141566E-4,0.0012021006595710807,2.7595594820079694E-4,0.004703436357412522
Dominance,JaroSimilarity,25,0,0.002793307957082644,5.273278189773751E-4,0.001144116240704957,2.756954270692623E-4,0.0047404474438342385
Dominance,JaroSimilarity,30,2,0.002353329413396089,6.80896613346823E-4,8.740296645852911E-4,8.177642754888196E-5,0.003990032118877085
Dominance,JaroSimilarity,30,5,0.0024356863924953173,8.469922356220934E-4,0.0010044046110855,1.6694061259256573E-4,0.004454023851795477
Dominance,JaroSimilarity,30,7,0.0024409845787322308,9.403369977544334E-4,0.0011670401099625567,2.185640735743089E-4,0.00476692576002353
Dominance,JaroSimilarity,30,10,0.0025452194886651687,9.89589640842357E-4,0.00120204965037373,2.3907830889333752E-4,0.004975937088774593
Dominance,JaroSimilarity,30,0,0.002587875211456129,9.974858364821028E-4,0.001180337404994445,2.0262556819790678E-4,0.004968324021130584
Dominance,JaroSimilarity,40,2,4.286114072422841E-4,8.486805840833544E-4,8.879178850040738E-4,1.7370914285652967E-4,0.002338919019186242
Dominance,JaroSimilarity,40,5,4.843717940105491E-4,9.228031146761406E-4,0.0010122814082884832,2.2845759939790053E-4,0.0026479139163730738
Dominance,JaroSimilarity,40,7,5.031371776816425E-4,0.0010049450681339895,0.001147768041372567,2.3931504501025757E-4,0.0028951653321984566
Dominance,JaroSimilarity,40,10,6.201716692039808E-4,0.0010792460605453104,0.0012308922639583063,2.491411087669883E-4,0.003179451102474586
Dominance,JaroSimilarity,40,0,5.911623343153801E-4,0.0011386381526808961,0.0012179850037850393,2.556593282912849E-4,0.0032034448190726003
Dominance,JaroSimilarity,50,2,0.0013087475727154342,8.407440761468466E-4,8.879178850040738E-4,9.847444814214163E-5,0.003135883982008496
Dominance,JaroSimilarity,50,5,0.0013960001190073182,9.148666067396327E-4,0.0010127066958892231,1.4376011726714613E-4,0.00346733353890332
Dominance,JaroSimilarity,50,7,0.0014537099014117214,9.970085601974817E-4,0.0012095825180823137,1.628732950622104E-4,0.0038231742747537275
Dominance,JaroSimilarity,50,10,0.0015439835609487326,0.0010701768082188028,0.0012823477558437334,1.7809951587205485E-4,0.004074607640883323
Dominance,JaroSimilarity,50,0,0.0015340183124627465,0.0011945357737759919,0.0012571215829235989,1.6937689907726424E-4,0.004155052568239602
Dominance,JaroSimilarity,5,2,0.0,5.247308131988087E-4,7.256276426032893E-4,1.0014190907659386E-4,0.0013505003648786919
Dominance,JaroSimilarity,5,5,2.6036550863067006E-4,9.630993235408647E-4,0.0010155623981553633,1.1463409688891277E-4,0.0023536613272158113
Dominance,JaroSimilarity,5,7,4.2602976551949737E-4,0.0010640630301937972,0.0010333163633535459,1.6593273597694856E-4,0.0026893418950437887
Dominance,JaroSimilarity,5,10,5.067248069010489E-4,0.0012251957858481527,0.0010675294538205638,1.7907568191901337E-4,0.002978525728488779
Dominance,JaroSimilarity,5,0,4.364029604901169E-4,0.0012741139828334504,0.0010991428602839229,2.062250476857985E-4,0.003015884851293289
Dominance,JaroSimilarity,60,2,9.310940674923481E-4,8.157131071188637E-4,3.3442053664809287E-4,1.114483016633404E-4,0.002192676012922645
Dominance,JaroSimilarity,60,5,0.0010091821148303884,8.823151537086841E-4,4.44519343657857E-4,1.667540335251161E-4,0.002502770645722046
Dominance,JaroSimilarity,60,7,0.0011226879489231731,9.833096168214766E-4,4.976926700722684E-4,2.2347204846295972E-4,0.0028271622842798785
Dominance,JaroSimilarity,60,10,0.0012086623370745684,0.0010699010795565736,5.576511384887493E-4,2.4378134568561974E-4,0.0030799959008055108
Dominance,JaroSimilarity,60,0,0.0012260653594516533,0.0011187689018899514,5.887779378951169E-4,2.483001063437467E-4,0.0031819123055804683
Dominance,JaroSimilarity,8,2,0.00256002877087685,2.2744516443242315E-5,1.8707279641226243E-4,1.1394739476561994E-4,0.0028837934784979747
Dominance,JaroSimilarity,8,5,0.002873617529175641,5.538976069220358E-4,5.905682201807496E-4,2.374578492447773E-4,0.004255541205523204
Dominance,JaroSimilarity,8,7,0.002873617529175641,8.115619313553792E-4,6.068102369243842E-4,2.6899981686348665E-4,0.004560989514318891
Dominance,JaroSimilarity,8,10,0.002986087203733235,9.172683262582951E-4,6.335354902384073E-4,2.912358513864722E-4,0.0048281268716164095
Dominance,JaroSimilarity,8,0,0.0029331126617493865,9.681600512106228E-4,6.42968970360993E-4,3.0882624722752356E-4,0.004853067930548526
