recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.01835985312117503,0.0013333333333333333,0.0023071852340145024,0.0033084847977217524,0.02530885648624462
Dominance,JaroSimilarity,10,5,0.012239902080783356,0.002971428571428572,0.003216875411997363,0.004238210905435968,0.02266641696964526
Dominance,JaroSimilarity,10,7,0.008742787200559538,0.003918367346938775,0.005160561258122231,0.0044033360056477565,0.0222250518112683
Dominance,JaroSimilarity,10,10,0.00722154222766218,0.004038095238095237,0.003955174686882006,0.0037607839852583985,0.018975596137897822
Dominance,JaroSimilarity,10,0,0.009864720124007591,0.004327178910554025,0.005019723677035661,0.004178425637953347,0.02339004834955062
Dominance,JaroSimilarity,15,2,0.018971848225214197,0.002476190476190476,0.008569545154911009,0.0033084847977217524,0.033326068654037436
Dominance,JaroSimilarity,15,5,0.010771113831089352,0.00540952380952381,0.007013843111404087,0.004238210905435968,0.02743269165745322
Dominance,JaroSimilarity,15,7,0.008917642944570729,0.005551020408163264,0.00760900273095395,0.004391370418675888,0.02646903650236383
Dominance,JaroSimilarity,15,10,0.007466340269277847,0.005523809523809525,0.005932762030323007,0.0037440321634977817,0.02266694398690816
Dominance,JaroSimilarity,15,0,0.009562018245286371,0.005960519496424221,0.006424485277859908,0.0043132064831761605,0.02626022950274666
Dominance,JaroSimilarity,20,2,0.01835985312117503,0.002476190476190476,0.01845748187211602,0.0025546528184940114,0.04184817828797554
Dominance,JaroSimilarity,20,5,0.010771113831089352,0.005333333333333333,0.009993408042188534,0.0036518971438143904,0.02974975235042561
Dominance,JaroSimilarity,20,7,0.007868508480503585,0.005551020408163265,0.009530087578868071,0.003350364352123292,0.02629998081965821
Dominance,JaroSimilarity,20,10,0.006731946144430845,0.0056,0.007211601845748187,0.004213083172795042,0.023756631162974075
Dominance,JaroSimilarity,20,0,0.012796984055635757,0.005120579585989827,0.00918751777074208,0.003509400904471244,0.030614482316838908
Dominance,JaroSimilarity,25,2,0.017747858017135864,0.0026666666666666666,0.015952537903757415,0.002010218611273976,0.03837728119883393
Dominance,JaroSimilarity,25,5,0.010526315789473686,0.005409523809523809,0.010441661173368495,0.0018259485719071948,0.028203449344273185
Dominance,JaroSimilarity,25,7,0.007693652736492393,0.005605442176870748,0.010810810810810817,0.0023093582855706982,0.026419264009744654
Dominance,JaroSimilarity,25,10,0.006731946144430846,0.005638095238095238,0.008885959129861567,0.0026384119272970944,0.023894412439684744
Dominance,JaroSimilarity,25,0,0.011148358296266259,0.004928993748913184,0.007940766654885214,0.002409698795051798,0.026427817495116454
Dominance,JaroSimilarity,30,2,0.017135862913096694,0.008761904761904762,0.015886618325642716,0.0026802914816986345,0.044464677482342806
Dominance,JaroSimilarity,30,5,0.009057527539779682,0.007390476190476189,0.010441661173368495,0.003065583382192814,0.02995524828581718
Dominance,JaroSimilarity,30,7,0.006819374016436439,0.00783673469387755,0.010810810810810817,0.0037452287221949668,0.029212148243319774
Dominance,JaroSimilarity,30,10,0.006119951040391678,0.007352380952380954,0.008885959129861567,0.00341737163916576,0.025775662761799958
Dominance,JaroSimilarity,30,0,0.009128740372848375,0.006259276589665113,0.007141806206170331,0.0028427126200516223,0.025372535788735443
Dominance,JaroSimilarity,40,2,0.009179926560587515,0.01180952380952381,0.016150296638101518,0.002722171036100176,0.039861918044313015
Dominance,JaroSimilarity,40,5,0.004895960832313343,0.007085714285714286,0.008253131179960451,0.0022447441159226065,0.022479550413910684
Dominance,JaroSimilarity,40,7,0.004371393600279768,0.007020408163265305,0.009398248422638669,0.0021059433070489265,0.022895993493232666
Dominance,JaroSimilarity,40,10,0.004895960832313341,0.007009523809523812,0.008398154251812786,0.0018845799480693528,0.02218821884171929
Dominance,JaroSimilarity,40,0,0.0054946378742822535,0.007748906951429473,0.008782370762769694,0.002414482017901559,0.02444039760638298
Dominance,JaroSimilarity,50,2,0.016523867809057527,0.011619047619047619,0.016150296638101518,0.0028478096993047996,0.047141021765511465
Dominance,JaroSimilarity,50,5,0.009302325581395349,0.007009523809523809,0.008279499011206332,0.002462517798810621,0.02705386620093611
Dominance,JaroSimilarity,50,7,0.008043364224514774,0.00696598639455782,0.010434127507298245,0.002345255046486305,0.02778873317285714
Dominance,JaroSimilarity,50,10,0.007466340269277847,0.006666666666666668,0.008477257745550424,0.002119105452717984,0.024729370134212923
Dominance,JaroSimilarity,50,0,0.008071390398313828,0.009176564190643506,0.00904819432698795,0.0019585749942605205,0.028254723910205802
Dominance,JaroSimilarity,5,2,0.0,0.008761904761904762,0.0068556361239288065,0.003517882569729458,0.019135423455563027
Dominance,JaroSimilarity,5,5,0.0022031823745410034,0.0128,0.0069611074489123285,0.0018091967501465786,0.02377348657359991
Dominance,JaroSimilarity,5,7,0.0029725476481902427,0.011646258503401357,0.005763254543742348,0.002452945329233125,0.022835006024567072
Dominance,JaroSimilarity,5,10,0.003059975520195839,0.0108952380952381,0.004759393539881348,0.002236368205042299,0.020950975360357584
Dominance,JaroSimilarity,5,0,0.0031942344571938295,0.012476803781682087,0.006988136326793653,0.0032867425710007307,0.025945917136670302
Dominance,JaroSimilarity,60,2,0.014075887392900856,0.011619047619047619,0.006789716545814107,0.0023871346008878464,0.03487178615865043
Dominance,JaroSimilarity,60,5,0.008323133414932682,0.00678095238095238,0.005326301911667767,0.0024122623335287715,0.022842650041081602
Dominance,JaroSimilarity,60,7,0.007868508480503585,0.006965986394557822,0.00548074206610792,0.002919603221136012,0.023234840162305335
Dominance,JaroSimilarity,60,10,0.0073439412484700125,0.00700952380952381,0.005761371127224788,0.002688667392578944,0.022803503577797556
Dominance,JaroSimilarity,60,0,0.008299491416185942,0.007239180225629259,0.005623340131053573,0.0026769532111048395,0.023838964983973615
Dominance,JaroSimilarity,8,2,0.01835985312117503,0.001142857142857143,0.0022412656558998025,0.0033084847977217524,0.02505246071765373
Dominance,JaroSimilarity,8,5,0.012239902080783356,0.009980952380952382,0.006618325642715888,0.004238210905435968,0.033077391009887595
Dominance,JaroSimilarity,8,7,0.008742787200559538,0.010612244897959179,0.005386571240229777,0.0044033360056477565,0.02914493934439625
Dominance,JaroSimilarity,8,10,0.00722154222766218,0.00986666666666667,0.004284772577455506,0.003643521232934083,0.025016502704718436
Dominance,JaroSimilarity,8,0,0.010096867475085447,0.009023987843524867,0.005612353702328068,0.004164429973294237,0.02889763899423262
Dominance,LCS-Ponderado,10,2,0.021419828641370868,0.010857142857142857,0.00896506262359921,0.00716140380266354,0.04840343792477647
