recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.00256002877087685,4.837503577248753E-5,5.765991337119E-4,4.557895790624798E-4,0.0036407925194237175
Dominance,JaroSimilarity,10,5,0.002873617529175641,2.1173210042342138E-4,0.0011574156144381763,9.498313969791092E-4,0.005192596641016348
Dominance,JaroSimilarity,10,7,0.002873617529175641,4.583279826084922E-4,0.001704245998246727,0.0010752355868358923,0.0061114270968667525
Dominance,JaroSimilarity,10,10,0.002986087203733235,5.84265190162995E-4,0.0017633028881487629,0.0011740323512876947,0.006507687633332687
Dominance,JaroSimilarity,10,0,0.0030169468726110784,6.566991680272347E-4,0.0018633992719737013,0.0011131652054918201,0.006650210518103834
Dominance,JaroSimilarity,15,2,0.0025807743676239405,1.0473060415649866E-4,0.0010940430324089291,4.557895790624798E-4,0.004235337583251848
Dominance,JaroSimilarity,15,5,0.0027029499388231465,6.345716438085183E-4,0.0016944594059385156,9.498313969791092E-4,0.00598181238554929
Dominance,JaroSimilarity,15,7,0.0028260725802156414,7.200804467972494E-4,0.0018751878373646827,0.0010747317726476034,0.006496072637025177
Dominance,JaroSimilarity,15,10,0.0029297220195009196,8.861482186044765E-4,0.0019921970804208664,0.0011725132751745195,0.006980580593700782
Dominance,JaroSimilarity,15,0,0.002793269780558246,9.932800002896884E-4,0.0020568685866963242,0.0012894862591479787,0.007132904626692237
Dominance,JaroSimilarity,20,2,0.00256002877087685,1.0473060415649866E-4,0.005352744928252014,4.581638560498594E-4,0.00847566815933522
Dominance,JaroSimilarity,20,5,0.0026873907412628293,6.239896332265076E-4,0.005599999965935345,8.532382086076139E-4,0.009764618549032295
Dominance,JaroSimilarity,20,7,0.0026892313280418943,7.11766009911384E-4,0.00580013446792442,9.213703550343227E-4,0.010122502160912022
Dominance,JaroSimilarity,20,10,0.0028045598694688622,9.165761757751682E-4,0.005856976660640973,0.0010878281196703861,0.010665940825555388
Dominance,JaroSimilarity,20,0,0.0027853984230823085,9.311021040576274E-4,0.005908870259031715,0.001089963504302142,0.01071533429047379
Dominance,JaroSimilarity,25,2,0.0024726008988712545,2.068507062766008E-4,0.002624066581099314,5.686702713509353E-4,0.005872188457598104
Dominance,JaroSimilarity,25,5,0.002598925589419879,7.224513661613896E-4,0.003013131433783856,8.330555061760944E-4,0.0071675638955412185
Dominance,JaroSimilarity,25,7,0.002600766176198944,7.970593239637375E-4,0.0035012733574797225,9.314610772967368E-4,0.00783055993493914
Dominance,JaroSimilarity,25,10,0.002725094645626488,0.0010005702080283132,0.003606301978713242,0.0011038237928031878,0.008435790625171231
Dominance,JaroSimilarity,25,0,0.002793307957082644,0.0010546556379547503,0.003432348722114871,0.0011027817082770492,0.008383094025429314
Dominance,JaroSimilarity,30,2,0.002353329413396089,0.001361793226693646,0.0026220889937558734,3.271057101955278E-4,0.006664317344041136
Dominance,JaroSimilarity,30,5,0.0024356863924953173,0.0016939844712441868,0.0030132138332565,6.677624503702629E-4,0.007810647147366267
Dominance,JaroSimilarity,30,7,0.0024409845787322308,0.0018806739955088668,0.00350112032988767,8.742562942972356E-4,0.008697035198426004
Dominance,JaroSimilarity,30,10,0.0025452194886651687,0.001979179281684714,0.0036061489511211905,9.563132355733501E-4,0.009086860957044422
Dominance,JaroSimilarity,30,0,0.002587875211456129,0.0019949716729642055,0.0035410122149833346,8.105022727916271E-4,0.008934361372195297
Dominance,JaroSimilarity,40,2,4.286114072422841E-4,0.0016973611681667087,0.0026637536550122216,6.948365714261187E-4,0.0054845628018473334
Dominance,JaroSimilarity,40,5,4.843717940105491E-4,0.0018456062293522812,0.0030368442248654495,9.138303975916021E-4,0.006280652645819882
Dominance,JaroSimilarity,40,7,5.031371776816425E-4,0.002009890136267979,0.003443304124117701,9.572601800410303E-4,0.006913591618108353
