recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.005086062500294443,2.3085830788244766E-4,0.0013895518434462674,0.0013607154568691902,0.008067188108492348
Dominance,JaroSimilarity,10,5,0.0063798424323583255,0.0010899023314236026,0.0035049407802919055,0.0036651878392299463,0.014639873383303779
Dominance,JaroSimilarity,10,7,0.0063798424323583255,0.002298074126051926,0.0061289632159870575,0.004556275695469918,0.01936315546986723
Dominance,JaroSimilarity,10,10,0.0069223294547373975,0.003151066046371066,0.006434782751752572,0.0052482516813853785,0.021756429934246414
Dominance,JaroSimilarity,10,0,0.0076671763527206725,0.005191928666180858,0.00973656757835701,0.007558686798508951,0.03015435939576749
Dominance,JaroSimilarity,15,2,0.005170778809193113,4.7717205250713286E-4,0.0034807853447965187,0.0013607154568691902,0.010489451663365955
Dominance,JaroSimilarity,15,5,0.0057740996325138525,0.002659284811824728,0.005735587492072378,0.0036651878392299463,0.017834159775640904
Dominance,JaroSimilarity,15,7,0.006288051750012392,0.003276211214104416,0.0070545541414214746,0.00455074277555027,0.02116955988108855
Dominance,JaroSimilarity,15,10,0.006807336469148241,0.004282513086716687,0.007713897179347996,0.005236516558495596,0.02404026329370852
Dominance,JaroSimilarity,15,0,0.00702460684687715,0.006222086441575099,0.010720322204763606,0.008096701448399296,0.03206371694161515
Dominance,JaroSimilarity,20,2,0.005086062500294443,4.7717205250713286E-4,0.01266045358429937,0.0014893648203014112,0.019713052957402354
Dominance,JaroSimilarity,20,5,0.005725868651944344,0.0026111788082173524,0.013883377526589146,0.003411289747409554,0.0256317147341604
Dominance,JaroSimilarity,20,7,0.005746082094698533,0.0032483509886974903,0.015184088681269529,0.003912838073271831,0.028091359837937386
Dominance,JaroSimilarity,20,10,0.006308450423468951,0.004399194224963879,0.01555220839596134,0.005454298194902406,0.03171415123929657
Dominance,JaroSimilarity,20,0,0.006876749290886301,0.005920021532891602,0.01722183624880851,0.006478290442205196,0.036496897514791606
Dominance,JaroSimilarity,25,2,0.00486793484032547,6.94520246754648E-4,0.007654735405821404,0.0012704133055766497,0.01448760379847817
Dominance,JaroSimilarity,25,5,0.005504028405562209,0.002814315263016636,0.009621461605706852,0.00211510159927348,0.020054906873559177
Dominance,JaroSimilarity,25,7,0.005524241848316397,0.0033841358014346672,0.01214489837413358,0.0027971423842170057,0.023850418408101648
Dominance,JaroSimilarity,25,10,0.006147457548647471,0.004544436440755249,0.012930556898606567,0.003878112835496228,0.027500563723505515
Dominance,JaroSimilarity,25,0,0.0071995667956197265,0.0058289535916613315,0.013066346769378932,0.0053113783143448065,0.0314062454710048
Dominance,JaroSimilarity,30,2,0.0046044756531873655,0.0035028652974874223,0.007643375858055693,0.0011555608116892132,0.016906277620419696
Dominance,JaroSimilarity,30,5,0.004985707454025552,0.005172332816543826,0.009623681187896627,0.002738200972207999,0.022519922430674
Dominance,JaroSimilarity,30,7,0.005036097454874709,0.0063212747497337,0.012147377792957895,0.0039786757476649335,0.027483425745231237
Dominance,JaroSimilarity,30,10,0.005595268520780654,0.007190882319466677,0.012933036317430879,0.0046440809706110074,0.030363268128289215
Dominance,JaroSimilarity,30,0,0.006339540533982716,0.008490826643842774,0.0134602413720776,0.005458192349235004,0.03374880089913809
Dominance,JaroSimilarity,40,2,0.0014640852330066972,0.004546886366274141,0.0077523184510439325,0.001779646196254462,0.015542936246579233
Dominance,JaroSimilarity,40,5,0.001741685821825762,0.005398017108685082,0.009094752026548029,0.0027244247619756944,0.018958879719034566
Dominance,JaroSimilarity,40,7,0.001882177530926448,0.006403872682404009,0.011552147439101197,0.0030449371076375605,0.022883134760069212
Dominance,JaroSimilarity,40,10,0.002579274689383484,0.007490469351454453,0.013117048132331277,0.0033749919681069296,0.02656178414127614
Dominance,JaroSimilarity,40,0,0.0029192909378157545,0.009701411640340891,0.014176807737689045,0.004596947312166933,0.03139445762801262
Dominance,JaroSimilarity,50,2,0.0033974996378854485,0.004486183348271523,0.0077523184510439325,0.0013094944219983835,0.016945495859199286
Dominance,JaroSimilarity,50,5,0.003866453119390321,0.005337314090682463,0.009104985264261956,0.0021793268294801747,0.020488079303814914
Dominance,JaroSimilarity,50,7,0.0041711854064573955,0.006343169664401391,0.012441889318492712,0.0026193829565038075,0.025575627345855306
Dominance,JaroSimilarity,50,10,0.004782966309887367,0.0073761812535459185,0.013680258242464476,0.003052575359494668,0.02889198116539243
Dominance,JaroSimilarity,50,0,0.0054015257966163795,0.011030693873615383,0.015054102236970072,0.003991234174983821,0.03547755608218566
Dominance,JaroSimilarity,5,2,0.0,0.00323101073203946,0.0051191319246582795,0.0014984627312364177,0.009848605387934157
Dominance,JaroSimilarity,5,5,8.733114296381911E-4,0.0072503844743517796,0.008533805410226072,0.0017926563324690092,0.01845015764668505
Dominance,JaroSimilarity,5,7,0.0014906960278166976,0.00843937647020812,0.008918261237796784,0.002891120264499272,0.021739454000320874
Dominance,JaroSimilarity,5,10,0.0019768327069438142,0.010318062599269793,0.009559542231594022,0.0033165408161130545,0.025170978353920685
Dominance,JaroSimilarity,5,0,0.0024008103106568936,0.013871703055113812,0.012874127202831587,0.0058956351499207865,0.03504227571852308
Dominance,JaroSimilarity,60,2,0.002621339558621756,0.004410699331794923,0.0027900554004281165,0.0013542077334673223,0.011176302024312119
Dominance,JaroSimilarity,60,5,0.003083929096874609,0.005180489725383308,0.004219991390351157,0.002395605663730745,0.01488001587633982
Dominance,JaroSimilarity,60,7,0.0036946919476811948,0.006324343552170827,0.005178373540653866,0.003595956974062875,0.018793366014568765
Dominance,JaroSimilarity,60,10,0.0042794893890887665,0.007578831040433897,0.006596673585589406,0.004211131162541823,0.02266612517765389
Dominance,JaroSimilarity,60,0,0.005335895855746722,0.009473559175742522,0.008548232753890848,0.00540651097594691,0.028764198761327003
Dominance,JaroSimilarity,8,2,0.005086062500294443,2.120780716560158E-4,0.0013387195130198795,0.0013607154568691902,0.007997575541839528
Dominance,JaroSimilarity,8,5,0.0063798424323583255,0.00482476972178155,0.006146494027673043,0.0036651878392299463,0.021016294021042863
Dominance,JaroSimilarity,8,7,0.0063798424323583255,0.007190625850466978,0.006473875550408492,0.004560317846869233,0.024604661680103026
Dominance,JaroSimilarity,8,10,0.0069223294547373975,0.00867201696079697,0.006937225027985044,0.005166373015367543,0.02769794445888695
Dominance,JaroSimilarity,8,0,0.00709528351233171,0.011429331023626223,0.010849467855830477,0.007428110166640863,0.03680219255842927
Dominance,LCS-Ponderado,10,2,0.0030872692775488902,0.004147117182928441,0.004420334314257842,0.004275872289832535,0.015930593064567705
Dominance,LCS-Ponderado,10,5,0.004892834324172782,0.006490960673627977,0.007143165109698108,0.006545856080944013,0.025072816188442877
Dominance,LCS-Ponderado,10,7,0.006332774353046983,0.00792144733201453,0.008491885450079582,0.007813630239743274,0.03055973737488437
Dominance,LCS-Ponderado,10,10,0.007558572094118927,0.009855071740205877,0.009958841402157243,0.009370797707916682,0.03674328294439873
Dominance,LCS-Ponderado,10,0,0.008152071994704444,0.012660474473540394,0.012663419739775491,0.011783888818066858,0.04525985502608719
Dominance,LCS-Ponderado,15,2,0.0014754353187457648,0.002650823460380631,0.0030525874300291376,0.0035828535635445144,0.01076169977270005
Dominance,LCS-Ponderado,15,5,0.002720649916822851,0.0050473601510135045,0.005177042862301014,0.005661692550425002,0.01860674548056237
Dominance,LCS-Ponderado,15,7,0.0036259601205912767,0.005972499343028917,0.006864688874263573,0.006658716879498152,0.023121865217381916
Dominance,LCS-Ponderado,15,10,0.004672446615953621,0.007245277190007892,0.00820306271991109,0.008001968743847157,0.02812275526971976
Dominance,LCS-Ponderado,15,0,0.005144647088835502,0.010284072276154726,0.011019924645355608,0.010165657522461293,0.03661430153280713
Dominance,LCS-Ponderado,20,2,0.0022423462766045232,0.002552729648243276,0.0024438060974501094,0.003428518377286308,0.010667400399584217
Dominance,LCS-Ponderado,20,5,0.003608056980954068,0.00412504957098866,0.0047091638493297495,0.005132210875872613,0.01757448127714509
Dominance,LCS-Ponderado,20,7,0.004296218989026939,0.004994561342028545,0.006274171637774029,0.006024661402421194,0.021589613371250708
Dominance,LCS-Ponderado,20,10,0.005631383698162565,0.006319016024961735,0.00794021337913045,0.00715952591173965,0.0270501390139944
Dominance,LCS-Ponderado,20,0,0.006338474416608962,0.008955630737484661,0.01009535536512595,0.00904052336249213,0.0344299838817117
Dominance,LCS-Ponderado,25,2,0.0027374261867268326,0.002325266627026533,0.002574584003864138,0.0035840096833628455,0.011221286500980348
Dominance,LCS-Ponderado,25,5,0.0047136504125290715,0.0044205990728613115,0.004878058005195963,0.004929251406402319,0.018941558896988665
Dominance,LCS-Ponderado,25,7,0.005407837119016608,0.005288370960800562,0.006061994669558057,0.005822443054259157,0.02258064580363438
Dominance,LCS-Ponderado,25,10,0.006180330236731976,0.006504508553984272,0.007280099900854671,0.0072064270298827175,0.027171365721453636
Dominance,LCS-Ponderado,25,0,0.006718325637681397,0.00906246094836102,0.009267334255816183,0.008853680446170204,0.033901801288028804
Dominance,LCS-Ponderado,30,2,0.0025537491956979194,0.0027242799236111784,0.0020558111387045594,0.002713279176569045,0.010047119434582702
Dominance,LCS-Ponderado,30,5,0.004475471149829186,0.004451903211887645,0.0038496194739739264,0.004216512490644306,0.016993506326335065
Dominance,LCS-Ponderado,30,7,0.005112425003368356,0.005262745046228614,0.004812746737499863,0.005076220203699847,0.02026413699079668
Dominance,LCS-Ponderado,30,10,0.0062975073158315865,0.006485034607814342,0.00591179940454549,0.006147709713794847,0.024842051041986266
Dominance,LCS-Ponderado,30,0,0.0073572353906321206,0.00873803271821958,0.008081017012800402,0.008507492659666585,0.03268377778131869
Dominance,LCS-Ponderado,40,2,0.0033030167760016707,0.0021502899583437803,0.002314881180050115,0.0031798518898630375,0.010948039804258604
Dominance,LCS-Ponderado,40,5,0.004066927545914013,0.0036118731924826715,0.0037961444547919684,0.005077412881772964,0.016552358074961616
Dominance,LCS-Ponderado,40,7,0.004627229599326091,0.0046588503392931465,0.004792733262042672,0.005781241442940634,0.019860054643602545
Dominance,LCS-Ponderado,40,10,0.005605116287640253,0.005746351223969525,0.005928186971775299,0.006526365646651273,0.02380602013003635
Dominance,LCS-Ponderado,40,0,0.006315891603110877,0.007600800874771976,0.007392792888000495,0.008629320629336985,0.029938805995220332
Dominance,LCS-Ponderado,50,2,0.0014631539277264614,0.0018385112196027814,0.0028634637083742344,0.0029295396657087586,0.009094668521412237
Dominance,LCS-Ponderado,50,5,0.003343113011613925,0.003375179228786689,0.004469457063603008,0.00443929595439603,0.01562704525839965
Dominance,LCS-Ponderado,50,7,0.0037009941460387896,0.003961204753977937,0.005559972958555253,0.005327529053188037,0.018549700911760017
Dominance,LCS-Ponderado,50,10,0.004378800231440742,0.005396871265029014,0.006399589466016896,0.006120695862726833,0.022295956825213483
Dominance,LCS-Ponderado,50,0,0.004831308267561862,0.0071502797588364345,0.008051070893387368,0.008140478074860588,0.028173136994646256
Dominance,LCS-Ponderado,5,2,0.003514776666133929,0.004140111206030327,0.005588484104127772,0.0059853756581536525,0.01922874763444568
Dominance,LCS-Ponderado,5,5,0.004967093376172861,0.006822794979625906,0.009335320926100524,0.00945053319283731,0.0305757424747366
Dominance,LCS-Ponderado,5,7,0.006150858862285381,0.008174078361378267,0.010898143464532745,0.01081807171503722,0.03604115240323361
Dominance,LCS-Ponderado,5,10,0.007921934406669908,0.010222055548032662,0.012958035077377271,0.012334763166858267,0.043436788198938106
Dominance,LCS-Ponderado,5,0,0.009200910893715249,0.01313921849919666,0.015672652973840778,0.014909492772813063,0.05292227513956575
Dominance,LCS-Ponderado,60,2,0.0012406918433837796,0.0013599341776707346,0.0025978784554817544,0.0026807772870105057,0.007879281763546775
Dominance,LCS-Ponderado,60,5,0.002876204218403229,0.0026586407529104903,0.004302308022759993,0.004319085691841746,0.014156238685915458
Dominance,LCS-Ponderado,60,7,0.003702766379163799,0.003492605420477984,0.0049920719717041154,0.00498166600232898,0.017169109773674876
Dominance,LCS-Ponderado,60,10,0.004160319499096168,0.004071277477240598,0.00604377648139776,0.005964518855843158,0.020239892313577684
Dominance,LCS-Ponderado,60,0,0.0043623201833107115,0.005858036608354976,0.007478448653678884,0.007576068861355615,0.02527487430670019
Dominance,LCS-Ponderado,8,2,0.002938943567484111,0.004851011335036261,0.0036203646379366224,0.004371830678468596,0.015782150218925588
Dominance,LCS-Ponderado,8,5,0.0045459342537545,0.007451374513132562,0.006478529712198379,0.00697059486575046,0.0254464333448359
Dominance,LCS-Ponderado,8,7,0.005600481477360075,0.008752832194123695,0.008099237037842641,0.008214159463407936,0.030666710172734347
Dominance,LCS-Ponderado,8,10,0.007364844905443248,0.010012653612450222,0.009815806641401387,0.009666101379450705,0.03685940653874556
Dominance,LCS-Ponderado,8,0,0.008134044203295231,0.01266067709571009,0.012721369300735232,0.012454455285355931,0.045970545885096484
Dominance,LCS-Puro,10,2,0.0026872811881025267,0.0029461577019391054,0.0033426047815078583,0.0029404118783912395,0.011916455549940728
Dominance,LCS-Puro,10,5,0.004458168226786658,0.004366270282932841,0.005493179312924903,0.004890713899243501,0.019208331721887902
Dominance,LCS-Puro,10,7,0.005370939448513133,0.005312028050680348,0.006604338689855124,0.006045677859891556,0.023332984048940162
Dominance,LCS-Puro,10,10,0.006576681607223654,0.006689435872222992,0.008424669483886538,0.007468010308945774,0.029158797272278957
Dominance,LCS-Puro,10,0,0.007931499369127322,0.008590463256980835,0.011156973389341893,0.009650139686478968,0.03732907570192902
Dominance,LCS-Puro,15,2,0.0014006051833742857,0.0024920425933014426,0.002600055554281857,0.0024164437361859532,0.008909147067143538
Dominance,LCS-Puro,15,5,0.002570839020037868,0.00424023731833055,0.004697827908153811,0.00453648195312182,0.01604538619964405
Dominance,LCS-Puro,15,7,0.0035990365297225405,0.005129030462690457,0.005720928058809319,0.0055695679477740945,0.02001856299899641
Dominance,LCS-Puro,15,10,0.004802188048771544,0.006280671496346608,0.007156991580638563,0.006883715713587627,0.025123566839344344
Dominance,LCS-Puro,15,0,0.0058271107594546545,0.008911417386116532,0.009769490703784767,0.008902436120855813,0.033410454970211764
Dominance,LCS-Puro,20,2,0.0013491873838581945,0.002777168078884055,0.002818757877133319,0.002279377126012224,0.009224490465887792
Dominance,LCS-Puro,20,5,0.0024266550347769485,0.0040422367619988644,0.004530721672900372,0.0036836062505923904,0.014683219720268575
Dominance,LCS-Puro,20,7,0.0030033264564636843,0.0050789533933450134,0.005525745188981454,0.004649832590749639,0.01825785762953979
Dominance,LCS-Puro,20,10,0.0037870380506741944,0.006111014894191061,0.00666445251535077,0.005961356902860101,0.022523862363076127
Dominance,LCS-Puro,20,0,0.0048024346447154845,0.008304019855593675,0.008270559182762444,0.0077508913603794045,0.02912790504345101
Dominance,LCS-Puro,25,2,0.0021979152650726482,0.0030565060923632746,0.0026566686398398725,0.0016015405655678287,0.009512630562843625
Dominance,LCS-Puro,25,5,0.0029404780290302117,0.004442427303427048,0.004279260121393598,0.002917021395466684,0.014579186849317543
Dominance,LCS-Puro,25,7,0.0035230057302189106,0.005432861267842205,0.005538911602631398,0.00345368261542642,0.017948461216118934
Dominance,LCS-Puro,25,10,0.004387969144279634,0.006342038995224257,0.0067441824282682035,0.004556959830632313,0.022031150398404406
Dominance,LCS-Puro,25,0,0.005579823469648057,0.00819245592230395,0.008874828168219193,0.006778906573982279,0.02942601413415348
Dominance,LCS-Puro,30,2,0.0023232285713935532,0.002731929820133178,0.002057223168937506,0.001666830739742805,0.008779212300207043
Dominance,LCS-Puro,30,5,0.003258356428280073,0.004260731776228912,0.0034787159512067005,0.002617075285053563,0.013614879440769247
Dominance,LCS-Puro,30,7,0.0043021852879367205,0.004978891923104417,0.004202439995703872,0.0033856790530779743,0.016869196259822986
Dominance,LCS-Puro,30,10,0.005317136581518601,0.006015814778349174,0.00534698430660349,0.004332570423723036,0.021012506090194304
Dominance,LCS-Puro,30,0,0.005906786732975162,0.007950002545447095,0.007419575126190934,0.006732576590455227,0.028008940995068416
Dominance,LCS-Puro,40,2,0.0029649164620931265,0.0021536171707881705,0.0017087989941263603,0.0012750447572684464,0.008102377384276105
Dominance,LCS-Puro,40,5,0.004141325813833515,0.003912491377771705,0.0028139055393608756,0.0021243522322579532,0.012992074963224048
Dominance,LCS-Puro,40,7,0.004658640599098757,0.004844485713135063,0.0037154690272787486,0.0027289068383537993,0.015947502177866366
Dominance,LCS-Puro,40,10,0.005360598859830405,0.00595397817136874,0.004807945876603604,0.0034112937886884662,0.019533816696491214
Dominance,LCS-Puro,40,0,0.005920815393539706,0.007655982986488752,0.0065010005509390165,0.005755322293601507,0.025833121224568982
Dominance,LCS-Puro,50,2,0.0013980246892479466,8.166365417893236E-4,9.743975149785922E-4,0.0012681735924597094,0.004457232338475572
Dominance,LCS-Puro,50,5,0.002294021373251683,0.0026317533233273785,0.0019845566715444296,0.0020223916568279637,0.008932723024951454
Dominance,LCS-Puro,50,7,0.0028393239794071577,0.0034566612927804446,0.002591957106362633,0.002432120505249444,0.01132006288379968
Dominance,LCS-Puro,50,10,0.0031846754886658323,0.004351929610252471,0.0033135240390004426,0.0032295907488021844,0.01407971988672093
Dominance,LCS-Puro,50,0,0.004385210124617358,0.0062374511598818,0.004994294526609476,0.005362660926537334,0.020979616737645968
Dominance,LCS-Puro,5,2,0.003281329214579757,0.004035760885265218,0.0048890158235380225,0.005480611682902781,0.017686717606285776
Dominance,LCS-Puro,5,5,0.005531794129162007,0.005872744717161138,0.00781326800321086,0.007679634863179806,0.026897441712713813
Dominance,LCS-Puro,5,7,0.006606268347339097,0.007149751783206105,0.009216039229744434,0.008765880517597854,0.03173793987788749
Dominance,LCS-Puro,5,10,0.008492549016574433,0.008845679012912494,0.010813991946681565,0.010425198326184491,0.038577418302352985
Dominance,LCS-Puro,5,0,0.009170031342017134,0.011395776315140828,0.01361246019470126,0.013349327515584554,0.047527595367443776
Dominance,LCS-Puro,60,2,8.573514008970596E-4,0.0011243242499959282,0.0014926586469050697,0.0010148474062314148,0.004489181704029472
Dominance,LCS-Puro,60,5,0.002161864406376218,0.002424264169068935,0.002876216869195664,0.00172839499154459,0.009190740436185408
Dominance,LCS-Puro,60,7,0.002746477822421823,0.0029557476602297683,0.003517588180350676,0.0021207068094063895,0.011340520472408657
Dominance,LCS-Puro,60,10,0.0032007282755672833,0.003780169788974838,0.004284212062580437,0.00262923718753685,0.013894347314659408
Dominance,LCS-Puro,60,0,0.004007294903752301,0.005346836322844662,0.005576955644617508,0.004491283221302389,0.01942237009251686
Dominance,LCS-Puro,8,2,0.0015690037005566737,0.002656165716274384,0.0035754453027731373,0.0032601332868488087,0.011060748006453004
Dominance,LCS-Puro,8,5,0.003289999942949633,0.004606751428127564,0.005918182476465434,0.005220875249880179,0.01903580909742281
Dominance,LCS-Puro,8,7,0.004303487300356833,0.005550414387562374,0.007596463654277973,0.0062329518504038285,0.023683317192601007
Dominance,LCS-Puro,8,10,0.005614993460195253,0.00697100924985836,0.009020677221716728,0.008032839064110987,0.029639518995881325
Dominance,LCS-Puro,8,0,0.006469468440446841,0.009515703097346232,0.01175105513459028,0.010357842164490054,0.038094068836873406
Dominance,LCS-R,10,2,0.0023632390892989697,0.0029437938223632666,0.004303202511824403,0.003458384680957256,0.013068620104443896
Dominance,LCS-R,10,5,0.003992088684149156,0.0046421050850879745,0.006728927948673369,0.005367782040758757,0.020730903758669254
Dominance,LCS-R,10,7,0.004968736411325706,0.005880290456963002,0.0077694743041059975,0.006333070195961713,0.024951571368356417
Dominance,LCS-R,10,10,0.005806809434039238,0.0074010928480861176,0.009544042629476621,0.007744891768774875,0.03049683668037685
Dominance,LCS-R,10,0,0.006504357637795754,0.009511483767304832,0.01148895152790637,0.009747515067854632,0.037252308000861586
Dominance,LCS-R,15,2,0.0013050152347830702,0.0033116341967499873,0.0029021986283223012,0.002444155263773964,0.009963003323629323
Dominance,LCS-R,15,5,0.0024262178779837166,0.0052392149971975605,0.004764091879077327,0.004091479071127991,0.016521003825386595
Dominance,LCS-R,15,7,0.0033275049393207998,0.006212810745955447,0.005867751399225771,0.005077305437006508,0.020485372521508526
Dominance,LCS-R,15,10,0.004685899048971832,0.007409695810226965,0.007376399653647063,0.006512742844088822,0.02598473735693468
Dominance,LCS-R,15,0,0.004943856831097929,0.009118744868156343,0.009590342292333659,0.008483507328226624,0.03213645131981456
Dominance,LCS-R,20,2,0.0014194733851339133,0.0026249542018714554,0.0024816875775600196,0.0025699450029167265,0.009096060167482115
Dominance,LCS-R,20,5,0.0027577181695870342,0.0036954116352047738,0.004143422556535987,0.004191897454291029,0.014788449815618825
Dominance,LCS-R,20,7,0.0032260210234045703,0.004732158061422317,0.005332035393616878,0.0052281211545127,0.018518335632956465
Dominance,LCS-R,20,10,0.004127221157437669,0.0056256607518036855,0.006536939532722037,0.006304704827800366,0.022594526269763757
Dominance,LCS-R,20,0,0.0047096238549416405,0.00746948918482731,0.008629235366700648,0.007880882469217376,0.028689230875686974
Dominance,LCS-R,25,2,0.0022357133355903006,0.002902779250827696,0.002259657675158986,0.0018348517407440778,0.00923300200232106
Dominance,LCS-R,25,5,0.0032474315788285505,0.004324345678178484,0.004066752045068389,0.0031452778178345814,0.014783807119910005
Dominance,LCS-R,25,7,0.003689668860961813,0.004975351089122777,0.005286376067362644,0.003937224306110699,0.01788862032355793
Dominance,LCS-R,25,10,0.004899819175860642,0.006105439044816247,0.0065851475024585535,0.005031151794427838,0.02262155751756328
Dominance,LCS-R,25,0,0.005531093899825672,0.008228497341599899,0.008651282908460258,0.0066139970698789255,0.029024871219764756
Dominance,LCS-R,30,2,0.0024157346852908042,0.003384464390843664,0.0020371585506667846,0.0018434428968141564,0.00968080052361541
Dominance,LCS-R,30,5,0.003670523684692677,0.005358628425899619,0.0037689547539948064,0.0031391565982363946,0.0159372634628235
Dominance,LCS-R,30,7,0.004532408062956586,0.006076304750775412,0.004806485957814244,0.003881451880732138,0.01929665065227838
Dominance,LCS-R,30,10,0.005755734173457826,0.006986661276676821,0.005957150888381932,0.005048603328318257,0.023748149666834837
Dominance,LCS-R,30,0,0.005596585562352029,0.00915533872480554,0.007924826286687246,0.006459652399877978,0.029136402973722792
Dominance,LCS-R,40,2,0.0026554620689296566,0.0019459970413601988,0.0018855458286832906,0.0014462250567724305,0.007933229995745578
Dominance,LCS-R,40,5,0.0037286016235063522,0.0035354901665263583,0.0031269656382398783,0.002843065356492224,0.013234122784764813
Dominance,LCS-R,40,7,0.004833923354818545,0.00424121881872316,0.00414443184142789,0.0035496345792151384,0.016769208594184733
Dominance,LCS-R,40,10,0.005689112613564931,0.00534108909083402,0.00533021744548854,0.0046163162904981295,0.02097673544038562
Dominance,LCS-R,40,0,0.0059867235358547904,0.0071446439032986225,0.007099115827576604,0.006536797550496868,0.026767280817226884
Dominance,LCS-R,50,2,0.0019213107985038504,8.743076162431941E-4,0.0013720828646041207,0.0012942393725573372,0.005461940651908502
Dominance,LCS-R,50,5,0.0029625247257589987,0.003104941963026452,0.002405354865186204,0.002433075905233085,0.01090589745920474
Dominance,LCS-R,50,7,0.003982733015892751,0.0039715759420202515,0.0032045593908637056,0.0031711682101961793,0.014330036558972886
Dominance,LCS-R,50,10,0.0044212318844644,0.0048841929197114735,0.004316808577419852,0.004199466674622667,0.017821700056218394
Dominance,LCS-R,50,0,0.005137451270335982,0.006732266769178593,0.006073966259672749,0.006114408518678606,0.024058092817865927
Dominance,LCS-R,5,2,0.0026505101765717186,0.003327519046752938,0.004362277769742593,0.004768398698023379,0.01510870569109063
Dominance,LCS-R,5,5,0.004413451625821473,0.00549670469017867,0.007143697662629374,0.007357630067258214,0.024411484045887732
Dominance,LCS-R,5,7,0.005804397123410442,0.006570830744162573,0.008350580192283456,0.00865865341166888,0.029384461471525354
Dominance,LCS-R,5,10,0.007390699753757234,0.008351224449320094,0.010460420967016727,0.01052798377445925,0.03673032894455331
Dominance,LCS-R,5,0,0.00787682993129852,0.011235312139784001,0.013099517054159085,0.012380102606942174,0.04459176173218378
Dominance,LCS-R,60,2,0.0012163445089685165,0.0011862328913689439,0.0016336465361169927,0.0010641795737595947,0.005100403510214048
Dominance,LCS-R,60,5,0.0029198594758967577,0.0025435942841207397,0.0031257324771977344,0.002091100182647682,0.010680286419862914
