recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.01835985312117503,0.0026666666666666666,0.006921555702043508,0.01323393919088701,0.04118201468077221
Dominance,JaroSimilarity,10,5,0.012239902080783356,0.005942857142857144,0.00965062623599209,0.01695284362174387,0.04478622908137646
Dominance,JaroSimilarity,10,7,0.008742787200559538,0.00783673469387755,0.015481683774366694,0.017613344022591026,0.0496745496913948
Dominance,JaroSimilarity,10,10,0.00722154222766218,0.008076190476190475,0.011865524060646018,0.015043135941033594,0.04220639270553227
Dominance,JaroSimilarity,10,0,0.009864720124007591,0.00865435782110805,0.015059171031106985,0.016713702551813387,0.050291951528036005
Dominance,JaroSimilarity,15,2,0.018971848225214197,0.004952380952380952,0.025708635464733027,0.01323393919088701,0.06286680383321519
Dominance,JaroSimilarity,15,5,0.010771113831089352,0.01081904761904762,0.021041529334212262,0.01695284362174387,0.05958453440609311
Dominance,JaroSimilarity,15,7,0.008917642944570729,0.011102040816326528,0.02282700819286185,0.01756548167470355,0.060412173628462656
Dominance,JaroSimilarity,15,10,0.007466340269277847,0.01104761904761905,0.01779828609096902,0.014976128653991127,0.051288374061857045
Dominance,JaroSimilarity,15,0,0.009562018245286371,0.011921038992848442,0.01927345583357972,0.017252825932704642,0.05800933900441917
Dominance,JaroSimilarity,20,2,0.01835985312117503,0.004952380952380952,0.05537244561634806,0.010218611273976046,0.08890329096388008
Dominance,JaroSimilarity,20,5,0.010771113831089352,0.010666666666666666,0.029980224126565605,0.014607588575257562,0.06602559319957918
Dominance,JaroSimilarity,20,7,0.007868508480503585,0.01110204081632653,0.028590262736604213,0.013401457408493168,0.060962269441927494
Dominance,JaroSimilarity,20,10,0.006731946144430845,0.0112,0.02163480553724456,0.016852332691180166,0.056419084372855574
Dominance,JaroSimilarity,20,0,0.012796984055635757,0.010241159171979654,0.02756255331222624,0.014037603617884977,0.06463830015772663
Dominance,JaroSimilarity,25,2,0.017747858017135864,0.005333333333333333,0.04785761371127224,0.008040874445095905,0.07897967950683735
Dominance,JaroSimilarity,25,5,0.010526315789473686,0.010819047619047619,0.03132498352010549,0.007303794287628779,0.05997414121625557
Dominance,JaroSimilarity,25,7,0.007693652736492393,0.011210884353741495,0.03243243243243245,0.009237433142282793,0.06057440266494913
Dominance,JaroSimilarity,25,10,0.006731946144430846,0.011276190476190476,0.0266578773895847,0.010553647709188377,0.055219661719394394
Dominance,JaroSimilarity,25,0,0.011148358296266259,0.009857987497826367,0.02382229996465564,0.009638795180207192,0.05446744093895546
Dominance,JaroSimilarity,30,2,0.017135862913096694,0.017523809523809525,0.04765985497692815,0.010721165926794538,0.09304069334062891
Dominance,JaroSimilarity,30,5,0.009057527539779682,0.014780952380952377,0.03132498352010549,0.012262333528771256,0.06742579696960879
Dominance,JaroSimilarity,30,7,0.006819374016436439,0.0156734693877551,0.03243243243243245,0.014980914888779867,0.06990619072540386
Dominance,JaroSimilarity,30,10,0.006119951040391678,0.014704761904761908,0.0266578773895847,0.01366948655666304,0.06115207689140133
Dominance,JaroSimilarity,30,0,0.009128740372848375,0.012518553179330226,0.021425418618510994,0.01137085048020649,0.05444356265089608
Dominance,JaroSimilarity,40,2,0.009179926560587515,0.02361904761904762,0.04845088991430455,0.010888684144400704,0.0921385482383404
Dominance,JaroSimilarity,40,5,0.004895960832313343,0.014171428571428573,0.024759393539881352,0.008978976463690426,0.0528057594073137
Dominance,JaroSimilarity,40,7,0.004371393600279768,0.01404081632653061,0.028194745267916006,0.008423773228195706,0.05503072842292209
Dominance,JaroSimilarity,40,10,0.004895960832313341,0.014019047619047624,0.02519446275543836,0.007538319792277411,0.05164779099907674
Dominance,JaroSimilarity,40,0,0.0054946378742822535,0.015497813902858946,0.026347112288309084,0.009657928071606236,0.05699749213705652
Dominance,JaroSimilarity,50,2,0.016523867809057527,0.023238095238095238,0.04845088991430455,0.011391238797219198,0.09960409175867652
Dominance,JaroSimilarity,50,5,0.009302325581395349,0.014019047619047618,0.024838497033618998,0.009850071195242484,0.05800994142930445
