recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.00256002877087685,8.52060600009635E-5,0.001060954333907598,8.604455995142932E-4,0.004566634764299704
Dominance,JaroSimilarity,10,5,0.003951614290280701,7.939924277842803E-4,0.002816168218185071,0.0023988558221175625,0.009960630758367617
Dominance,JaroSimilarity,10,7,0.003951614290280701,0.0023008049919520696,0.005963118062647264,0.0031891478026111466,0.01540468514749118
Dominance,JaroSimilarity,10,10,0.004941901574320299,0.0034249092525456644,0.006346847681842687,0.004077026243403163,0.018790684752111812
Dominance,JaroSimilarity,10,0,0.005951397247986213,0.005920382585167025,0.010300199106263163,0.0067840923231884745,0.028956071262604875
Dominance,JaroSimilarity,15,2,0.0025807743676239405,1.6575988733388695E-4,0.002005467492449499,8.604455995142932E-4,0.0056124473469216195
Dominance,JaroSimilarity,15,5,0.003015293951529868,0.0018145197385970172,0.0038973893018963207,0.0023988558221175625,0.01112605881414077
Dominance,JaroSimilarity,15,7,0.003877152441277334,0.0023479346121409467,0.0050738773625916165,0.0031856211032931223,0.01448458551930302
Dominance,JaroSimilarity,15,10,0.004813838113313501,0.003603167313767514,0.00612226372635361,0.004068423234460709,0.018607692387895336
Dominance,JaroSimilarity,15,0,0.004586148192757896,0.005963092654720396,0.00965767318028215,0.007328878966207138,0.027535792993967582
Dominance,JaroSimilarity,20,2,0.00256002877087685,1.6575988733388695E-4,0.005461696236459911,5.958365588384705E-4,0.00878332145350912
Dominance,JaroSimilarity,20,5,0.003015293951529868,0.0017827737068509854,0.006235994291249037,0.0019322035932537581,0.012966265542883649
Dominance,JaroSimilarity,20,7,0.003028178058983324,0.002332061596267931,0.007410320822737215,0.002372895136905625,0.015143455614894096
Dominance,JaroSimilarity,20,10,0.0040460781286629655,0.00397516766029788,0.007882219849660262,0.0037939072629178416,0.01969737290153895
Dominance,JaroSimilarity,20,0,0.004848728400332887,0.005539309315731668,0.00993853976197551,0.005180740784478085,0.025507318262518147
Dominance,JaroSimilarity,25,2,0.0024726008988712545,2.649939865679862E-4,0.0029311373662269224,6.601277379584991E-4,0.006328859989624662
Dominance,JaroSimilarity,25,5,0.0029278660795242725,0.0018806596917683575,0.004417436093944305,0.001541309339920725,0.01076727120515766
Dominance,JaroSimilarity,25,7,0.0029407501869777287,0.002328519143341963,0.007231416283555652,0.002177355042830477,0.014678040656705822
Dominance,JaroSimilarity,25,10,0.004030649680661978,0.00398620835238984,0.008068941654394332,0.0036230812790469303,0.01970888096649308
Dominance,JaroSimilarity,25,0,0.005380056428171517,0.0056196017538444,0.008595562659674235,0.005150923350824784,0.024746144192514936
Dominance,JaroSimilarity,30,2,0.002353329413396089,0.0014038427950590039,0.002929159778883482,5.469605134724634E-4,0.007233292500811039
Dominance,JaroSimilarity,30,5,0.0026285746289021034,0.002820731043469739,0.004423698453865202,0.0020086714323336967,0.01188167555857074
Dominance,JaroSimilarity,30,7,0.0026622043331026505,0.003998365239693669,0.00723767864347655,0.003362153444707648,0.01726040166098052
Dominance,JaroSimilarity,30,10,0.0036609428270008757,0.004853605127618938,0.008075204014315229,0.004053494407973971,0.020643246376909015
Dominance,JaroSimilarity,30,0,0.004654116225357911,0.006415230101901767,0.009031506357998827,0.005010293991550718,0.025111146676809224
Dominance,JaroSimilarity,40,2,4.5259837471307314E-4,0.0020753396847627242,0.002981124140841603,7.634357459216116E-4,0.006272497946239012
Dominance,JaroSimilarity,40,5,6.698940336873038E-4,0.0026831693861737406,0.00460941043814612,0.001600823254198253,0.009563297112205417
Dominance,JaroSimilarity,40,7,7.871857028808321E-4,0.0038051013309089417,0.007040085377623459,0.0018728771768803346,0.013505249588293567
Dominance,JaroSimilarity,40,10,0.001835228512342604,0.005006502147449154,0.009090557993419493,0.0022106903000599096,0.01814297895327116
Dominance,JaroSimilarity,40,0,0.002263792116324949,0.007766617599673478,0.010407920167648969,0.0037296359376575343,0.02416796582130493
Dominance,JaroSimilarity,50,2,0.0020662077935465453,0.002043593653016692,0.002981124140841603,7.559988661164529E-4,0.007846924453521293
Dominance,JaroSimilarity,50,5,0.00238979909133422,0.0026514233544277085,0.00461578975215722,0.0014578187633489058,0.011114830961268056
Dominance,JaroSimilarity,50,7,0.002648629913755044,0.00377335529916291,0.008283128197183697,0.0019178753247094372,0.01662298873481109
Dominance,JaroSimilarity,50,10,0.003394504503994164,0.004967096216906226,0.010197296793073563,0.002443847969160177,0.02100274548313413
