recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,2.1091171299564176E-4,4.597563258641249E-4,0.0011304243647238916,1.859267086695583E-5,0.001186202377324759,7.814721853809656E-5,0.0014987912514771453,7.674079282648191E-4
Dominance,JaroSimilarity,10,5,7.406784335947108E-4,8.892943693899021E-4,0.002519267172374515,8.641996612074513E-5,0.0027785270707367505,4.431177222395186E-4,0.004550997959694825,0.0021595104913448766
Dominance,JaroSimilarity,10,7,0.0010267234099459752,0.0016090252464438597,0.004244773902833694,1.814941997123553E-4,0.0047892565019707605,5.967294196269624E-4,0.00717617418047861,0.0034139722757291525
Dominance,JaroSimilarity,10,10,0.0017864536481777512,0.002064571338139194,0.0059155963244561394,3.597422150237754E-4,0.006994822969527466,7.504777209854117E-4,0.009996733853469112,0.004961244922326132
Dominance,JaroSimilarity,10,0,0.05682484603620389,0.02122530835752716,0.0992754627512582,0.006844923798224883,0.11981023414593285,0.01069836106122096,0.16260367839081669,0.0955934392531769
Dominance,JaroSimilarity,15,2,3.51678811137027E-4,2.083277865492557E-4,7.683343842355384E-4,2.545204122937937E-4,0.0015318956211169195,6.52132962384135E-5,0.0017927488060705736,8.7974030621849E-4
Dominance,JaroSimilarity,15,5,0.001122627898476505,6.273589155770382E-4,0.002377345729630581,4.578945951985476E-4,0.003751029515226224,2.6135098910007966E-4,0.004796433471626543,0.0024692323983521703
Dominance,JaroSimilarity,15,7,0.0014839852614254062,8.035480056171831E-4,0.0030910812726597722,5.733310373221552E-4,0.004811074384626237,4.170219781714853E-4,0.0064791622973121785,0.00327788628253623
Dominance,JaroSimilarity,15,10,0.002094040145740105,0.00157184504466251,0.005237730235065125,7.348926594839622E-4,0.0074424082135170115,6.494344726361518E-4,0.010040146104061618,0.005050212322522729
Dominance,JaroSimilarity,15,0,0.05260621336975751,0.02022195402977935,0.09305012142931621,0.007295280375806026,0.11493596255673429,0.006346696101225659,0.14032274696163693,0.08647014387656854
Dominance,JaroSimilarity,20,2,9.811038082841295E-5,2.7496673946232636E-4,6.480438597530657E-4,2.527317522098144E-4,0.001406239116382509,7.542749614592687E-5,0.0017079491009662166,7.012363686464806E-4
Dominance,JaroSimilarity,20,5,7.321824556240416E-4,2.9301291519592045E-4,0.0013182082860158824,5.340462315499747E-4,0.0029203469806658063,1.702777819912351E-4,0.003601458108630747,0.001729519384361172
Dominance,JaroSimilarity,20,7,0.0010292559537293552,3.090027069742699E-4,0.001647261367677895,6.971235172489603E-4,0.003738631919424776,2.4144864660863568E-4,0.004704426505859319,0.002276830824561221
Dominance,JaroSimilarity,20,10,0.0015311820850297917,4.199626404040422E-4,0.002371107365837876,8.479993204535924E-4,0.004915105327198653,4.0069193117165265E-4,0.006517873051885264,0.003199835977059079
Dominance,JaroSimilarity,20,0,0.05662214037438488,0.006292636863565884,0.06920741410151665,0.009528724711502078,0.09779358823602288,0.007148000806996068,0.12638559146400716,0.07959150275644891
Dominance,JaroSimilarity,25,2,1.6739360012699308E-4,7.79383690235743E-5,3.2327033817414164E-4,6.27922499677047E-6,3.421080131644531E-4,8.612622795064318E-5,6.866129249670258E-4,3.3773742209798103E-4
Dominance,JaroSimilarity,25,5,0.0010367389756493629,1.850037264438427E-4,0.0014067464285370482,2.1421500855228426E-4,0.002049391454193901,2.9800097395950363E-4,0.0032413953500319156,0.0017339586846049936
Dominance,JaroSimilarity,25,7,0.0014307793029604966,2.045762106099229E-4,0.0018399317241803424,3.0004266810132056E-4,0.002740059728484304,3.893303072456471E-4,0.004297380957466892,0.0023247284889173873
Dominance,JaroSimilarity,25,10,0.001927095244083823,2.9294365355419426E-4,0.0025129825511922116,6.533313756626378E-4,0.004472976678180125,7.43307924260401E-4,0.007446208375221729,0.003616678197561056
Dominance,JaroSimilarity,25,0,0.05830816840341683,0.004297125915974593,0.06690242023536601,0.00831268126132348,0.09184046401933646,0.007445048937224029,0.12162065976823258,0.07836302451793893
Dominance,JaroSimilarity,30,2,3.0439451905679504E-4,2.9306069406320033E-5,3.630066578694351E-4,5.5404292195871794E-5,5.292195344570505E-4,6.801462956942509E-5,8.012780527347509E-4,4.5711951022841196E-4
Dominance,JaroSimilarity,30,5,7.825765457217546E-4,1.0739938437129789E-4,9.973753144643504E-4,2.1140479382215268E-4,0.0016315896959308083,1.8079179367976335E-4,0.0023547568706498616,0.0012821725175949687
