recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,1.1718416257763925E-4,4.1357497787780086E-4,1.0917165038903156E-5,3.907360926904828E-5,5.807499147633915E-4
Dominance,JaroSimilarity,10,5,3.2808413507306707E-4,5.336914174957534E-4,2.6736192676685414E-5,1.4350550634922534E-4,0.0010320172515947313
Dominance,JaroSimilarity,10,7,4.036958998985082E-4,6.603893434006096E-4,4.1602109196234634E-5,1.6816561129613832E-4,0.0012738529637914909
Dominance,JaroSimilarity,10,10,5.463912451198026E-4,7.209413278768521E-4,6.097031599833576E-5,1.8819857155637183E-4,0.0015165014605513624
Dominance,JaroSimilarity,10,0,0.008280400300462162,0.0021692700733389673,3.1489167390313325E-4,7.29932089246677E-4,0.01149449413695094
Dominance,JaroSimilarity,15,2,2.940584421460245E-4,1.9506302695690154E-4,2.5165731419260045E-4,6.243039164654307E-5,8.032091749420694E-4
Dominance,JaroSimilarity,15,5,5.10825343630436E-4,3.176669892136232E-4,3.068949371598204E-4,1.1203462912010835E-4,0.001247421899123988
Dominance,JaroSimilarity,15,7,5.875279046064134E-4,3.488678697145622E-4,3.306118403525034E-4,1.3646481670015514E-4,0.001403472431373634
Dominance,JaroSimilarity,15,10,7.173560467074815E-4,4.537728541462079E-4,3.558109804421678E-4,1.6498020498999957E-4,0.0016919200862858567
Dominance,JaroSimilarity,15,0,0.0064524031781325,0.0017615053403728545,6.427935434585628E-4,4.0550528516416525E-4,0.009262207347128081
Dominance,JaroSimilarity,20,2,7.442111167695899E-5,2.4000058084929415E-4,1.4061282854093478E-4,6.964752339605E-5,5.246820444632379E-4
Dominance,JaroSimilarity,20,5,2.538781098504609E-4,2.470882109396092E-4,2.2600855404526074E-4,9.564262353236275E-5,8.226174983676936E-4
Dominance,JaroSimilarity,20,7,3.161839353673904E-4,2.499149200012815E-4,2.512743229235298E-4,1.0731579551174754E-4,9.246889738039493E-4
Dominance,JaroSimilarity,20,10,3.9425200487827865E-4,2.6299770272685365E-4,2.722737529565701E-4,1.2721772373087276E-4,0.001056741184292575
Dominance,JaroSimilarity,20,0,0.007345914802800226,5.486358282868488E-4,6.696338344495899E-4,4.069372621642998E-4,0.008971121727700966
Dominance,JaroSimilarity,25,2,1.1678694294655605E-4,5.362221921494717E-5,6.27922499677047E-6,7.359602213598996E-5,2.5028440929426366E-4
Dominance,JaroSimilarity,25,5,3.7737738449600326E-4,8.628940614239742E-5,5.989504083624808E-5,1.2697169593544754E-4,6.505335274100963E-4
Dominance,JaroSimilarity,25,7,4.741606857939079E-4,8.919717844672144E-5,7.29575378103257E-5,1.431996995685273E-4,7.795151016194823E-4
Dominance,JaroSimilarity,25,10,5.75256915993126E-4,9.918165622590254E-5,1.163077671462094E-4,1.856512104095515E-4,9.763975497747894E-4
Dominance,JaroSimilarity,25,0,0.007579116074679303,2.4118873449803448E-4,4.4923554325656514E-4,5.2008784128058E-4,0.008789628193714484
Dominance,JaroSimilarity,30,2,2.598369305199395E-4,2.9306069406320033E-5,2.9163519087086667E-5,5.977133680127488E-5,3.7807785581462104E-4
Dominance,JaroSimilarity,30,5,3.9692168322517425E-4,4.7441341276831856E-5,7.833495816526157E-5,9.152912146069209E-5,6.142271041279598E-4
Dominance,JaroSimilarity,30,7,4.831256344130024E-4,5.6031382682461856E-5,8.97831232417052E-5,1.0214121286070203E-4,7.310813531978715E-4
Dominance,JaroSimilarity,30,10,5.79421829783734E-4,7.464985915481597E-5,1.033397952228313E-4,1.1774829189071418E-4,8.751597760520954E-4
Dominance,JaroSimilarity,30,0,0.007015951429377992,2.4127836771315391E-4,3.19285482598819E-4,4.083210083096863E-4,0.00798483628799965
Dominance,JaroSimilarity,40,2,0.0018253172363686633,9.141732461014067E-5,1.423176061909166E-5,2.896764882657639E-5,0.001959933970424472
Dominance,JaroSimilarity,40,5,0.0020213809952883068,1.4337935540991042E-4,4.6550359473569645E-5,6.853389266267806E-5,0.002279844602834465
Dominance,JaroSimilarity,40,7,0.002071729457745941,1.6323773789195793E-4,6.374826169882201E-5,7.935122176130963E-5,0.0023780666790980307
Dominance,JaroSimilarity,40,10,0.00290423456739923,1.9088547880570378E-4,7.756519657020497E-5,9.216190058971177E-5,0.0032648471433648503
Dominance,JaroSimilarity,40,0,0.01071000514030253,6.554367605519374E-4,3.116949130298768E-4,3.545156753546034E-4,0.012031652489238948
Dominance,JaroSimilarity,50,2,0.00184785498710114,1.1757789535567313E-6,2.6997077939397723E-5,6.854938002090539E-5,0.001944577224015
Dominance,JaroSimilarity,50,5,0.0020974549040334526,1.4830703748271847E-5,6.0869488470248506E-5,1.2312966158599517E-4,0.002296284757837968
Dominance,JaroSimilarity,50,7,0.0021407513535373697,2.4701433691525773E-5,7.141160362792528E-5,1.3593336775642343E-4,0.002372797758613244
Dominance,JaroSimilarity,50,10,0.002705777625874067,3.46628717157976E-5,9.212414871135351E-5,1.530795808267387E-4,0.0029856442271279566
Dominance,JaroSimilarity,50,0,0.009846887971607085,3.398020635105852E-4,3.3405661974802276E-4,6.572110924443739E-4,0.011177957747310069
Dominance,JaroSimilarity,5,2,4.274177336073024E-4,4.2624343662291987E-4,7.318253787564029E-5,1.2148517865320913E-5,9.389922259711834E-4
Dominance,JaroSimilarity,5,5,6.064211850703561E-4,5.257119253139729E-4,8.004145151605951E-5,2.0418628910907452E-5,0.0012325931908112957
Dominance,JaroSimilarity,5,7,6.793569051039695E-4,5.627327441208557E-4,8.107193374115382E-5,3.39111767788316E-5,0.0013570727597448106
Dominance,JaroSimilarity,5,10,7.323473714361043E-4,5.922120866272383E-4,8.660701015279102E-5,6.705573689725762E-5,0.001478222205113391
Dominance,JaroSimilarity,5,0,0.007145859837198815,0.0014926884292530299,3.530521791960753E-4,4.6921488860514283E-4,0.009460815334253064
Dominance,JaroSimilarity,60,2,0.0018253172363686633,8.976113924546364E-5,2.547079425654802E-5,9.783759669993888E-5,0.002038386766570614
Dominance,JaroSimilarity,60,5,0.001931228628363269,9.924525561810111E-5,4.6003930528592E-5,1.527626113096029E-4,0.0022292404258195653
Dominance,JaroSimilarity,60,7,0.0019958221570152038,1.1470886045109803E-4,5.6452947103357154E-5,1.7737556962508607E-4,0.0023443595341947456
Dominance,JaroSimilarity,60,10,0.0025792471031368877,1.3148927926407816E-4,6.986867132285098E-5,2.0032352120743577E-4,0.0029809285749312527
Dominance,JaroSimilarity,60,0,0.008163921357342185,3.943353134846321E-4,2.571305420293435E-4,6.221653014892082E-4,0.009437552514345367
