recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,9.280745209966277E-4,0.0023902105934856073,8.742847519076776E-5,2.911275402524587E-4,0.0036968411299254616
Dominance,JaroSimilarity,10,5,0.0025525380695574037,0.0034174199689599957,2.4084862203831468E-4,0.0011954659262584635,0.007406272586814178
Dominance,JaroSimilarity,10,7,0.0032495712328387293,0.004400272979643372,4.52424611684564E-4,0.001452479038406534,0.0095547478625732
Dominance,JaroSimilarity,10,10,0.004821545761345776,0.00515369572969358,7.567097999293963E-4,0.00171492188677258,0.012446873177741333
Dominance,JaroSimilarity,10,0,0.06012135357841854,0.024013950449516614,0.007150975197825808,0.011484055924480967,0.10277033515024193
Dominance,JaroSimilarity,15,2,0.002112175195350758,0.0011660616319011516,0.0013608844285205868,4.1136726122319037E-4,0.005050488516995686
Dominance,JaroSimilarity,15,5,0.003956593030224916,0.0022901808745284485,0.0019076431101181205,8.491186107949933E-4,0.009003535625666479
Dominance,JaroSimilarity,15,7,0.004636334581290345,0.0026594583176211455,0.0021746040250790804,0.0010947733610062538,0.010565170284996823
Dominance,JaroSimilarity,15,10,0.00584994411052756,0.003907045950697157,0.002474186517922546,0.0014302719895007898,0.013661448568648052
Dominance,JaroSimilarity,15,0,0.056174025291497495,0.02243758409625948,0.00902757347646826,0.00708227207412259,0.09472145493834783
Dominance,JaroSimilarity,20,2,5.740275694823066E-4,0.0015175587263701364,9.279276483673868E-4,4.6563874078920926E-4,0.003485152685009039
Dominance,JaroSimilarity,20,5,0.002437544014025615,0.001578597514540881,0.0016046160383661565,7.155602321219522E-4,0.006336317799054605
Dominance,JaroSimilarity,20,7,0.003180609954813397,0.0016197910400871515,0.001913426460352864,8.413943609246506E-4,0.007555221816178063
Dominance,JaroSimilarity,20,10,0.004196106258525305,0.001841375307753398,0.0021723700390376723,0.001083509975619249,0.009293361580935624
Dominance,JaroSimilarity,20,0,0.060084070645261646,0.008256781907365203,0.01077757158309411,0.007624334941718572,0.08674275907743954
Dominance,JaroSimilarity,25,2,9.783468030358762E-4,3.765949687692312E-4,4.877105051212508E-5,4.824696860833542E-4,0.0018861825084005865
Dominance,JaroSimilarity,25,5,0.003505915883387295,6.513768563223716E-4,5.922857642353816E-4,9.670786472617518E-4,0.0057166571512068
Dominance,JaroSimilarity,25,7,0.00443571291881777,6.968684672670094E-4,7.773443835908432E-4,0.0011669956546173977,0.007076921424293021
Dominance,JaroSimilarity,25,10,0.005389022329852355,8.580880446303879E-4,0.0013385103665332766,0.0016995879747212265,0.009285208715737245
Dominance,JaroSimilarity,25,0,0.06168847889208917,0.0049313579392906365,0.008945769312170792,0.008568533129906216,0.08413413927345682
Dominance,JaroSimilarity,30,2,0.001846404506118497,1.8859217242510917E-4,2.032845440458302E-4,4.018533331537744E-4,0.0026401345557432107
Dominance,JaroSimilarity,30,5,0.0032537307381474735,4.094931944603474E-4,6.637998633981474E-4,7.144478050485804E-4,0.0050414716010545495
Dominance,JaroSimilarity,30,7,0.004132459837483372,5.088019235200457E-4,7.981641465748899E-4,8.491387537399082E-4,0.006288564661318216
Dominance,JaroSimilarity,30,10,0.005389447558630459,7.879654391350103E-4,0.0010132543498965782,0.001064162397856382,0.00825482974551843
Dominance,JaroSimilarity,30,0,0.06058759791583889,0.005151544920376767,0.006592705246162872,0.007493029974250092,0.07982487805662862
Dominance,JaroSimilarity,40,2,0.010823956786784123,6.350905402562653E-4,1.0197325094199114E-4,1.873433820918739E-4,0.011748363960074252
Dominance,JaroSimilarity,40,5,0.012236051256880471,0.0011691219895857642,4.470964503471909E-4,5.813834564647759E-4,0.014433653153278202
Dominance,JaroSimilarity,40,7,0.01268327110959244,0.001413852776580161,5.979745702517777E-4,7.151163626366191E-4,0.015410214819060998
Dominance,JaroSimilarity,40,10,0.018999195075685763,0.0016957651397060413,7.995182728213042E-4,8.98485814959783E-4,0.02239296430317289
Dominance,JaroSimilarity,40,0,0.07209595016737567,0.010378611451148127,0.0070478747443817645,0.0068504850128304606,0.09637292137573603
Dominance,JaroSimilarity,50,2,0.010985115151611848,1.3628298957140321E-5,2.0942637295907234E-4,4.4510899007720484E-4,0.011653278813605266
Dominance,JaroSimilarity,50,5,0.012564626149487092,1.8475337544689117E-4,5.410171015371054E-4,9.564448330306856E-4,0.014246841459501773
Dominance,JaroSimilarity,50,7,0.012933693670345657,3.245370125875979E-4,6.868720891222318E-4,0.0011246614923851811,0.015069764264440667
Dominance,JaroSimilarity,50,10,0.017378325925969954,4.5477884465490806E-4,9.757083866515358E-4,0.0013777164980375272,0.020186529655313923
Dominance,JaroSimilarity,50,0,0.06844997764920482,0.0079101655525866,0.006975121528949084,0.011004949591371415,0.09434021432211191
