recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,1.1718416257763925E-4,8.271499557556017E-4,3.275149511670947E-5,1.5629443707619313E-4,0.0011333800505261436
Dominance,JaroSimilarity,10,5,3.2808413507306707E-4,0.001067382834991507,8.020857803005624E-5,5.740220253969014E-4,0.0020496975734915317
Dominance,JaroSimilarity,10,7,4.036958998985082E-4,0.0013207786868012193,1.248063275887039E-4,6.726624451845533E-4,0.002521943359472985
Dominance,JaroSimilarity,10,10,5.463912451198026E-4,0.0014418826557537042,1.8291094799500728E-4,7.527942862254873E-4,0.0029239791350940013
Dominance,JaroSimilarity,10,0,0.008280400300462162,0.004338540146677935,9.446750217093998E-4,0.002919728356986708,0.016483343825836206
Dominance,JaroSimilarity,15,2,2.940584421460245E-4,3.901260539138031E-4,7.549719425778013E-4,2.497215665861723E-4,0.0016888780052238012
Dominance,JaroSimilarity,15,5,5.10825343630436E-4,6.353339784272464E-4,9.206848114794612E-4,4.481385164804334E-4,0.002514982650017577
Dominance,JaroSimilarity,15,7,5.875279046064134E-4,6.977357394291244E-4,9.9183552105751E-4,5.458592668006205E-4,0.002822958431893669
Dominance,JaroSimilarity,15,10,7.173560467074815E-4,9.075457082924158E-4,0.0010674329413265034,6.599208199599983E-4,0.0033522555162863988
Dominance,JaroSimilarity,15,0,0.0064524031781325,0.003523010680745709,0.0019283806303756882,0.001622021140656661,0.013525815629910558
Dominance,JaroSimilarity,20,2,7.442111167695899E-5,4.800011616985883E-4,4.2183848562280435E-4,2.785900935842E-4,0.0012548508525825517
Dominance,JaroSimilarity,20,5,2.538781098504609E-4,4.941764218792184E-4,6.780256621357823E-4,3.82570494129451E-4,0.0018086506879949125
Dominance,JaroSimilarity,20,7,3.161839353673904E-4,4.99829840002563E-4,7.538229687705893E-4,4.2926318204699015E-4,0.0019990999261875328
Dominance,JaroSimilarity,20,10,3.9425200487827865E-4,5.259954054537073E-4,8.168212588697103E-4,5.08870894923491E-4,0.0022459395641251873
Dominance,JaroSimilarity,20,0,0.007345914802800226,0.0010972716565736977,0.00200890150334877,0.001627749048657199,0.012079837011379891
Dominance,JaroSimilarity,25,2,1.1678694294655605E-4,1.0724443842989434E-4,1.883767499031141E-5,2.9438408854395984E-4,5.372531449107216E-4
Dominance,JaroSimilarity,25,5,3.7737738449600326E-4,1.7257881228479485E-4,1.7968512250874424E-4,5.078867837417901E-4,0.0012375281030313325
Dominance,JaroSimilarity,25,7,4.741606857939079E-4,1.7839435689344287E-4,2.1887261343097713E-4,5.727987982741092E-4,0.0014442264543924371
Dominance,JaroSimilarity,25,10,5.75256915993126E-4,1.9836331245180508E-4,3.489233014386282E-4,7.42604841638206E-4,0.0018651483715217652
Dominance,JaroSimilarity,25,0,0.007579116074679303,4.8237746899606896E-4,0.0013477066297696953,0.00208035136512232,0.011489551538567387
Dominance,JaroSimilarity,30,2,2.598369305199395E-4,5.861213881264007E-5,8.749055726126E-5,2.3908534720509952E-4,6.450249737989391E-4
Dominance,JaroSimilarity,30,5,3.9692168322517425E-4,9.488268255366371E-5,2.350048744957847E-4,3.6611648584276835E-4,0.001092925726117391
Dominance,JaroSimilarity,30,7,4.831256344130024E-4,1.1206276536492371E-4,2.693493697251156E-4,4.085648514428081E-4,0.0012731026209458498
Dominance,JaroSimilarity,30,10,5.79421829783734E-4,1.4929971830963194E-4,3.100193856684939E-4,4.709931675628567E-4,0.0015097341013247164
Dominance,JaroSimilarity,30,0,0.007015951429377992,4.8255673542630783E-4,9.57856447796457E-4,0.0016332840332387451,0.010089648645839501
Dominance,JaroSimilarity,40,2,0.0018253172363686633,1.8283464922028134E-4,4.2695281857274984E-5,1.1587059530630557E-4,0.0021667177627525255
Dominance,JaroSimilarity,40,5,0.0020213809952883068,2.8675871081982083E-4,1.3965107842070894E-4,2.7413557065071223E-4,0.0027219263551795485
Dominance,JaroSimilarity,40,7,0.002071729457745941,3.2647547578391585E-4,1.9124478509646603E-4,3.174048870452385E-4,0.002906854605671561
Dominance,JaroSimilarity,40,10,0.00290423456739923,3.8177095761140757E-4,2.3269558971061491E-4,3.686476023588471E-4,0.0038873487170800994
Dominance,JaroSimilarity,40,0,0.01071000514030253,0.0013108735211038748,9.350847390896304E-4,0.0014180627014184137,0.014374026101914449
Dominance,JaroSimilarity,50,2,0.00184785498710114,2.3515579071134626E-6,8.099123381819317E-5,2.7419752008362157E-4,0.0022053952989100683
Dominance,JaroSimilarity,50,5,0.0020974549040334526,2.9661407496543693E-5,1.8260846541074552E-4,4.925186463439807E-4,0.0028022434232847226
Dominance,JaroSimilarity,50,7,0.0021407513535373697,4.9402867383051545E-5,2.1423481088377587E-4,5.437334710256937E-4,0.0029481225028298906
Dominance,JaroSimilarity,50,10,0.002705777625874067,6.93257434315952E-5,2.763724461340605E-4,6.123183233069548E-4,0.0036637941387466775
Dominance,JaroSimilarity,50,0,0.009846887971607085,6.796041270211704E-4,0.0010021698592440683,0.0026288443697774955,0.014157506327649819
Dominance,JaroSimilarity,5,2,4.274177336073024E-4,8.524868732458397E-4,2.1954761362692087E-4,4.859407146128365E-5,0.0015480462919413465
Dominance,JaroSimilarity,5,5,6.064211850703561E-4,0.0010514238506279458,2.4012435454817856E-4,8.167451564362981E-5,0.00197964390589011
Dominance,JaroSimilarity,5,7,6.793569051039695E-4,0.0011254654882417114,2.4321580122346146E-4,1.356447071153264E-4,0.0021836829016844686
Dominance,JaroSimilarity,5,10,7.323473714361043E-4,0.0011844241732544766,2.5982103045837305E-4,2.682229475890305E-4,0.0024448155227379843
Dominance,JaroSimilarity,5,0,0.007145859837198815,0.0029853768585060597,0.001059156537588226,0.0018768595544205713,0.013067252787713672
Dominance,JaroSimilarity,60,2,0.0018253172363686633,1.7952227849092728E-4,7.641238276964406E-5,3.913503867997555E-4,0.0024726022844289903
Dominance,JaroSimilarity,60,5,0.001931228628363269,1.9849051123620222E-4,1.38011791585776E-4,6.110504452384116E-4,0.002878781376423659
Dominance,JaroSimilarity,60,7,0.0019958221570152038,2.2941772090219605E-4,1.6935884131007145E-4,7.095022785003443E-4,0.0031041009977278156
Dominance,JaroSimilarity,60,10,0.0025792471031368877,2.629785585281563E-4,2.0960601396855292E-4,8.012940848297431E-4,0.0038531257604633405
Dominance,JaroSimilarity,60,0,0.008163921357342185,7.886706269692642E-4,7.713916260880306E-4,0.002488661205956833,0.012212644816356312
Dominance,JaroSimilarity,8,2,2.1448248690691845E-4,9.452347735330368E-4,1.9211617559004114E-4,0.0023034708590358517,0.0036553042950658483
Dominance,JaroSimilarity,8,5,4.477302089974114E-4,0.0010748026295793385,3.7343823980629735E-4,0.0028220366706790414,0.004718007749062088
Dominance,JaroSimilarity,8,7,5.538809645862388E-4,0.0011001822766705256,4.0216785235983206E-4,0.00284188036227311,0.004898111455889706
Dominance,JaroSimilarity,8,10,6.803894317282998E-4,0.00123898178786912,4.252365970830174E-4,0.002910196458778133,0.00525480427545857
Dominance,JaroSimilarity,8,0,0.005797414277116388,0.0037207521486385176,0.0011356536519741317,0.00529310425513376,0.015946924332862798
Dominance,LCS-Ponderado,10,2,8.61360828072325E-4,0.0013195871018316329,0.0014980831580320413,0.006553570879056067,0.010232601966992067
Dominance,LCS-Ponderado,10,5,0.0010812585507703764,0.0017248348120418623,0.0026524308962864894,0.007111365668524947,0.012569889927623675
Dominance,LCS-Ponderado,10,7,0.0011393519037375588,0.0018635013868094157,0.002895603885829109,0.007450097095147026,0.013348554271523108
Dominance,LCS-Ponderado,10,10,0.0012178408226075773,0.001981962712267501,0.0030475981651308082,0.007590447242286677,0.013837848942292563
Dominance,LCS-Ponderado,10,0,0.004755875557247504,0.004436192450138812,0.0049065997537289,0.011574531221695591,0.025673198982810806
Dominance,LCS-Ponderado,15,2,4.334901790184136E-4,0.0011622690500045021,0.0015631075422615557,0.008188150993828356,0.011347017765112828
Dominance,LCS-Ponderado,15,5,8.190058419164808E-4,0.0016786029885309283,0.0020324051184182723,0.008730833564656973,0.013260847513522654
Dominance,LCS-Ponderado,15,7,8.890544099337768E-4,0.0017780289668275114,0.002225692864408277,0.00899107885457138,0.013883855095740945
Dominance,LCS-Ponderado,15,10,0.0010147956881977308,0.0019468346962407525,0.0023448592759061342,0.009215874905823875,0.014522364566168493
Dominance,LCS-Ponderado,15,0,0.004728505039484921,0.003350731360758262,0.00364738838436854,0.0118912736527629,0.02361789843737462
Dominance,LCS-Ponderado,20,2,5.93844138800896E-4,0.0016517901055194924,0.001051992815447085,0.008474928010836557,0.01177255507060403
Dominance,LCS-Ponderado,20,5,8.538164059483557E-4,0.0021047929140704815,0.0015188722335915915,0.009220754005973476,0.013698235559583905
Dominance,LCS-Ponderado,20,7,0.0010098592638388415,0.0022537756793343518,0.001749229156766173,0.00946457563484903,0.014477439734788397
Dominance,LCS-Ponderado,20,10,0.001065576014489277,0.002416761169170025,0.0018280772866064998,0.009681139783401058,0.014991554253666859
Dominance,LCS-Ponderado,20,0,0.004438267876251657,0.0040855782249543,0.0032785965633126087,0.012067925119358723,0.02387036778387729
