recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.052941176470588235,0.11428571428571428,0.011363636363636364,0.045743329097839895,0.22433385621777877
Dominance,JaroSimilarity,10,5,0.07294117647058823,0.08571428571428572,0.013636363636363636,0.08538754764930113,0.2576793734705387
Dominance,JaroSimilarity,10,7,0.07563025210084034,0.08299319727891154,0.02597402597402597,0.07914322018515155,0.2637406955389294
Dominance,JaroSimilarity,10,10,0.08941176470588236,0.07904761904761906,0.03181818181818182,0.07522236340533674,0.27549992897701997
Dominance,JaroSimilarity,10,0,0.08989020715726419,0.07313710171772825,0.03855694137363391,0.08606924983541883,0.2876535000840452
Dominance,JaroSimilarity,15,2,0.08823529411764706,0.06190476190476191,0.08333333333333333,0.05590851334180432,0.2893819026975466
Dominance,JaroSimilarity,15,5,0.07529411764705884,0.07047619047619048,0.06969696969696969,0.06200762388818297,0.277474901708402
Dominance,JaroSimilarity,15,7,0.06890756302521008,0.06666666666666665,0.07034632034632032,0.059538936286077315,0.26545948632427435
Dominance,JaroSimilarity,15,10,0.07411764705882352,0.08095238095238094,0.06439393939393939,0.05895806861499364,0.2784220360201375
Dominance,JaroSimilarity,15,0,0.08085013053063365,0.06977698272696893,0.04408257588262776,0.05231958203569697,0.24702927117592732
Dominance,JaroSimilarity,20,2,0.029411764705882353,0.08571428571428572,0.08333333333333333,0.07623888182973317,0.27469826558323457
Dominance,JaroSimilarity,20,5,0.07294117647058823,0.04000000000000001,0.07272727272727274,0.05590851334180432,0.2415769625396653
Dominance,JaroSimilarity,20,7,0.07731092436974789,0.03265306122448979,0.06926406926406925,0.049373752042112896,0.2286018069004198
Dominance,JaroSimilarity,20,10,0.07647058823529411,0.03333333333333333,0.0590909090909091,0.04930114358322745,0.218195974242764
Dominance,JaroSimilarity,20,0,0.08832666329095328,0.030538385069379614,0.050209119221263976,0.059190958073480945,0.22826512565507784
Dominance,JaroSimilarity,25,2,0.058823529411764705,0.023809523809523808,0.007575757575757576,0.07369758576874205,0.16390639656578815
Dominance,JaroSimilarity,25,5,0.09411764705882353,0.01904761904761905,0.04090909090909091,0.07115628970775095,0.22523064672328444
Dominance,JaroSimilarity,25,7,0.09411764705882351,0.016326530612244896,0.04112554112554112,0.07188237429660553,0.22345209309321507
Dominance,JaroSimilarity,25,10,0.08588235294117647,0.01904761904761905,0.04924242424242425,0.07776365946632784,0.2319360556975476
Dominance,JaroSimilarity,25,0,0.08507275666756202,0.018230119471272108,0.04545756392530001,0.06982135933791737,0.21858179940205152
Dominance,JaroSimilarity,30,2,0.08235294117647059,0.009523809523809525,0.022727272727272728,0.05590851334180432,0.17051253676935718
Dominance,JaroSimilarity,30,5,0.07529411764705883,0.01904761904761905,0.04696969696969698,0.05692503176620076,0.19823646543057563
