recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,0.01370767960363336,0.005027716900863736,0.02376311340536083,0.00315955766192733,0.03324178639114282,0.004188880426504189,0.049997308097159576,0.026083834592928616
Dominance,JaroSimilarity,10,5,0.04426094137076796,0.015340982338532937,0.07494290604783384,0.008636124275934702,0.10085127887563794,0.020998803177021,0.18484649158372193,0.0892368511622566
Dominance,JaroSimilarity,10,7,0.055821635012386454,0.022689183962872245,0.10120000293813095,0.011163770405476567,0.13469131415456065,0.024317266891524317,0.23196038172065792,0.11399185627225959
Dominance,JaroSimilarity,10,10,0.07217175887696119,0.030681964677065875,0.13353568823109294,0.024960505529225907,0.20841720481877066,0.03378304863453378,0.34354939935690576,0.16159727771778676
Dominance,JaroSimilarity,10,0,0.20809248554913296,0.10107000128915818,0.4102324881274493,0.08530805687203792,0.666156658743563,0.13420737678163422,1.2029861658701,0.5286779204919633
Dominance,JaroSimilarity,15,2,0.01370767960363336,0.012633750161144772,0.038975179925922906,0.00937335439705108,0.06709524311707615,0.0049504950495049506,0.08689722331509596,0.040665279211334164
Dominance,JaroSimilarity,15,5,0.03451692815854666,0.0235915946886683,0.08170011753588326,0.014428646656134808,0.12498605750428768,0.014144271570014143,0.18156314378434424,0.08668144107336391
Dominance,JaroSimilarity,15,7,0.044426094137076794,0.0313265437669202,0.10707918167091719,0.025803054239073198,0.18448834438813677,0.020073985420520073,0.2647842860702171,0.12162967756359028
Dominance,JaroSimilarity,15,10,0.06754748142031379,0.03931932448111383,0.14618613038254147,0.03401790416008425,0.2482398428627942,0.03595909041453596,0.39207620452093805,0.17684380047604784
Dominance,JaroSimilarity,15,0,0.20445912469033856,0.16062910919169782,0.5257173430737342,0.10479199578725645,0.8400933304355036,0.11005331302361006,1.2803065825299438,0.5799335426929029
Dominance,JaroSimilarity,20,2,0.01370767960363336,0.03790125048343432,0.089510180570502,0.013375460768825698,0.1296365628769791,0.0049504950495049506,0.1494385430749989,0.06993488590539833
Dominance,JaroSimilarity,20,5,0.03451692815854666,0.05221090627820033,0.13893874071494733,0.02190626645602949,0.2046575400830358,0.014144271570014143,0.26123462636309236,0.12277837246279062
Dominance,JaroSimilarity,20,7,0.04459124690338563,0.062266340079927804,0.16912392706324125,0.041390205371248025,0.29329454317698533,0.020073985420520073,0.37359048485906565,0.16832177777508153
Dominance,JaroSimilarity,20,10,0.06754748142031379,0.07257960551759701,0.21270669245550783,0.04813059505002633,0.35709847760558683,0.033837449679033835,0.49244827632172217,0.22209513166697098
Dominance,JaroSimilarity,20,0,0.18678777869529314,0.19040866314296764,0.5676051049812284,0.13470247498683519,0.971712529941734,0.11734305298661735,1.4410847418882033,0.6292419698117133
Dominance,JaroSimilarity,25,2,0.01370767960363336,0.03777233466546345,0.08925234893456027,0.013902053712480253,0.13095851007200104,0.005059297138505059,0.15119569862602128,0.07044136512008212
Dominance,JaroSimilarity,25,5,0.03451692815854666,0.04873017919298698,0.13197728654452062,0.02517114270668773,0.2074907146645838,0.03193341312153193,0.3352243671507115,0.14035166317975328
Dominance,JaroSimilarity,25,7,0.04459124690338563,0.05775428645094753,0.1600998198052807,0.04454976303317536,0.29374910890480677,0.044173648134044174,0.47044370144098346,0.1910689445215527
Dominance,JaroSimilarity,25,10,0.06754748142031379,0.06677839370890808,0.20110426883812993,0.051500789889415484,0.3556066385063764,0.05994995103905995,0.5954064426626162,0.2457766160576973
Dominance,JaroSimilarity,25,0,0.18711808422791082,0.18370504060848267,0.5545281654448762,0.1463928383359663,0.9937066804527751,0.16657599825916658,1.6600106734894413,0.6837919614315263
Dominance,JaroSimilarity,30,2,0.013872832369942197,0.011344591981436123,0.036562016332814445,0.029910479199578725,0.12629345393155061,0.01659231857251659,0.19266272822161698,0.07172022212347363
Dominance,JaroSimilarity,30,5,0.03468208092485549,0.019595204331571484,0.07387248958799845,0.04770932069510268,0.2170004516733065,0.03644869981503645,0.36279525093345233,0.1384353057665661
Dominance,JaroSimilarity,30,7,0.04426094137076796,0.02488075286837695,0.09402244710752186,0.05982095839915745,0.2734853223049942,0.06092916984006093,0.5172020016652379,0.18989182247836328
Dominance,JaroSimilarity,30,10,0.06754748142031379,0.03661209230372567,0.14077166602776514,0.07203791469194312,0.35688541010359454,0.07072135785007072,0.6397708415038774,0.24691884626605332
Dominance,JaroSimilarity,30,0,0.20066061106523533,0.13922908340853424,0.47911877788230384,0.15281727224855188,0.9375705946279594,0.1861059732346861,1.6819944875667039,0.6788129399570076
