recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,1.628513724894568E-4,1.343990264499696E-4,4.31649425389396E-4,6.282962025606736E-5,6.201382861575982E-4,7.450156447092683E-5,9.181445440413055E-4,4.345815836664206E-4
Dominance,JaroSimilarity,10,5,4.5690164391645055E-4,2.3792867388743426E-4,9.32758991691319E-4,8.738107171338005E-5,0.0011949022068314592,2.2512210105281124E-4,0.002095390611042704,0.0010073334905700761
Dominance,JaroSimilarity,10,7,6.23650496108368E-4,2.851674029532946E-4,0.0011939853020149572,1.0082668138406014E-4,0.0014964653461671377,2.551703985234684E-4,0.002517146940261011,0.0012648149789691913
Dominance,JaroSimilarity,10,10,7.715704749392493E-4,3.274472197621398E-4,0.0014264649144635289,1.4435327065971616E-4,0.0018595247264426773,2.7599175281031724E-4,0.0029634917376839464,0.0015193627181714227
Dominance,JaroSimilarity,10,0,8.884692912797032E-4,4.211278938417342E-4,0.0017307250789631717,2.0692066428029088E-4,0.0023514870718040442,3.790756551778985E-4,0.0038677896925156385,0.0018955935045796267
Dominance,JaroSimilarity,15,2,1.628513724894568E-4,1.710181906707316E-4,5.048877538309201E-4,1.0980069295825225E-4,8.342898327056768E-4,1.1137099153821194E-4,0.0012797737988585246,5.550412476566526E-4
Dominance,JaroSimilarity,15,5,4.1733154971698103E-4,2.3098398576131674E-4,8.792995212396145E-4,1.409276284390258E-4,0.001302082406556692,1.9008014850238213E-4,0.0020624030005662207,9.793233124197056E-4
Dominance,JaroSimilarity,15,7,4.998327818597363E-4,2.795757878161818E-4,0.0010589843574921,1.9861199084308205E-4,0.0016548203300213462,2.1483183306437276E-4,0.0025141476622788372,0.0011928523935833728
Dominance,JaroSimilarity,15,10,5.948435957679255E-4,3.216581641858545E-4,0.0012381599241396346,2.558353979615645E-4,0.002005666118024328,2.5542292674178335E-4,0.003027357824991461,0.0014277600846571278
Dominance,JaroSimilarity,15,0,6.729115986028625E-4,4.3722267939587297E-4,0.0015473569573946084,3.3437383437594947E-4,0.002550478460522457,3.185779204531319E-4,0.0038247901423349847,0.0017630860328278167
