recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.01370767960363336,0.005027716900863736,0.00315955766192733,0.004188880426504189,0.026083834592928616
Dominance,JaroSimilarity,10,5,0.04426094137076796,0.015340982338532937,0.008636124275934702,0.020998803177021,0.0892368511622566
Dominance,JaroSimilarity,10,7,0.055821635012386454,0.022689183962872245,0.011163770405476567,0.024317266891524317,0.11399185627225959
Dominance,JaroSimilarity,10,10,0.07217175887696119,0.030681964677065875,0.024960505529225907,0.03378304863453378,0.16159727771778676
Dominance,JaroSimilarity,10,0,0.20809248554913296,0.10107000128915818,0.08530805687203792,0.13420737678163422,0.5286779204919633
Dominance,JaroSimilarity,15,2,0.01370767960363336,0.012633750161144772,0.00937335439705108,0.0049504950495049506,0.040665279211334164
Dominance,JaroSimilarity,15,5,0.03451692815854666,0.0235915946886683,0.014428646656134808,0.014144271570014143,0.08668144107336391
Dominance,JaroSimilarity,15,7,0.044426094137076794,0.0313265437669202,0.025803054239073198,0.020073985420520073,0.12162967756359028
Dominance,JaroSimilarity,15,10,0.06754748142031379,0.03931932448111383,0.03401790416008425,0.03595909041453596,0.17684380047604784
Dominance,JaroSimilarity,15,0,0.20445912469033856,0.16062910919169782,0.10479199578725645,0.11005331302361006,0.5799335426929029
Dominance,JaroSimilarity,20,2,0.01370767960363336,0.03790125048343432,0.013375460768825698,0.0049504950495049506,0.06993488590539833
Dominance,JaroSimilarity,20,5,0.03451692815854666,0.05221090627820033,0.02190626645602949,0.014144271570014143,0.12277837246279062
Dominance,JaroSimilarity,20,7,0.04459124690338563,0.062266340079927804,0.041390205371248025,0.020073985420520073,0.16832177777508153
Dominance,JaroSimilarity,20,10,0.06754748142031379,0.07257960551759701,0.04813059505002633,0.033837449679033835,0.22209513166697098
Dominance,JaroSimilarity,20,0,0.18678777869529314,0.19040866314296764,0.13470247498683519,0.11734305298661735,0.6292419698117133
Dominance,JaroSimilarity,25,2,0.01370767960363336,0.03777233466546345,0.013902053712480253,0.005059297138505059,0.07044136512008212
Dominance,JaroSimilarity,25,5,0.03451692815854666,0.04873017919298698,0.02517114270668773,0.03193341312153193,0.14035166317975328
Dominance,JaroSimilarity,25,7,0.04459124690338563,0.05775428645094753,0.04454976303317536,0.044173648134044174,0.1910689445215527
Dominance,JaroSimilarity,25,10,0.06754748142031379,0.06677839370890808,0.051500789889415484,0.05994995103905995,0.2457766160576973
Dominance,JaroSimilarity,25,0,0.18711808422791082,0.18370504060848267,0.1463928383359663,0.16657599825916658,0.6837919614315263
Dominance,JaroSimilarity,30,2,0.013872832369942197,0.011344591981436123,0.029910479199578725,0.01659231857251659,0.07172022212347363
Dominance,JaroSimilarity,30,5,0.03468208092485549,0.019595204331571484,0.04770932069510268,0.03644869981503645,0.1384353057665661
Dominance,JaroSimilarity,30,7,0.04426094137076796,0.02488075286837695,0.05982095839915745,0.06092916984006093,0.18989182247836328
Dominance,JaroSimilarity,30,10,0.06754748142031379,0.03661209230372567,0.07203791469194312,0.07072135785007072,0.24691884626605332
Dominance,JaroSimilarity,30,0,0.20066061106523533,0.13922908340853424,0.15281727224855188,0.1861059732346861,0.6788129399570076
Dominance,JaroSimilarity,40,2,0.01370767960363336,0.011215676163465258,0.0037914691943127963,0.01659231857251659,0.04530714353392801
Dominance,JaroSimilarity,40,5,0.03336085879438481,0.019595204331571484,0.020642443391258557,0.03661190294853661,0.11021040946575146
Dominance,JaroSimilarity,40,7,0.04360033030553262,0.024751837050406084,0.02401263823064771,0.057937112392557936,0.15030191797914436
Dominance,JaroSimilarity,40,10,0.06424442609413708,0.03674100812169653,0.03170089520800421,0.06936133173756936,0.20204766116140718
Dominance,JaroSimilarity,40,0,0.19421965317919074,0.13484594559752483,0.11911532385466035,0.1688064410836688,0.6169873637150447
