recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,1.628513724894568E-4,1.343990264499696E-4,6.282962025606736E-5,7.450156447092683E-5,4.345815836664206E-4
Dominance,JaroSimilarity,10,5,4.5690164391645055E-4,2.3792867388743426E-4,8.738107171338005E-5,2.2512210105281124E-4,0.0010073334905700761
Dominance,JaroSimilarity,10,7,6.23650496108368E-4,2.851674029532946E-4,1.0082668138406014E-4,2.551703985234684E-4,0.0012648149789691913
Dominance,JaroSimilarity,10,10,7.715704749392493E-4,3.274472197621398E-4,1.4435327065971616E-4,2.7599175281031724E-4,0.0015193627181714227
Dominance,JaroSimilarity,10,0,8.884692912797032E-4,4.211278938417342E-4,2.0692066428029088E-4,3.790756551778985E-4,0.0018955935045796267
Dominance,JaroSimilarity,15,2,1.628513724894568E-4,1.710181906707316E-4,1.0980069295825225E-4,1.1137099153821194E-4,5.550412476566526E-4
Dominance,JaroSimilarity,15,5,4.1733154971698103E-4,2.3098398576131674E-4,1.409276284390258E-4,1.9008014850238213E-4,9.793233124197056E-4
Dominance,JaroSimilarity,15,7,4.998327818597363E-4,2.795757878161818E-4,1.9861199084308205E-4,2.1483183306437276E-4,0.0011928523935833728
Dominance,JaroSimilarity,15,10,5.948435957679255E-4,3.216581641858545E-4,2.558353979615645E-4,2.5542292674178335E-4,0.0014277600846571278
Dominance,JaroSimilarity,15,0,6.729115986028625E-4,4.3722267939587297E-4,3.3437383437594947E-4,3.185779204531319E-4,0.0017630860328278167
Dominance,JaroSimilarity,20,2,1.628513724894568E-4,6.96851045216755E-4,2.1879944824018162E-4,1.1137099153821194E-4,0.0011898728574846055
Dominance,JaroSimilarity,20,5,4.1733154971698103E-4,7.941250297120211E-4,2.7024531208726934E-4,1.9008014850238213E-4,0.0016717820400186535
Dominance,JaroSimilarity,20,7,5.000553597119046E-4,8.347137563722176E-4,3.459836853702952E-4,2.143662385393723E-4,0.0018951190399937898
Dominance,JaroSimilarity,20,10,5.948714179994465E-4,8.882173488300618E-4,3.909249789817137E-4,2.5965755580311154E-4,0.0021336713016143335
Dominance,JaroSimilarity,20,0,7.306314827951381E-4,9.652758373367499E-4,4.6752345353203237E-4,3.2248939125880207E-4,0.002485920164922722
Dominance,JaroSimilarity,25,2,1.628513724894568E-4,6.951825113539208E-4,2.2689459152453197E-4,1.1574150768655423E-4,0.0012006699830544637
Dominance,JaroSimilarity,25,5,4.1733154971698103E-4,7.754692013756288E-4,2.839257156625658E-4,2.8560930297670534E-4,0.0017623357697318812
Dominance,JaroSimilarity,25,7,5.000553597119046E-4,8.113016065714266E-4,3.5712134055982373E-4,3.2248136411691333E-4,0.0019909596709600684
