recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,6.653906700738914E-4,3.7236404325583124E-4,2.0745213894362004E-4,2.579912913305032E-4,0.0015031981436038457
Dominance,JaroSimilarity,10,5,0.0017578536752576618,7.689322437972862E-4,3.627564124153813E-4,8.120121732618272E-4,0.003701554504732157
Dominance,JaroSimilarity,10,7,0.0021824000294354195,9.94012800416752E-4,4.370615711343999E-4,8.944783198900632E-4,0.004507952720876634
Dominance,JaroSimilarity,10,10,0.002669963324252091,0.001224103397736747,7.639142048194421E-4,0.0010779799577384495,0.005735960884546729
Dominance,JaroSimilarity,10,0,0.004455685415439464,0.002260632708898716,0.001605055087393843,0.002393269385590445,0.010714642597322467
Dominance,JaroSimilarity,15,2,6.653906700738914E-4,6.439975947270555E-4,4.483608991484892E-4,3.586531275785564E-4,0.0021164022915279926
Dominance,JaroSimilarity,15,5,0.001542088491505366,9.908422413957734E-4,6.126769267337745E-4,6.959095843839294E-4,0.003841517244018843
Dominance,JaroSimilarity,15,7,0.0018278547708962323,0.0012223453668866128,9.5150570952115E-4,8.578138345437634E-4,0.004859519681847759
Dominance,JaroSimilarity,15,10,0.002303485576383984,0.0014498661877292388,0.0012475427503686185,0.0011780583857378365,0.006178952900219678
Dominance,JaroSimilarity,15,0,0.004073945998235938,0.0030420364818546505,0.002211900755686454,0.002046928878712195,0.011374812114489237
Dominance,JaroSimilarity,20,2,6.653906700738914E-4,0.002469862650101368,7.92169511978023E-4,3.586531275785564E-4,0.004286075959731839
Dominance,JaroSimilarity,20,5,0.001542088491505366,0.0029728191743861455,0.0010679776364381883,6.959095843839294E-4,0.006278794886713629
Dominance,JaroSimilarity,20,7,0.0018293681077847573,0.003238359696125702,0.0015656742304839938,8.553715019549241E-4,0.007488773536349377
Dominance,JaroSimilarity,20,10,0.002303566699367287,0.0035203639989558836,0.0017965141049885707,0.0011703133130619235,0.008790758116373665
Dominance,JaroSimilarity,20,0,0.003976876665860743,0.0049392893944267355,0.002923680279498009,0.002112416486582138,0.013952262826367627
Dominance,JaroSimilarity,25,2,6.653906700738914E-4,0.0024633013949715934,8.261797806969101E-4,3.728288721590147E-4,0.00432770071790141
Dominance,JaroSimilarity,25,5,0.001542088491505366,0.0028626357675859376,0.0011571812801719524,0.0012424131279888592,0.006804318667252116
Dominance,JaroSimilarity,25,7,0.0018293681077847573,0.003100489286698695,0.0016538965009597045,0.0015198760379991482,0.008103629933442305
Dominance,JaroSimilarity,25,10,0.0023062491651690735,0.0033407440603843825,0.0018286270017373646,0.001836425026846276,0.009312045254137096
