recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.00685383980181668,0.002771690086373598,0.001579778830963665,0.0025568490915025568,0.0137621578106565
Dominance,JaroSimilarity,10,5,0.011065235342691992,0.003326028103648318,0.0017272248551869407,0.004972255467304973,0.021090743768832222
Dominance,JaroSimilarity,10,7,0.010522590539105817,0.003535976721486583,0.0016399608816670425,0.0040956214930755255,0.01979414963533497
Dominance,JaroSimilarity,10,10,0.009479768786127166,0.0034807270852133566,0.0027172195892575047,0.003840713741703839,0.019518429202301867
Dominance,JaroSimilarity,10,0,0.008620291112256042,0.0038448889049917307,0.0029135007064499704,0.004234836946146285,0.019613517669844028
Dominance,JaroSimilarity,15,2,0.00685383980181668,0.006316875080572386,0.00468667719852554,0.0025296485692525295,0.020387040650167138
Dominance,JaroSimilarity,15,5,0.008951279933938894,0.004744102101327833,0.003033175355450237,0.0030029376564030034,0.019731495047119966
Dominance,JaroSimilarity,15,7,0.008068892296803113,0.004567303265253503,0.004017151884450462,0.003147489003217433,0.01980083644972451
Dominance,JaroSimilarity,15,10,0.008158546655656485,0.004228438829444374,0.0038230647709320705,0.003960396039603958,0.020170446295636885
Dominance,JaroSimilarity,15,0,0.007507024605761191,0.005032889037549342,0.0037897983190445716,0.0033351808325130993,0.019664892794868206
Dominance,JaroSimilarity,20,2,0.00685383980181668,0.01901508315070259,0.006687730384412849,0.0025296485692525295,0.03508630190618465
Dominance,JaroSimilarity,20,5,0.008951279933938894,0.010674229727987629,0.004591890468667721,0.0030029376564030034,0.027220337786997246
Dominance,JaroSimilarity,20,7,0.008092485549132946,0.009097773439658192,0.006258933273151283,0.0031474890032174335,0.026596681265159856
Dominance,JaroSimilarity,20,10,0.008158546655656485,0.007593141678483948,0.005223802001053187,0.0038679142639538653,0.024843404599147488
Dominance,JaroSimilarity,20,0,0.0070105457196677524,0.007312409220623643,0.004950513379041742,0.0035136104820547806,0.02278707880138792
Dominance,JaroSimilarity,25,2,0.00685383980181668,0.01895062524171716,0.0069510268562401265,0.002584049613752584,0.03533954151352654
Dominance,JaroSimilarity,25,5,0.008951279933938894,0.009952301147350785,0.005097419694576095,0.006593406593406592,0.030594407369272367
Dominance,JaroSimilarity,25,7,0.008092485549132946,0.008453194349803867,0.006589934552019861,0.00649703902886364,0.029632653479820314
Dominance,JaroSimilarity,25,10,0.008158546655656483,0.007013020497615058,0.005476566614007374,0.00623979980415623,0.026887933571435145
Dominance,JaroSimilarity,25,0,0.006973862400626139,0.007085369401075097,0.0055700030651249285,0.005516667545722019,0.02514590241254818
Dominance,JaroSimilarity,30,2,0.006936416184971098,0.005736753899703494,0.014955239599789363,0.008704167120008705,0.03633257680447266
Dominance,JaroSimilarity,30,5,0.008984310487200662,0.003970607193502644,0.00962611901000527,0.008987052551408985,0.03156808924211756
Dominance,JaroSimilarity,30,7,0.00804529904447328,0.0036280594486086284,0.008831715940720688,0.010849122588867988,0.03135419702267059
Dominance,JaroSimilarity,30,10,0.008158546655656483,0.003893257702720124,0.007509215376513952,0.009025133282559019,0.028586153017449576
Dominance,JaroSimilarity,30,0,0.007731034442625469,0.00418272684390187,0.006776878786126924,0.007284941221040641,0.025975581293694903
Dominance,JaroSimilarity,40,2,0.006936416184971098,0.005672295990718061,0.0019483938915218536,0.008704167120008705,0.023261273187219718
Dominance,JaroSimilarity,40,5,0.007993393889347647,0.003970607193502644,0.004170616113744077,0.008932651506908931,0.0250672687035033
Dominance,JaroSimilarity,40,7,0.0073375014745782705,0.0036096429031842194,0.0034755134281200624,0.009877675365652733,0.024300333171535286
