recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,2.315594857267367E-4,1.5163623166610698E-4,6.661099312035593E-5,7.97729557763081E-5,5.295796662895077E-4
Dominance,JaroSimilarity,10,5,9.677926229947453E-4,4.332242521215569E-4,1.6698666301507046E-4,3.846921293876137E-4,0.0019526956675189862
Dominance,JaroSimilarity,10,7,0.001339354653234674,6.283524133967292E-4,2.4087894747091418E-4,4.474291855767435E-4,0.002656015199679061
Dominance,JaroSimilarity,10,10,0.0018801795841422075,8.46501385251275E-4,5.722177684412688E-4,6.176693098968304E-4,0.003916568047731581
Dominance,JaroSimilarity,10,0,0.0039035827134585406,0.002076624648619866,0.0015644729443323312,0.0021066356550376738,0.009651315961448411
Dominance,JaroSimilarity,15,2,2.315594857267367E-4,2.668154878839138E-4,1.646038534759146E-4,1.3405564998709133E-4,7.970344770736565E-4
Dominance,JaroSimilarity,15,5,8.290906709560298E-4,4.99975859449673E-4,2.6703756500583224E-4,3.4984649301760505E-4,0.00194595058842914
Dominance,JaroSimilarity,15,7,0.0010850111316741563,7.010092984553632E-4,5.721374062682128E-4,4.75956031652153E-4,0.002834113868049885
Dominance,JaroSimilarity,15,10,0.0015297807068077528,9.126743575515483E-4,9.260432878462161E-4,7.393349635912451E-4,0.004107833315796763
Dominance,JaroSimilarity,15,0,0.0034980931568896123,0.0027634978222392356,0.0020385116614021754,0.0017532310612073123,0.010053333701738337
Dominance,JaroSimilarity,20,2,2.315594857267367E-4,7.353540170662375E-4,3.8260136403977336E-4,1.3405564998709133E-4,0.001483570516819839
Dominance,JaroSimilarity,20,5,8.290906709560298E-4,0.0010550641900630051,5.642517786022085E-4,3.4984649301760505E-4,0.0027982531326388484
Dominance,JaroSimilarity,20,7,0.0010857901541567452,0.0012884637374749829,9.96330259785992E-4,4.726968699771497E-4,0.00384328102139487
Dominance,JaroSimilarity,20,10,0.0015297807068077528,0.001556935442765502,0.001257794497812797,7.386622965372768E-4,0.005083172943923329
Dominance,JaroSimilarity,20,0,0.003410164292908552,0.00319556825243141,0.0025488949005852027,0.0018287549412076287,0.010983382387132794
Dominance,JaroSimilarity,25,2,2.315594857267367E-4,7.348444683786058E-4,3.771499357591973E-4,1.3926061439127233E-4,0.0014828145042558123
Dominance,JaroSimilarity,25,5,8.290906709560298E-4,9.776161278573668E-4,5.910617825223896E-4,7.578200518762666E-4,0.0031555886332120526
Dominance,JaroSimilarity,25,7,0.0010857901541567452,0.0011872026101569094,0.0010255830792087796,9.829598245641835E-4,0.004281535668086618
Dominance,JaroSimilarity,25,10,0.00153224803843161,0.0014056437864059241,0.0011863207828571663,0.0012629277602430836,0.005387140367937784
Dominance,JaroSimilarity,25,0,0.0033191819572841613,0.0030272009598910033,0.002673828487462858,0.0028572994041606743,0.011877510808798697
Dominance,JaroSimilarity,30,2,2.350001683581707E-4,2.360268071632933E-4,7.349511899061082E-4,3.375302586512602E-4,0.0015435084240788322
Dominance,JaroSimilarity,30,5,8.314066273726957E-4,4.718268391921858E-4,0.0011808311429439967,8.771627107227929E-4,0.0033612273202316715
Dominance,JaroSimilarity,30,7,0.0010841232135757215,5.99436884285063E-4,0.0014641369925681936,0.0014969990248930134,0.004644696115321992
Dominance,JaroSimilarity,30,10,0.001537258433415634,8.852181558278214E-4,0.0017624573373394594,0.001754371465575074,0.005939305392157989
Dominance,JaroSimilarity,30,0,0.0034057319131277253,0.002245147653463199,0.002992958611660625,0.003557084244485112,0.012200922422736661
Dominance,JaroSimilarity,40,2,2.3827153133365012E-4,2.345101504812831E-4,7.401388198305263E-5,3.375302586512602E-4,8.84325822449246E-4
Dominance,JaroSimilarity,40,5,7.893399510702763E-4,4.718268391921858E-4,6.768411765543517E-4,8.745159729831447E-4,0.0028125239397999583
Dominance,JaroSimilarity,40,7,9.93831290783867E-4,5.980654394130325E-4,7.951958862432093E-4,0.0013401326358598183,0.003727225252299927
Dominance,JaroSimilarity,40,10,0.0014500506126948508,8.905896482432741E-4,9.535855918576269E-4,0.0016342953306534213,0.004928521183449173
Dominance,JaroSimilarity,40,0,0.003321293705883436,0.002225614025592291,0.0021617158432229236,0.003076490364914111,0.010785113939612762
Dominance,JaroSimilarity,50,2,2.32615439915152E-4,1.1320775911129725E-4,8.390210552780454E-5,2.743860433861039E-4,7.041113479403577E-4
Dominance,JaroSimilarity,50,5,6.805269149846346E-4,3.74064422723674E-4,6.667798273807291E-4,5.22437383386536E-4,0.002243808548475574
Dominance,JaroSimilarity,50,7,8.83117598527391E-4,4.5850056216575674E-4,8.071330715257774E-4,7.509824906103378E-4,0.002899733722829263
Dominance,JaroSimilarity,50,10,0.0017190793671955523,7.805866992207749E-4,9.617889261597638E-4,0.0010957036665680895,0.004557158659144181
Dominance,JaroSimilarity,50,0,0.0031378800575808472,0.002109771903955502,0.002141384230178021,0.002278650836394571,0.00966768702810894
Dominance,JaroSimilarity,5,2,3.277031395023192E-4,7.139577515967187E-5,7.707148605092669E-5,8.075290259383069E-5,5.569233033067484E-4
