recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,1.628513724894568E-4,2.687980528999392E-4,1.884888607682021E-4,2.980062578837073E-4,9.181445440413055E-4
Dominance,JaroSimilarity,10,5,4.5690164391645055E-4,4.758573477748685E-4,2.6214321514014013E-4,9.00488404211245E-4,0.002095390611042704
Dominance,JaroSimilarity,10,7,6.23650496108368E-4,5.703348059065892E-4,3.0248004415218044E-4,0.0010206815940938736,0.002517146940261011
Dominance,JaroSimilarity,10,10,7.715704749392493E-4,6.548944395242797E-4,4.330598119791485E-4,0.001103967011241269,0.0029634917376839464
Dominance,JaroSimilarity,10,0,8.884692912797032E-4,8.422557876834685E-4,6.207619928408726E-4,0.001516302620711594,0.0038677896925156385
Dominance,JaroSimilarity,15,2,1.628513724894568E-4,3.420363813414632E-4,3.2940207887475673E-4,4.4548396615284777E-4,0.0012797737988585246
Dominance,JaroSimilarity,15,5,4.1733154971698103E-4,4.619679715226335E-4,4.227828853170774E-4,7.603205940095285E-4,0.0020624030005662207
Dominance,JaroSimilarity,15,7,4.998327818597363E-4,5.591515756323636E-4,5.958359725292461E-4,8.593273322574911E-4,0.0025141476622788372
Dominance,JaroSimilarity,15,10,5.948435957679255E-4,6.43316328371709E-4,7.675061938846935E-4,0.0010216917069671334,0.003027357824991461
Dominance,JaroSimilarity,15,0,6.729115986028625E-4,8.744453587917459E-4,0.0010031215031278485,0.0012743116818125276,0.0038247901423349847
Dominance,JaroSimilarity,20,2,1.628513724894568E-4,0.00139370209043351,6.563983447205448E-4,4.4548396615284777E-4,0.0026584357737963597
Dominance,JaroSimilarity,20,5,4.1733154971698103E-4,0.0015882500594240421,8.10735936261808E-4,7.603205940095285E-4,0.0035766381394123593
Dominance,JaroSimilarity,20,7,5.000553597119046E-4,0.0016694275127444353,0.0010379510561108855,8.574649541574892E-4,0.0040648988827247145
Dominance,JaroSimilarity,20,10,5.948714179994465E-4,0.0017764346976601236,0.001172774936945141,0.0010386302232124462,0.004582711275817157
Dominance,JaroSimilarity,20,0,7.306314827951381E-4,0.0019305516746734998,0.0014025703605960972,0.0012899575650352083,0.005353711083099943
Dominance,JaroSimilarity,25,2,1.628513724894568E-4,0.0013903650227078416,6.806837745735959E-4,4.629660307462169E-4,0.002696866200517111
