recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,6.653906700738914E-4,7.447280865116625E-4,6.223564168308601E-4,0.0010319651653220127,0.0030644403387384265
Dominance,JaroSimilarity,10,5,0.0017578536752576618,0.0015378644875945725,0.001088269237246144,0.0032480486930473087,0.007632036093145687
Dominance,JaroSimilarity,10,7,0.0021824000294354195,0.001988025600833504,0.0013111847134031998,0.003577913279560253,0.009059523623232375
Dominance,JaroSimilarity,10,10,0.002669963324252091,0.002448206795473494,0.0022917426144583265,0.004311919830953798,0.011721832565137709
Dominance,JaroSimilarity,10,0,0.004455685415439464,0.004521265417797432,0.004815165262181529,0.00957307754236178,0.023365193637780206
Dominance,JaroSimilarity,15,2,6.653906700738914E-4,0.001287995189454111,0.0013450826974454675,0.0014346125103142256,0.0047330810672876955
Dominance,JaroSimilarity,15,5,0.001542088491505366,0.001981684482791547,0.0018380307802013235,0.0027836383375357174,0.008145442092033954
Dominance,JaroSimilarity,15,7,0.0018278547708962323,0.0024446907337732256,0.00285451712856345,0.0034312553381750537,0.010558317971407962
Dominance,JaroSimilarity,15,10,0.002303485576383984,0.0028997323754584776,0.0037426282511058553,0.004712233542951346,0.013658079745899665
Dominance,JaroSimilarity,15,0,0.004073945998235938,0.006084072963709301,0.006635702267059363,0.00818771551484878,0.024981436743853384
Dominance,JaroSimilarity,20,2,6.653906700738914E-4,0.004939725300202736,0.002376508535934069,0.0014346125103142256,0.009416237016524921
Dominance,JaroSimilarity,20,5,0.001542088491505366,0.005945638348772291,0.003203932909314565,0.0027836383375357174,0.013475298087127939
Dominance,JaroSimilarity,20,7,0.0018293681077847573,0.006476719392251404,0.004697022691451981,0.0034214860078196963,0.01642459619930784
Dominance,JaroSimilarity,20,10,0.002303566699367287,0.007040727997911767,0.005389542314965712,0.004681253252247694,0.01941509026449246
Dominance,JaroSimilarity,20,0,0.003976876665860743,0.009878578788853471,0.008771040838494027,0.008449665946328552,0.03107616223953679
Dominance,JaroSimilarity,25,2,6.653906700738914E-4,0.004926602789943187,0.0024785393420907304,0.0014913154886360587,0.009561848290743868
Dominance,JaroSimilarity,25,5,0.001542088491505366,0.005725271535171875,0.003471543840515857,0.004969652511955437,0.015708556379148534
Dominance,JaroSimilarity,25,7,0.0018293681077847573,0.00620097857339739,0.004961689502879113,0.006079504151996593,0.019071540336057853
Dominance,JaroSimilarity,25,10,0.0023062491651690735,0.006681488120768765,0.0054858810052120935,0.007345700107385104,0.021819318398535036
Dominance,JaroSimilarity,25,0,0.003878486891999366,0.009473587172300292,0.0093740888304939,0.013082066151330523,0.03580822904612408
Dominance,JaroSimilarity,30,2,6.736972433873201E-4,0.0010913801224897864,0.0066985444993076584,0.003945784799248855,0.01240940666443362
Dominance,JaroSimilarity,30,5,0.001547723290675536,0.0017004809758034225,0.008647073063766598,0.007049453881926803,0.01894473121217236
