recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.00685383980181668,0.005543380172747196,0.004739336492890996,0.010227396366010227,0.0273639528334651
Dominance,JaroSimilarity,10,5,0.011065235342691992,0.006652056207296636,0.005181674565560822,0.01988902186921989,0.042787987984769335
Dominance,JaroSimilarity,10,7,0.010522590539105817,0.007071953442973166,0.004919882645001128,0.016382485972302102,0.038896912599382216
Dominance,JaroSimilarity,10,10,0.009479768786127166,0.006961454170426713,0.008151658767772515,0.015362854966815356,0.03995573669114175
Dominance,JaroSimilarity,10,0,0.008620291112256042,0.0076897778099834614,0.00874050211934991,0.01693934778458514,0.04198991882617455
Dominance,JaroSimilarity,15,2,0.00685383980181668,0.012633750161144772,0.01406003159557662,0.010118594277010118,0.043666215835548194
Dominance,JaroSimilarity,15,5,0.008951279933938894,0.009488204202655667,0.00909952606635071,0.012011750625612013,0.03955076082855728
Dominance,JaroSimilarity,15,7,0.008068892296803113,0.009134606530507006,0.012051455653351386,0.012589956012869732,0.04184491049353124
Dominance,JaroSimilarity,15,10,0.008158546655656485,0.008456877658888747,0.011469194312796211,0.01584158415841583,0.043926202785757276
Dominance,JaroSimilarity,15,0,0.007507024605761191,0.010065778075098683,0.011369394957133714,0.013340723330052397,0.042282920968045985
Dominance,JaroSimilarity,20,2,0.00685383980181668,0.03803016630140518,0.020063191153238548,0.010118594277010118,0.07506579153347054
Dominance,JaroSimilarity,20,5,0.008951279933938894,0.021348459455975258,0.013775671406003165,0.012011750625612013,0.05608716142152933
Dominance,JaroSimilarity,20,7,0.008092485549132946,0.018195546879316384,0.01877679981945385,0.012589956012869734,0.05765478826077291
Dominance,JaroSimilarity,20,10,0.008158546655656485,0.015186283356967896,0.01567140600315956,0.015471657055815461,0.0544878930715994
Dominance,JaroSimilarity,20,0,0.0070105457196677524,0.014624818441247286,0.014851540137125224,0.014054441928219122,0.05054134622625938
Dominance,JaroSimilarity,25,2,0.00685383980181668,0.03790125048343432,0.02085308056872038,0.010336198455010336,0.07594436930898173
Dominance,JaroSimilarity,25,5,0.008951279933938894,0.01990460229470157,0.015292259083728285,0.026373626373626367,0.07052176768599512
Dominance,JaroSimilarity,25,7,0.008092485549132946,0.016906388699607734,0.019769803656059584,0.02598815611545456,0.07075683402025482
Dominance,JaroSimilarity,25,10,0.008158546655656483,0.014026040995230115,0.01642969984202212,0.02495919921662492,0.06357348670953364
Dominance,JaroSimilarity,25,0,0.006973862400626139,0.014170738802150194,0.016710009195374784,0.022066670182888076,0.059921280581039196
Dominance,JaroSimilarity,30,2,0.006936416184971098,0.011473507799406988,0.044865718799368084,0.03481666848003482,0.09809231126378098
Dominance,JaroSimilarity,30,5,0.008984310487200662,0.007941214387005287,0.02887835703001581,0.03594821020563594,0.0817520921098577
Dominance,JaroSimilarity,30,7,0.00804529904447328,0.007256118897217257,0.026495147822162064,0.04339649035547195,0.08519305611932455
Dominance,JaroSimilarity,30,10,0.008158546655656483,0.007786515405440248,0.022527646129541855,0.036100533130236076,0.07457324132087466
Dominance,JaroSimilarity,30,0,0.007731034442625469,0.00836545368780374,0.020330636358380772,0.029139764884162565,0.06556688937297254
Dominance,JaroSimilarity,40,2,0.006936416184971098,0.011344591981436123,0.005845181674565561,0.03481666848003482,0.0589428583210076
Dominance,JaroSimilarity,40,5,0.007993393889347647,0.007941214387005287,0.01251184834123223,0.035730606027635725,0.06417706264522088
Dominance,JaroSimilarity,40,7,0.0073375014745782705,0.007219285806368439,0.010426540284360186,0.03951070146261093,0.06449402902791783
Dominance,JaroSimilarity,40,10,0.007679603633360858,0.007812298569034422,0.00969984202211691,0.03318463714503315,0.05837638136954534
Dominance,JaroSimilarity,40,0,0.007003308858644828,0.008554630167677702,0.010875109234472507,0.024527684110833038,0.05096073237162808
Dominance,JaroSimilarity,50,2,0.0066886870355078445,0.005156632718834601,0.0069510268562401265,0.028506147318028505,0.04730249392861108
Dominance,JaroSimilarity,50,5,0.0077621800165152775,0.006342658244166559,0.012575039494470776,0.021934501142421937,0.04861437889757455
Dominance,JaroSimilarity,50,7,0.0071959419605992685,0.005488130536473968,0.010787632588580452,0.021853676733450424,0.045325381819104116
Dominance,JaroSimilarity,50,10,0.008488852188274153,0.00667783937089081,0.009857819905213274,0.020911761505820897,0.04593627297019913
Dominance,JaroSimilarity,50,0,0.006261223566839909,0.007494154370298697,0.011177557672854575,0.01755203528051413,0.04248497089050731
Dominance,JaroSimilarity,5,2,0.008835672997522708,0.004898801082892871,0.00631911532385466,0.010336198455010336,0.030389787859280575
Dominance,JaroSimilarity,5,5,0.012089182493806772,0.007064586824803404,0.02293838862559243,0.03351104341203349,0.07560320135623609
Dominance,JaroSimilarity,5,7,0.010310251268137314,0.007661282896554263,0.018099751749040854,0.026485537093740772,0.0625568230074732
Dominance,JaroSimilarity,5,10,0.009859620148637489,0.007296635297150963,0.018957345971563976,0.02287019910782285,0.058983800525175274
Dominance,JaroSimilarity,5,0,0.007887685923783354,0.007926735893841285,0.016393562605363596,0.020558035422178596,0.05276601984516684
Dominance,JaroSimilarity,60,2,0.0053674649050371595,0.005027716900863736,0.01406003159557662,0.028723751496028724,0.05317896489750624
Dominance,JaroSimilarity,60,5,0.004987613542526837,0.0062910919169782125,0.010173775671406003,0.024632792949624633,0.046085274080535685
Dominance,JaroSimilarity,60,7,0.0053320750265424075,0.005451297445625149,0.012457684495599187,0.024558185802881702,0.04779924277064845
Dominance,JaroSimilarity,60,10,0.005962014863748971,0.0059559107902539665,0.010552922590837286,0.025307365901425287,0.04777821414626551
Dominance,JaroSimilarity,60,0,0.006212012977204592,0.0069279020626278505,0.011335835387565508,0.01873673193964902,0.04321248236704697
Dominance,JaroSimilarity,8,2,0.00685383980181668,0.005027716900863736,0.006161137440758294,0.010336198455010336,0.028378892598449047
Dominance,JaroSimilarity,8,5,0.011065235342691992,0.004176872502256027,0.014091627172195895,0.03351104341203349,0.0628447784291774
Dominance,JaroSimilarity,8,7,0.010475404034446148,0.004935634173741688,0.011600090273076052,0.026485537093740772,0.05349666557500466
Dominance,JaroSimilarity,8,10,0.00949628406275805,0.004769885264922007,0.011184834123222756,0.02287019910782285,0.04832120255872566
Dominance,JaroSimilarity,8,0,0.007976384777579146,0.006002938191536077,0.012277501994565993,0.01991246372739487,0.04616928869107609
Dominance,LCS-Ponderado,10,2,0.018166804293971925,0.026814490137939927,0.0325434439178515,0.05276901316505277,0.13029375151481612
Dominance,LCS-Ponderado,10,5,0.01853014037985136,0.02733015340982339,0.03304897314375988,0.050440648460450384,0.12934991539388502
Dominance,LCS-Ponderado,10,7,0.017978058275333258,0.027624818136613938,0.031324757391108106,0.04998678831776422,0.12691442212081955
Dominance,LCS-Ponderado,10,10,0.017588769611890983,0.026376176356838966,0.03232227488151656,0.049222065063649206,0.1255092859138957
Dominance,LCS-Ponderado,10,0,0.016044539144276355,0.024523091888627103,0.03188973828416355,0.04757308187995624,0.12003045119702324
Dominance,LCS-Ponderado,15,2,0.01453344343517754,0.023978342142580895,0.030331753554502367,0.04504406484604504,0.11388760397830583
Dominance,LCS-Ponderado,15,5,0.01582163501238646,0.02459713806884105,0.03165876777251185,0.043738439778043696,0.11581598063178306
Dominance,LCS-Ponderado,15,7,0.0159726318272974,0.024015175233429723,0.031279620853080586,0.04336540404432905,0.11463283195813675
Dominance,LCS-Ponderado,15,10,0.01519405450041287,0.022843882944437264,0.030205371248025248,0.04360787727124357,0.11185118596411896
Dominance,LCS-Ponderado,15,0,0.013989724468939879,0.022274561108136554,0.0293793728075128,0.04233769052448799,0.10798134890907723
Dominance,LCS-Ponderado,20,2,0.014781172584640793,0.02204460487301792,0.02496050552922591,0.03916875204003917,0.1009550350269238
Dominance,LCS-Ponderado,20,5,0.015623451692815859,0.02119376047441022,0.026729857819905212,0.037471439451637445,0.10101850943876874
Dominance,LCS-Ponderado,20,7,0.014368290668868706,0.020405532330245498,0.026043782441886713,0.03854702581718139,0.0993646312581823
Dominance,LCS-Ponderado,20,10,0.014037985136251022,0.01982725280391903,0.025466034755134266,0.038624741595038585,0.0979560142903429
Dominance,LCS-Ponderado,20,0,0.013294264837609142,0.02032739298634453,0.026260543343870624,0.039420734165451554,0.09930293533327585
Dominance,LCS-Ponderado,25,2,0.012551610239471512,0.017532551244037645,0.025434439178515005,0.03862474159503863,0.09414334225706278
Dominance,LCS-Ponderado,25,5,0.012650701899256813,0.01907954105968803,0.02458135860979463,0.03690566858883687,0.09321727015757635
Dominance,LCS-Ponderado,25,7,0.012103338445204672,0.01826921306101402,0.024283457458812913,0.036681847148608095,0.0913378561136397
Dominance,LCS-Ponderado,25,10,0.012188274153592067,0.018280262988268656,0.02420221169036334,0.03686214775323681,0.09153289658546088
Dominance,LCS-Ponderado,25,0,0.011177158585069815,0.018013339259693357,0.024675201133626576,0.038164997610510155,0.0920306965888999
Dominance,LCS-Ponderado,30,2,0.012469033856317093,0.016630140518241587,0.023380726698262244,0.03481666848003482,0.08729656955285575
Dominance,LCS-Ponderado,30,5,0.012353426919900913,0.018409178806239535,0.021611374407582942,0.0344249809596344,0.0867989610933578
Dominance,LCS-Ponderado,30,7,0.01151350713695883,0.01830604615186284,0.02306477093206952,0.03413276963489128,0.08701709385578246
Dominance,LCS-Ponderado,30,10,0.011428571428571427,0.018228696661080308,0.022843601895734585,0.03514307474703509,0.0876439447324214
Dominance,LCS-Ponderado,30,0,0.011580012551781095,0.019014088150316084,0.02313102159470821,0.03594294390822626,0.08966806620503165
Dominance,LCS-Ponderado,40,2,0.010817506193228736,0.019079541059688024,0.020063191153238548,0.0297029702970297,0.07966320870318501
Dominance,LCS-Ponderado,40,5,0.01205615194054501,0.017274719608095918,0.020094786729857823,0.029463605701229453,0.0788892639797282
Dominance,LCS-Ponderado,40,7,0.011820219417246671,0.01631705924602663,0.02062739787858272,0.029096787229743383,0.07786146377159942
Dominance,LCS-Ponderado,40,10,0.011345995045417008,0.01693953848137166,0.02135860979462874,0.03042106408443038,0.08006520740584779
Dominance,LCS-Ponderado,40,0,0.010609798795530775,0.01728013898076196,0.021374458932306835,0.03317402755311841,0.08243842426171798
Dominance,LCS-Ponderado,50,2,0.01147811725846408,0.015212066520562072,0.019589257503949447,0.028070938962028072,0.07435038024500368
Dominance,LCS-Ponderado,50,5,0.011164327002477293,0.015366765502127119,0.019968404423380732,0.028201501468828195,0.07470099839681335
Dominance,LCS-Ponderado,50,7,0.010994455585702492,0.016243393064328995,0.020130895960279848,0.02869266518488583,0.07606140979519717
Dominance,LCS-Ponderado,50,10,0.01098265895953757,0.016398092045894028,0.020695102685624005,0.030138178653030093,0.0782140323440857
Dominance,LCS-Ponderado,50,0,0.010194709844878283,0.01576826201681657,0.02098607976104247,0.0313712471514412,0.07832029877417852
Dominance,LCS-Ponderado,5,2,0.021882741535920725,0.03558076575995875,0.044865718799368084,0.06941573278206942,0.17174495887731697
Dominance,LCS-Ponderado,5,5,0.02143682906688686,0.03351811267242489,0.04227488151658766,0.06532477423566523,0.16255459749156465
Dominance,LCS-Ponderado,5,7,0.021823758405096143,0.033039282491390265,0.040397201534642296,0.063944542020921,0.15920478445204972
Dominance,LCS-Ponderado,5,10,0.020776218001651504,0.031971122856774496,0.04012638230647706,0.06384506582526393,0.156718788990167
Dominance,LCS-Ponderado,5,0,0.019299543834388228,0.029405509802279434,0.038985479708188754,0.059931043304413976,0.1476215766492704
Dominance,LCS-Ponderado,60,2,0.010900082576383155,0.015083150702591207,0.017061611374407582,0.02622130344902622,0.06926614810240816
Dominance,LCS-Ponderado,60,5,0.010668868703550789,0.01428387263117185,0.018199052132701427,0.02741812642802741,0.07056991989545147
Dominance,LCS-Ponderado,60,7,0.010758523062404152,0.014401738521888066,0.018370570977206048,0.027169435938884316,0.07070026850038258
Dominance,LCS-Ponderado,60,10,0.010817506193228734,0.0145159211035194,0.018451816745655603,0.02724404308562721,0.07102928712803094
Dominance,LCS-Ponderado,60,0,0.009872974268388459,0.015180568556416528,0.019320993372585926,0.0288301585017895,0.07320469469918042
Dominance,LCS-Ponderado,8,2,0.020396366639141204,0.02849039577156117,0.03696682464454976,0.05646828419105647,0.14232187124630863
Dominance,LCS-Ponderado,8,5,0.01985136251032205,0.02758798504576512,0.035260663507109005,0.05300837776085294,0.13570838882404912
Dominance,LCS-Ponderado,8,7,0.01991270496637962,0.028324646862741495,0.03448431505303544,0.053499541476910585,0.13622120835906715
