recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,10,2,0.023497375328084,0.0160299511002445,0.0385722623982272,0.104430819165647,0.0818132166778885,0.152795842290176,0.178421189395682,0.192477590373437,0.788038246729387
Dominance,JaroSimilarity,10,5,0.070741469816273,0.0475780899156729,0.170108512214294,0.213515495500187,0.323680495913442,0.271621651417208,0.40055429745125,0.673277261182568,2.1710772734109
Dominance,JaroSimilarity,10,7,0.104737532808399,0.0859071715483259,0.20228858470637,0.284733612781726,0.445089650273886,0.366899364514184,0.524519596621481,0.840514120466909,2.85468963372128
Dominance,JaroSimilarity,10,10,0.122985564304462,0.099236253180979,0.340801112674876,0.390848991074667,0.538654702946383,0.530678192020382,0.553069791557762,1.20365410864116,3.77992871640067
Dominance,JaroSimilarity,10,0,0.083740157480315,0.14347571852702,0.182108961272984,0.305121629479202,0.197836580557179,0.38198787311303,0.712945183718845,0.844023818109318,2.85123992225789
Dominance,JaroSimilarity,15,2,0.025997375328084,0.0160299511002445,0.0469402200935522,0.0673084433335937,0.0849377635823397,0.051802333447659,0.153556815856396,0.0843822437131383,0.530955146455008
Dominance,JaroSimilarity,15,5,0.078241469816273,0.0811240082830198,0.0844822228805345,0.157703923559582,0.265827025619781,0.253144395797011,0.368321103061288,0.282877458950394,1.57172160796788
Dominance,JaroSimilarity,15,7,0.125485564304462,0.100703089915673,0.135416354269092,0.292006213821413,0.414281104752422,0.343623718676511,0.537947731702777,0.508238346287027,2.45770212372938
Dominance,JaroSimilarity,15,10,0.135984251968504,0.120282171548326,0.280624946538386,0.386019393844851,0.617969325996162,0.516077510269096,0.697044244642202,0.965908537115721,3.71991038192325
Dominance,JaroSimilarity,15,0,0.05749343832021,0.0960044408961629,0.131301113508854,0.193615645638609,0.261062384555922,0.332593776389076,0.411875255969567,0.765403580566235,2.24934963584463
