recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,10,2,0.012998687664042,0.0111399755501223,0.0358912972507741,0.0391112036820074,0.026387595516947,0.0412032494444065,0.06355301035578,0.060209026940107,0.290494046404186
Dominance,JaroSimilarity,10,5,0.0366207349081365,0.0266376844136188,0.0938241469556618,0.0697319204700287,0.119888808606311,0.0744281420094904,0.126956734598692,0.162719261218507,0.710807433180446
Dominance,JaroSimilarity,10,7,0.0548687664041995,0.0581640449578364,0.112824566636243,0.093200812309615,0.161362616555764,0.115286171780384,0.161759727036265,0.19707089493883,0.954537600619136
Dominance,JaroSimilarity,10,10,0.065242782152231,0.0646904055020541,0.16359902810585,0.141607765589478,0.198898571533982,0.164113639372879,0.171528124192808,0.264936477244357,1.23461679369364
Dominance,JaroSimilarity,10,0,0.0443700787401575,0.0656685565424214,0.086553172257496,0.10519959153092,0.0778895045140806,0.0949444471198487,0.162260373967234,0.167829585745018,0.804715310417176
Dominance,JaroSimilarity,15,2,0.015498687664042,0.0111399755501223,0.0337605672820571,0.0258410210569861,0.0265108375062177,0.0190272325616581,0.0520535599681857,0.0228652452311969,0.206697126820466
Dominance,JaroSimilarity,15,5,0.0441207349081365,0.0669863238694011,0.0554419521100913,0.0484398911134832,0.10731477976434,0.0953923616677128,0.101241890286977,0.0736608160099548,0.592598749730096
Dominance,JaroSimilarity,15,7,0.067742782152231,0.0797626844136188,0.0748800205065233,0.0910080392037746,0.15474853685556,0.128201478815744,0.151751230058529,0.117113413329088,0.865208185335069
Dominance,JaroSimilarity,15,10,0.072992125984252,0.0925390449578365,0.124532823760329,0.136368108217508,0.218947739146056,0.173750263262048,0.18480595429695,0.19570006773947,1.19963612736445
Dominance,JaroSimilarity,15,0,0.031246719160105,0.0502981388154284,0.0596431154796097,0.0647142886071262,0.0797789964971946,0.090354814480376,0.0918540682331842,0.129459802173216,0.59734994344624
Dominance,JaroSimilarity,20,2,0.015498687664042,0.00488997555012225,0.00793030897947408,0.0151310022824512,0.0269783386372689,0.00619848460361071,0.0301451014823625,0.0168752882728038,0.123647187472135
Dominance,JaroSimilarity,20,5,0.0388713910761155,0.0153499388753056,0.0297242802703934,0.0405547310960105,0.101354830622572,0.0308563797796129,0.0724950338119117,0.0828404173123182,0.41204700284424
Dominance,JaroSimilarity,20,7,0.057244094488189,0.022152659963741,0.0439130048348044,0.0642969963636995,0.127739958590637,0.0539719345267077,0.097336845285598,0.113815340635024,0.580470834688401
Dominance,JaroSimilarity,20,10,0.070242782152231,0.0345253688272375,0.0907401224893114,0.111563053894986,0.194653001677768,0.0987475680158657,0.124300153066375,0.158384236564241,0.883156286688016
Dominance,JaroSimilarity,20,0,0.0676181102362205,0.0303154055020541,0.0455251176375861,0.0334029061475754,0.0987231118411825,0.087266866934072,0.105048284793012,0.128686654870294,0.596586457961996
Dominance,JaroSimilarity,25,2,0.017998687664042,0.00488997555012225,0.00530563706346358,0.0151310022824512,0.0291424164535862,0.0128450037849488,0.0328233786611605,0.020122041519557,0.138258142979332
Dominance,JaroSimilarity,25,5,0.030997375328084,0.0187512994195233,0.0297242802703934,0.0375931856248969,0.0987709866304535,0.0347173836406167,0.063224963193081,0.0751449148689166,0.388924388975966
Dominance,JaroSimilarity,25,7,0.0336220472440945,0.0187512994195233,0.0386636610027834,0.0595173006326642,0.116298301950505,0.050975356708842,0.0930114960754268,0.105808935744101,0.516648398777941
Dominance,JaroSimilarity,25,10,0.046496062992126,0.0311240082830198,0.0618687314131959,0.099774398988479,0.1623933901934,0.087810835702408,0.111380260667298,0.157680494699624,0.75852818293955
Dominance,JaroSimilarity,25,0,0.036246719160105,0.0172626844136188,0.0367304573570421,0.0658088353618984,0.09500207715201,0.0586291799718795,0.0738408050629865,0.0782806678609903,0.461801426340531
Dominance,JaroSimilarity,30,2,0.017998687664042,0.00488997555012225,0.00530563706346358,0.0288965838446429,0.0351023655953535,0.00856760845853418,0.0267443513055374,0.0266155480130635,0.154120757494759
Dominance,JaroSimilarity,30,5,0.030498687664042,0.0493635443174825,0.0375063814377086,0.0399226454447887,0.118693662783466,0.0596179924225683,0.0897498173113141,0.0969028523846724,0.522255583766043
Dominance,JaroSimilarity,30,7,0.040748031496063,0.0527649048617002,0.0490704340861091,0.0438908994130427,0.136671285372007,0.0797369693517974,0.115421123856211,0.133514204472299,0.65181785290923
Dominance,JaroSimilarity,30,10,0.0586220472440945,0.061736253180979,0.0683844539128639,0.0761749994937529,0.176161092403583,0.115917955245022,0.152235385230174,0.186687200764184,0.895919387474653
Dominance,JaroSimilarity,30,0,0.0331233595800525,0.0252981388154284,0.042699432038287,0.08024917197282,0.0788522447364412,0.0885670615197399,0.090230048375997,0.101479668880539,0.540499125919305
Dominance,JaroSimilarity,40,2,0.0103740157480315,0.0102040816326531,0.0145023247105848,0.0191419256482132,0.0331798874327907,0.0240187081786025,0.0423939984995415,0.0349382800083674,0.188753221858785
Dominance,JaroSimilarity,40,5,0.028248031496063,0.0357581021406117,0.0348254162902555,0.0475796008942823,0.103461851940779,0.0862099595913877,0.0734310739358268,0.0925688903284397,0.502082926617646
Dominance,JaroSimilarity,40,7,0.0408727034120735,0.0391594626848294,0.0505941196684874,0.0627409144564185,0.11459164426359,0.0983485336478248,0.116181406430935,0.118637590854798,0.641126375418957
Dominance,JaroSimilarity,40,10,0.0586220472440945,0.0512558110041083,0.0681799528692625,0.0737181276001447,0.156744927187305,0.142029628675439,0.17219676396906,0.158107666111672,0.880854924661086
Dominance,JaroSimilarity,40,0,0.056994750656168,0.0403921959982037,0.0417466535168137,0.0561271578426619,0.0794459526202052,0.0789193655245248,0.103689574750464,0.104471659592998,0.561787310502039
Dominance,JaroSimilarity,50,2,0.0206233595800525,0.00340136054421769,0.0144460314791422,0.0136715642456484,0.00882527865466131,0.00561037407739641,0.0496533050181803,0.0306767834639728,0.146908057063272
Dominance,JaroSimilarity,50,5,0.023248031496063,0.0138613238694011,0.0361274163071763,0.0485924884503343,0.0682837661380633,0.062904476525236,0.0861704100666175,0.0761068747175872,0.415294787570479
Dominance,JaroSimilarity,50,7,0.043746719160105,0.0138613238694011,0.0506860342492037,0.0719246935758691,0.0871287330429145,0.0760395633567732,0.125739577798867,0.117933750004678,0.587060395057812
Dominance,JaroSimilarity,50,10,0.0591207349081365,0.0293590327328976,0.0684728811332674,0.0924685302829383,0.101252171134546,0.104050795842376,0.167672559740186,0.144689563382681,0.767086269157029
Dominance,JaroSimilarity,50,0,0.028497375328084,0.0439208476789249,0.0535438538374636,0.076272239483039,0.0414110343284474,0.0585443616153194,0.0845031914671081,0.0945559843528816,0.481248888091268
Dominance,JaroSimilarity,5,2,0.0176246719160105,0.0205149755501222,0.0132922392743802,0.022666128598332,0.0437460890892851,0.0351742530763961,0.0558354617612766,0.0803346381602048,0.289188457426008
Dominance,JaroSimilarity,5,5,0.035748031496063,0.0328876844136187,0.0497337717038904,0.0778810521839499,0.0939082683142705,0.0889658682563228,0.124532061071342,0.171672932811386,0.675329670250843
Dominance,JaroSimilarity,5,7,0.058746719160105,0.037777659963741,0.0628571312839429,0.0972023339437227,0.0999787260322927,0.119117857781537,0.166805214754892,0.208429197587009,0.850914840507242
Dominance,JaroSimilarity,5,10,0.068746719160105,0.0747480165660396,0.0794338927318021,0.117043603784993,0.122566749233031,0.167225015985529,0.207481138887196,0.271197591484738,1.10844272783343
Dominance,JaroSimilarity,5,0,0.045997375328084,0.0414553810521764,0.0451230902710089,0.0646535389564367,0.0700729038858912,0.111314509140347,0.0942095387302894,0.145209733061767,0.618036070426
Dominance,JaroSimilarity,60,2,0.015249343832021,0.00680272108843537,0.005249343832021,0.0138082509596998,0.0172002500408335,0.0223480248356657,0.0268750904768113,0.0322716010791347,0.139804626144622
Dominance,JaroSimilarity,60,5,0.020498687664042,0.021620417726993,0.0282534005591448,0.0489450216145417,0.0677229502933193,0.0616709468864526,0.0715545748576604,0.0731742074213208,0.393440207023475
Dominance,JaroSimilarity,60,7,0.0281233595800525,0.0308681265904895,0.0309343657065979,0.0761087939942791,0.0999294452830912,0.0960392713597453,0.123682434291425,0.101422622689949,0.587108419495629
Dominance,JaroSimilarity,60,10,0.0331233595800525,0.0395631143655506,0.0528730574493633,0.0992041160303077,0.135750870254693,0.121264988525014,0.18052586474438,0.132297139766611,0.794602510715972
Dominance,JaroSimilarity,60,0,0.0333727034120735,0.0252981388154284,0.0480613623331932,0.0481541595675574,0.0851564530199889,0.0523538662282338,0.0559262639948681,0.0756110841826566,0.423934031554
Dominance,JaroSimilarity,8,2,0.022998687664042,0.00965136054421769,0.0559358940573848,0.0391112036820074,0.0326162967664737,0.0334812417223988,0.0590896303598376,0.0684856304523451,0.321369945248707
Dominance,JaroSimilarity,8,5,0.0516207349081365,0.0193027210884354,0.0951256309964225,0.0697319204700287,0.0945273973304734,0.0705671381484866,0.15779093279669,0.182519221489737,0.74118569722841
Dominance,JaroSimilarity,8,7,0.0748687664041995,0.0436227088634965,0.104065011728813,0.093200812309615,0.136001205279926,0.114413479126869,0.217863355198975,0.221398770453146,1.00543410936504
Dominance,JaroSimilarity,8,10,0.095242782152231,0.0637340327328976,0.125891117008693,0.140285014266727,0.185965678981627,0.167078574078428,0.243317309275375,0.298842770875577,1.32035727937156
Dominance,JaroSimilarity,8,0,0.0568700787401575,0.037777659963741,0.0886627143678841,0.0657209971042667,0.0725648064402148,0.0830547713722477,0.125545155188048,0.179563884222072,0.709760067398631
