recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,10,2,"0,002253330294669","5,19E-04","0,005672307323662","0,009387058378195","0,001552575758699","0,026297308321438","0,036917096785779","0,035270954367388","0,117870092471356"
Dominance,JaroSimilarity,10,5,"0,002851541438833","0,007264756519415","0,020672186117962","0,013487875092466","0,026936739939591","0,031781316732962","0,043850836646357","0,076584834703019","0,223430087190605"
Dominance,JaroSimilarity,10,7,"0,003122272643901","0,016053079937317","0,023060055794307","0,01640580062417","0,056804418951218","0,053679726629744","0,0537935762863","0,103119912108927","0,326038842975885"
Dominance,JaroSimilarity,10,10,"0,003411314528868","0,016576983943364","0,030570424675608","0,026905180242648","0,06781875545426","0,074972919158551","0,061688751848097","0,129860707082827","0,411805036934223"
Dominance,JaroSimilarity,10,0,"0,003551276175129","0,007667320628953","0,011657103778554","0,01299819353051","0,016394150583414","0,037525864564949","0,045686878287241","0,069481110165404","0,204961897714153"
Dominance,JaroSimilarity,15,2,"0,002610473151812","0,001404877908192","0,00429853678567","0,004853780038782","0,002613080506015","0,007264785826388","0,036082149895116","0,007643587183309","0,066771271295283"
Dominance,JaroSimilarity,15,5,"0,003080718406071","0,020491435207357","0,009391309617602","0,005527408198303","0,036812253903049","0,045651160599282","0,043286925553954","0,043501809117191","0,207743020602809"
Dominance,JaroSimilarity,15,7,"0,00455294489526","0,026887566818916","0,01418836893824","0,015529621642028","0,068007881527979","0,062299831640557","0,052954937802581","0,06258958234099","0,307010735606551"
Dominance,JaroSimilarity,15,10,"0,004587614221268","0,028261517496989","0,01858828666692","0,028105368811007","0,081511013661001","0,085381501878005","0,082766777431204","0,098220020541616","0,427422100708012"
Dominance,JaroSimilarity,15,0,"0,00276988236082","0,010775154284341","0,007508679034856","0,005260947557884","0,035651640513357","0,018693915013707","0,033925420935603","0,057040055487961","0,171625695188529"
Dominance,JaroSimilarity,20,2,"0,002610473151812","4,38E-05","6,39E-04","0,004993626231704","0,004549918059603","0,003761158698318","0,013750513379238","0,005810169338285","0,03615845537567"
Dominance,JaroSimilarity,20,5,"0,002975642774044","0,001065152036426","0,001431031194626","0,006101848046158","0,049722860524866","0,028447807670409","0,02177921161093","0,035184593096457","0,146708146953917"
Dominance,JaroSimilarity,20,7,"0,004129139218657","0,001171938937233","0,00663485327758","0,009009994744461","0,0559501853769","0,036313171806916","0,027726041783848","0,041049693745772","0,181985018891367"
Dominance,JaroSimilarity,20,10,"0,010434556606752","0,001908385291048","0,013568956443546","0,026748784663643","0,070417263641674","0,045423434983142","0,05368432852082","0,058137509051041","0,280323219201666"
Dominance,JaroSimilarity,20,0,"0,009251339997113","0,001087903923881","0,002947473243174","0,01690145834922","0,025517026065068","0,01488630104753","0,018976065224369","0,041181113925368","0,130748681775723"
Dominance,JaroSimilarity,25,2,"0,002635225627059","4,38E-05","3,11E-04","0,003073503343839","0,004167294205685","0,003900634994389","0,009738400718764","0,008976860305698","0,032846431722643"
Dominance,JaroSimilarity,25,5,"0,003101381042793","0,001083738706067","0,008833799030465","0,006816770392475","0,033192496684246","0,01507607372825","0,020034106953826","0,038244959503944","0,126383326042067"
Dominance,JaroSimilarity,25,7,"0,008350724874814","0,001083738706067","0,009888750187401","0,009052393487132","0,034910714598724","0,016096800534348","0,026973301654812","0,049385260629098","0,155741684672396"
Dominance,JaroSimilarity,25,10,"0,011440190090263","0,001499988015547","0,014750248011333","0,026439517992451","0,042827020254779","0,023391910336034","0,030679064828596","0,066371380791058","0,217399320320061"
Dominance,JaroSimilarity,25,0,"0,00344317067386","0,001118292402789","0,005163663266399","0,008807431815398","0,014160151089493","0,003686326872421","0,016325697059367","0,020141068202441","0,072845801382169"
Dominance,JaroSimilarity,30,2,"0,002635225627059","4,38E-05","3,11E-04","0,004144286626371","0,008866165870479","0,006693194212986","0,006454596751681","0,006785145304711","0,035933126920495"
Dominance,JaroSimilarity,30,5,"0,006972478102307","0,004686422589657","0,009691481886565","0,007364641907569","0,040783872126001","0,028073446671096","0,026195041492911","0,038881542083628","0,162648926859733"
Dominance,JaroSimilarity,30,7,"0,0130865985619","0,01489050422231","0,010943283437201","0,007501478251302","0,04387854281945","0,052107082289516","0,062955075998572","0,078695155094417","0,284057720674667"
Dominance,JaroSimilarity,30,10,"0,015935908139872","0,015608652060501","0,015907890235529","0,010546265501688","0,063611008934303","0,061321300354995","0,077908134757974","0,100058139535381","0,360897299520243"
Dominance,JaroSimilarity,30,0,"0,009246258024553","6,51E-04","0,009945537957263","0,007088244117159","0,01735829537251","0,030738763401428","0,048380309028751","0,017942386209368","0,141350733127651"
Dominance,JaroSimilarity,40,2,"0,001984021189345","0,003463873587713","0,00423735170554","0,003042355990856","0,019907830049377","0,027150509112829","0,030235932994813","0,029169093318608","0,119190967949079"
Dominance,JaroSimilarity,40,5,"0,005654979297381","0,005183946888912","0,004552764012153","0,007908638049821","0,037441332037904","0,082649745478528","0,044316872155422","0,050173591949437","0,237881869869557"
Dominance,JaroSimilarity,40,7,"0,006479393065801","0,00527587555227","0,005936036092141","0,012518395320794","0,052532055234541","0,092831843805144","0,073657681841665","0,065068239725448","0,314299520637802"
Dominance,JaroSimilarity,40,10,"0,011840652688487","0,005813662051567","0,008072281651476","0,01420695292495","0,058131409306478","0,105812824340505","0,10863674480274","0,079337104821105","0,391851632587307"
Dominance,JaroSimilarity,40,0,"0,006520460970956","0,00455016598007","0,004948925728425","0,007399860148443","0,02957523683185","0,03260637020561","0,06385621203837","0,047371901890693","0,196829133794415"
Dominance,JaroSimilarity,50,2,"0,002408156270216","2,45E-05","0,003145783218364","0,002768434170835","0,003594460255394","1,13E-04","0,02178348726546","0,015068427628779","0,048906311925853"
Dominance,JaroSimilarity,50,5,"0,002639115162592","6,70E-04","0,00368091795437","0,010840742531304","0,02007776055318","0,014382737021403","0,037038604803802","0,022963264090927","0,112292957251796"
Dominance,JaroSimilarity,50,7,"0,007391110179418","6,70E-04","0,020066088326244","0,024317422521395","0,024115465450902","0,024568826387805","0,069200478765201","0,055779737455728","0,226108944220911"
