recommender,similarity,neighbor_size,rec_size,Temporal-3-1-2,Temporal-3-2-3,accum
Dominance,JaroSimilarity,10,2,0.00125,5.016651473344386E-4,0.0017516651473344386
Dominance,JaroSimilarity,10,5,0.00125,8.007707194165162E-4,0.0020507707194165163
Dominance,JaroSimilarity,10,7,0.0013095238095238097,9.063744171888381E-4,0.002215898226712648
Dominance,JaroSimilarity,10,10,0.001536796536796537,9.372589960359435E-4,0.0024740555328324806
Dominance,JaroSimilarity,10,0,0.0013095238095238097,0.0011208761828024776,0.0024303999923262873
Dominance,JaroSimilarity,15,2,0.001607142857142857,5.016651473344386E-4,0.0021088080044772955
Dominance,JaroSimilarity,15,5,0.0017559523809523808,6.623830125591072E-4,0.002418335393511488
Dominance,JaroSimilarity,15,7,0.0017559523809523808,0.0013984962571538982,0.003154448638106279
Dominance,JaroSimilarity,15,10,0.0017559523809523808,0.0014158309201578523,0.003171783301110233
Dominance,JaroSimilarity,15,0,0.001607142857142857,5.813697518384448E-4,0.0021885126089813017
Dominance,JaroSimilarity,20,2,0.001607142857142857,5.016651473344386E-4,0.0021088080044772955
Dominance,JaroSimilarity,20,5,0.0017559523809523808,6.098451965457738E-4,0.0023657975774981545
Dominance,JaroSimilarity,20,7,0.0017559523809523808,0.0011865934188523858,0.0029425457998047667
Dominance,JaroSimilarity,20,10,0.001983225108225108,0.004225665749263299,0.0062088908574884066
Dominance,JaroSimilarity,20,0,0.0019281859692818599,0.003661577013915355,0.0055897629831972145
Dominance,JaroSimilarity,25,2,0.0016318953323903817,5.016651473344386E-4,0.0021335604797248203
Dominance,JaroSimilarity,25,5,0.0017459335219236207,6.777237604346609E-4,0.002423657282358282
Dominance,JaroSimilarity,25,7,0.0017459335219236207,0.0033023956764451595,0.0050483291983687804
Dominance,JaroSimilarity,25,10,0.004473206249196348,0.0034834919205335296,0.007956698169729878
Dominance,JaroSimilarity,25,0,0.001859168059663109,7.920013070983766E-4,0.002651169366761486
Dominance,JaroSimilarity,30,2,0.0016318953323903817,5.016651473344386E-4,0.0021335604797248203
Dominance,JaroSimilarity,30,5,0.005969147807637906,5.016651473344386E-4,0.006470812954972345
Dominance,JaroSimilarity,30,7,0.006632026595516694,0.003227285983191495,0.00985931257870819
Dominance,JaroSimilarity,30,10,0.009383145772770173,0.003276381183550682,0.012659526956320855
Dominance,JaroSimilarity,30,0,0.0029935838978634704,0.0031263370633449372,0.006119920961208407
Dominance,JaroSimilarity,40,2,0.00125,3.6701059467235435E-4,0.0016170105946723544
Dominance,JaroSimilarity,40,5,0.004649752475247525,5.026134110667165E-4,0.0051523658863142415
Dominance,JaroSimilarity,40,7,0.005432171493011371,5.236107863948005E-4,0.0059557822794061716
Dominance,JaroSimilarity,40,10,0.010036608722448602,9.020219830189378E-4,0.01093863070546754
Dominance,JaroSimilarity,40,0,0.005324257425742575,5.981017726066299E-4,0.0059223591983492046
Dominance,JaroSimilarity,50,2,2.9848484848484847E-4,0.0010548357108655494,0.001353320559350398
Dominance,JaroSimilarity,50,5,2.9848484848484847E-4,0.0011703151570536569,0.0014688000055385053
Dominance,JaroSimilarity,50,7,0.004923484848484849,0.0012338126654667903,0.006157297513951639
Dominance,JaroSimilarity,50,10,0.005813636363636363,0.0013262686737951566,0.00713990503743152
Dominance,JaroSimilarity,50,0,3.0303030303030303E-4,0.0011439683580450279,0.0014469986610753309
Dominance,JaroSimilarity,5,2,0.0011495528928353411,3.645377661125692E-5,0.001186006669446598
Dominance,JaroSimilarity,5,5,0.0024590767023591506,6.297439971221888E-4,0.0030888206994813395
Dominance,JaroSimilarity,5,7,0.004064263182545631,0.003272655785018571,0.007336918967564202
Dominance,JaroSimilarity,5,10,0.006801643722562165,0.003272655785018571,0.010074299507580736
Dominance,JaroSimilarity,5,0,0.003478627803431991,5.955355019215728E-4,0.004074163305353564
Dominance,JaroSimilarity,60,2,0.0015484848484848485,0.002669924880079645,0.004218409728564494
Dominance,JaroSimilarity,60,5,0.0015484848484848485,0.0033470902344103536,0.004895575082895202
Dominance,JaroSimilarity,60,7,0.0019073365231259967,0.0035220683621443867,0.0054294048852703836
Dominance,JaroSimilarity,60,10,0.0025702153110047843,0.0035220683621443867,0.0060922836731491705
Dominance,JaroSimilarity,60,0,0.002029050405040504,0.003015996475091276,0.00504504688013178
Dominance,JaroSimilarity,8,2,0.0011248004175878163,5.016651473344386E-4,0.001626465564922255
Dominance,JaroSimilarity,8,5,0.0012090767023591506,7.951624460917074E-4,0.002004239148450858
Dominance,JaroSimilarity,8,7,0.003519682762965211,9.063744171888381E-4,0.004426057180154049
Dominance,JaroSimilarity,8,10,0.005448982494900938,9.372589960359435E-4,0.006386241490936881
Dominance,JaroSimilarity,8,0,0.0019656097159089525,7.736316106319414E-4,0.002739241326540894
Dominance,LCS-Ponderado,10,2,2.6964560862865946E-4,6.118116354336827E-6,2.7576372498299627E-4
Dominance,LCS-Ponderado,10,5,0.0011029789419619927,2.508427705278099E-4,0.0013538217124898027
Dominance,LCS-Ponderado,10,7,0.0011029789419619927,4.258764533025738E-4,0.0015288553952645665
Dominance,LCS-Ponderado,10,10,0.0017213564346486231,4.7836989162278377E-4,0.002199726326271407
Dominance,LCS-Ponderado,10,0,7.860476541390322E-5,1.1118453932508714E-4,1.8978930473899036E-4
Dominance,LCS-Ponderado,15,2,4.2372881355932206E-5,6.118116354336827E-6,4.8490997710269035E-5
Dominance,LCS-Ponderado,15,5,0.0015196456086286594,5.318961156003265E-5,0.001572835220188692
Dominance,LCS-Ponderado,15,7,0.0015196456086286594,1.878272469161001E-4,0.0017074728555447594
Dominance,LCS-Ponderado,15,10,0.0017892912172573188,2.2885000144582011E-4,0.002018141218703139
Dominance,LCS-Ponderado,15,0,1.5600924499229582E-4,4.0235930985524295E-4,5.583685548475387E-4
Dominance,LCS-Ponderado,20,2,0.001381578947368421,6.118116354336827E-6,0.0013876970637227578
Dominance,LCS-Ponderado,20,5,0.001381578947368421,4.332242390585784E-5,0.0014249013712742788
Dominance,LCS-Ponderado,20,7,0.001423951828724353,7.328564356388754E-5,0.0014972374722882404
Dominance,LCS-Ponderado,20,10,0.0018356777839285694,1.4466366769781718E-4,0.0019803414516263865
Dominance,LCS-Ponderado,20,0,0.0015277777777777779,1.5915654350581108E-4,0.0016869343212835889
Dominance,LCS-Ponderado,25,2,0.00125,5.8611554674546804E-5,0.0013086115546745469
Dominance,LCS-Ponderado,25,5,0.0021680790960451977,8.983645620203174E-5,0.0022579155522472294
Dominance,LCS-Ponderado,25,7,0.0022043109801031685,1.7160416107776132E-4,0.00237591514118093
Dominance,LCS-Ponderado,25,10,0.002338259157529607,3.46735241720653E-4,0.00268499439925026
Dominance,LCS-Ponderado,25,0,0.00125,2.180750248508226E-4,0.0014680750248508227
Dominance,LCS-Ponderado,30,2,0.001607142857142857,5.8611554674546804E-5,0.0016657544118174037
Dominance,LCS-Ponderado,30,5,0.004250887670444712,0.0026894015870393825,0.0069402892574840945
Dominance,LCS-Ponderado,30,7,0.004250887670444712,0.002843923100547045,0.0070948107709917566
