recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
Dominance,JaroSimilarity,10,2,2.9829545454545457E-4,1.1058289348987449E-4,0.0,4.0887834803532907E-4
Dominance,JaroSimilarity,10,5,0.0017424242424242426,0.0025555706685509993,1.370636466294617E-4,0.004435058557604703
Dominance,JaroSimilarity,10,7,0.010483286815523657,0.0025555706685509993,1.528839282304742E-4,0.013191741412305131
Dominance,JaroSimilarity,10,10,0.010599027556264398,0.0025555706685509993,2.889383499991817E-4,0.013443536574814579
Dominance,JaroSimilarity,10,0,0.005961174242424243,1.7394138068414948E-4,4.5275454172028434E-4,0.006587870164828677
Dominance,JaroSimilarity,15,2,0.0011837121212121212,1.1058289348987449E-4,0.0,0.0012942950147019957
Dominance,JaroSimilarity,15,5,0.015332833025451558,0.0025555706685509993,1.58202816010125E-5,0.01790422397560357
Dominance,JaroSimilarity,15,7,0.021669638581007115,0.0025555706685509993,3.559563360227812E-5,0.024260804883160392
Dominance,JaroSimilarity,15,10,0.022587965148971375,0.0025555706685509993,1.8747033697199812E-4,0.025331006154494372
Dominance,JaroSimilarity,15,0,0.00966733047385621,1.846734321280904E-4,2.461589820763141E-4,0.010098162888060614
Dominance,JaroSimilarity,20,2,0.0,2.1894141400373138E-5,0.0,2.1894141400373138E-5
Dominance,JaroSimilarity,20,5,2.840909090909091E-5,5.183714727585946E-4,0.0,5.467805636676855E-4
Dominance,JaroSimilarity,20,7,2.840909090909091E-5,5.183714727585946E-4,3.559563360227812E-5,5.823761972699636E-4
Dominance,JaroSimilarity,20,10,1.642786561264822E-4,5.591212690096134E-4,2.086213656342213E-4,9.320212907703169E-4
Dominance,JaroSimilarity,20,0,3.0014822134387354E-4,1.0986903347807397E-4,1.893392118603254E-4,5.993564666822729E-4
Dominance,JaroSimilarity,25,2,0.0,2.1894141400373138E-5,0.0,2.1894141400373138E-5
Dominance,JaroSimilarity,25,5,2.840909090909091E-5,5.183714727585946E-4,6.195556546844603E-6,5.529761202145301E-4
Dominance,JaroSimilarity,25,7,2.840909090909091E-5,5.183714727585946E-4,6.195556546844603E-6,5.529761202145301E-4
