recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,JaroSimilarity,10,2,1.4697236919459142E-4,0.0012961061000549322,0.0014964639964639966,5.396204548746922E-4,0.0,0.0034791629205882125
Dominance,JaroSimilarity,10,5,1.4697236919459142E-4,0.002679151136676406,0.001506225998845925,8.659806133452999E-4,0.0,0.0051983301180622225
Dominance,JaroSimilarity,10,7,2.838087129274869E-4,0.003781990949193638,0.001506225998845925,0.0010098330040794288,0.0,0.006581858665046478
Dominance,JaroSimilarity,10,10,0.0012986282209776206,0.006912664811235688,0.00200866642376697,0.0010364884340504593,3.21853878339234E-4,0.011578301768369971
Dominance,JaroSimilarity,10,0,6.067571461042764E-4,0.0015921809929040185,0.001645181693357175,0.0010678823296315894,0.0,0.004912002161997059
Dominance,JaroSimilarity,15,2,1.4697236919459142E-4,0.0012611947748210263,8.645433482034789E-6,5.396204548746922E-4,0.0,0.001956433032372345
Dominance,JaroSimilarity,15,5,1.4697236919459142E-4,0.0012611947748210263,8.645433482034789E-6,7.080274947551091E-4,0.0,0.0021248400722527617
Dominance,JaroSimilarity,15,7,2.838087129274869E-4,0.003536249469230559,7.037186367251727E-4,0.0015155395201158798,0.0,0.006039316338999098
Dominance,JaroSimilarity,15,10,0.0012986282209776206,0.006387632729401361,0.0021200158863557556,0.0015155395201158798,3.21853878339234E-4,0.01164367023518985
Dominance,JaroSimilarity,15,0,7.899764844209289E-4,0.0013749251304868656,8.645433482034789E-6,4.237961280108259E-4,0.0,0.002597343176400655
Dominance,JaroSimilarity,20,2,1.4697236919459142E-4,0.0013440860215053765,0.0,5.396204548746922E-4,0.0,0.00203067884557466
Dominance,JaroSimilarity,20,5,1.4697236919459142E-4,0.0013440860215053765,0.0,8.166759084882686E-4,0.0,0.0023077342991882363
Dominance,JaroSimilarity,20,7,2.838087129274869E-4,0.0013440860215053765,0.0,0.0015095034971307044,0.0,0.003137398231563568
Dominance,JaroSimilarity,20,10,0.0012986282209776206,0.0013440860215053765,7.25135733305668E-4,0.004636084427449953,4.0844789798764696E-4,0.008412382301226266
Dominance,JaroSimilarity,20,0,0.0,0.0013440860215053765,1.2577886141104533E-4,0.003458987430494068,0.0,0.0049288523134104895
Dominance,JaroSimilarity,25,2,1.4697236919459142E-4,3.8402457757296467E-4,0.0,5.396204548746922E-4,0.0,0.0010706174016422484
Dominance,JaroSimilarity,25,5,1.4697236919459142E-4,0.001728110599078341,0.0,8.033942062810227E-4,0.0,0.002678477174553955
Dominance,JaroSimilarity,25,7,3.805953950800227E-4,0.001824116743471582,0.0,0.0012558911512772141,0.0,0.003460603289828819
Dominance,JaroSimilarity,25,10,0.0013954149031301564,0.001824116743471582,7.25135733305668E-4,0.004369271807030751,3.486750348675035E-4,0.008662614221805661
Dominance,JaroSimilarity,25,0,6.295952724524154E-4,0.001824116743471582,4.409171075837742E-4,3.6586913972842626E-4,3.486750348675035E-4,0.0036091732981037017
