recommender,similarity,neighbor_size,rec_size,Temporal-8-1-2,Temporal-8-2-3,Temporal-8-3-4,Temporal-8-4-5,Temporal-8-5-6,Temporal-8-6-7,Temporal-8-7-8,accum
Dominance,JaroSimilarity,10,2,0.0034129692832764505,4.0429984779299846E-4,0.0034174553101997893,0.0025771223379947596,6.963788300835655E-5,1.9444910749258574E-4,0.0,0.01007593376976494
Dominance,JaroSimilarity,10,5,0.0035196245733788395,0.0021981680800173954,0.0034174553101997893,0.002589789866053334,4.174271919559874E-4,1.9444910749258574E-4,0.0,0.012336914129097931
Dominance,JaroSimilarity,10,7,0.003832364003621927,0.012091623178951945,0.0034174553101997893,0.002589789866053334,7.502420094504706E-4,2.1689680435888725E-4,0.0,0.022898371172636354
Dominance,JaroSimilarity,10,10,0.005455894530736072,0.013225324103117901,0.0034638461062658503,0.003133031934719132,0.0037682659075503394,2.1689680435888725E-4,0.0,0.029263259386748182
Dominance,JaroSimilarity,10,0,1.0665529010238908E-4,0.0031040591828263063,0.0034174553101997893,0.0024915205574777247,0.001854336507751316,2.8682670165451347E-4,0.0,0.011260853550012039
Dominance,JaroSimilarity,15,2,0.0034129692832764505,0.0013318112633181126,2.628811777076761E-4,1.2840267077555212E-5,6.963788300835655E-5,0.0,0.0,0.005090139874388152
Dominance,JaroSimilarity,15,5,0.0035196245733788395,0.017379316905474205,0.001840168243953733,1.2840267077555212E-5,3.199185470158138E-4,3.357394661742488E-5,0.0,0.02310544248351757
Dominance,JaroSimilarity,15,7,0.003832364003621927,0.02432376134991865,0.001840168243953733,5.820921075158363E-4,3.2698838285422565E-4,5.60216434837264E-5,0.0,0.030961395731348096
Dominance,JaroSimilarity,15,10,0.005455894530736072,0.025223825562639798,0.001840168243953733,0.0030736126649935605,0.0020320352648590984,2.5047075097631215E-4,0.0,0.03787600701815858
Dominance,JaroSimilarity,15,0,3.4826217176290306E-5,0.006791987102459344,5.055407263609156E-4,2.1115105860868575E-4,2.878968756406082E-4,1.5226317627050004E-4,5.154639175257732E-5,0.00803521154826892
Dominance,JaroSimilarity,20,2,0.0034129692832764505,0.0,0.0,0.0,6.963788300835655E-5,0.0,0.0,0.003482607166284807
Dominance,JaroSimilarity,20,5,0.0035196245733788395,8.153946510110893E-5,0.003386528112822416,0.0,0.002921103965672211,0.0,0.0,0.009908796116974577
Dominance,JaroSimilarity,20,7,0.003832364003621927,8.153946510110893E-5,0.003386528112822416,0.0,0.002921103965672211,5.60216434837264E-5,0.0010309278350515464,0.011308485025752936
Dominance,JaroSimilarity,20,10,0.005455894530736072,2.304376187640035E-4,0.004154950016891008,6.013525081321691E-4,0.0029788195346076092,2.1689680435888725E-4,0.0012058466617835162,0.014844197675273266
Dominance,JaroSimilarity,20,0,2.4378352023403217E-4,1.4889815366289457E-4,1.8556318426424197E-4,1.0088781275221953E-4,1.8233855281209044E-4,4.40470354482471E-4,0.0014042807893161714,0.002706222367524121
Dominance,JaroSimilarity,25,2,0.0034129692832764505,0.0,0.0,0.0,8.494291224096239E-5,1.0491858317945274E-5,0.0,0.003508404053835358
Dominance,JaroSimilarity,25,5,0.0035196245733788395,8.153946510110893E-5,0.003386528112822416,0.0,2.3416694725886928E-4,1.0491858317945274E-5,0.0,0.007232350956879179
Dominance,JaroSimilarity,25,7,0.003797537786445636,8.153946510110893E-5,0.003386528112822416,0.0,2.918825161942677E-4,8.61978163768445E-5,0.0,0.007643685696940274
Dominance,JaroSimilarity,25,10,0.005421068313559781,2.304376187640035E-4,0.004154950016891008,6.013525081321691E-4,2.989523520326795E-4,1.0366842208274434E-4,7.470491558344539E-5,0.010885134147045832
Dominance,JaroSimilarity,25,0,3.199658703071672E-4,8.153946510110893E-5,2.3195398033030247E-4,3.2847194849559846E-5,1.3558864533794898E-4,2.8301468747212263E-4,0.0,0.00108490984339821
Dominance,JaroSimilarity,30,2,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,4.6860356138706655E-4,0.003881572844663517
Dominance,JaroSimilarity,30,5,0.0035196245733788395,8.153946510110893E-5,0.003386528112822416,0.0,0.0,0.001825155649889704,4.6860356138706655E-4,0.009281451362579136
Dominance,JaroSimilarity,30,7,0.003797537786445636,8.153946510110893E-5,0.003386528112822416,0.0,1.0534961788443684E-4,0.005696651369211511,4.6860356138706655E-4,0.013536209912852176
Dominance,JaroSimilarity,30,10,0.005421068313559781,6.924945876702874E-4,0.004154950016891008,6.013525081321691E-4,1.0534961788443684E-4,0.005973001627293592,4.6860356138706655E-4,0.01741682023281834
Dominance,JaroSimilarity,30,0,0.0036567528035104826,0.0,0.003865899672171708,6.863710278875844E-4,1.4660606949127694E-4,0.0011500549960605827,7.293524494331309E-4,0.010235037018554764
Dominance,JaroSimilarity,40,2,0.0,0.0,0.0,0.0,3.8835728250770027E-4,0.004136789851075565,5.542622769094336E-5,0.004580573361274209
Dominance,JaroSimilarity,40,5,1.0665529010238908E-4,8.153946510110893E-5,0.003591775729164316,4.553688038118467E-4,4.4891196338453206E-4,0.008184904721886885,0.002632745815319809,0.015501901788770886
Dominance,JaroSimilarity,40,7,1.407849829351536E-4,8.153946510110893E-5,0.00679274065772249,4.553688038118467E-4,5.579267330062509E-4,0.008184904721886885,0.002632745815319809,0.018846011179783545
Dominance,JaroSimilarity,40,10,0.0020080990302833303,6.659056316590563E-4,0.006897893128805562,9.390188637330931E-4,0.0011702611067579984,0.008957105494087658,0.002632745815319809,0.023271029070646508
Dominance,JaroSimilarity,40,0,2.4813679738106844E-4,1.4889815366289457E-4,0.0,6.581569197234038E-4,5.068477311594826E-4,0.004417597862062603,5.542622769094336E-5,0.0060350636916803955
Dominance,JaroSimilarity,50,2,0.0,0.0,0.0,9.141937725120218E-6,1.5305029232605835E-5,0.0,0.0,2.444696695772605E-5
Dominance,JaroSimilarity,50,5,1.0665529010238908E-4,8.153946510110893E-5,0.0035518696680322207,6.306789037170932E-4,6.595076232959241E-5,6.759561402488808E-5,2.8478669476562055E-5,0.0045327683727838545
Dominance,JaroSimilarity,50,7,3.8456850316918574E-4,8.153946510110893E-5,0.006854595052477238,6.306789037170932E-4,6.595076232959241E-5,6.759561402488808E-5,2.8478669476562055E-5,0.008113406970295669
Dominance,JaroSimilarity,50,10,0.0020080990302833303,6.659056316590563E-4,0.006959747523560309,6.81122810093203E-4,4.9604609083138E-4,6.759561402488808E-5,2.8478669476562055E-5,0.010906995369928731
Dominance,JaroSimilarity,50,0,2.4744027303754264E-4,0.0,0.0033972336811453527,4.220887308059899E-4,4.4639668595100346E-4,7.960124549084103E-5,1.1085245538188671E-4,0.0047036130718126155
Dominance,JaroSimilarity,5,2,0.004408717411879428,5.707762557077625E-4,0.0,0.0023868961590680156,6.632179334129194E-5,0.0,0.0,0.0074327116199964975
Dominance,JaroSimilarity,5,5,0.006276529383084292,0.0013101909506019094,2.8677946659019213E-4,0.0031655431241556587,9.266701983357104E-4,1.7136701919310613E-4,0.0,0.01213708014196087
Dominance,JaroSimilarity,5,7,0.008906091705479378,0.003593295973432959,2.8677946659019213E-4,0.003178210652214233,9.266701983357104E-4,1.7136701919310613E-4,0.0,0.01706241501524558
Dominance,JaroSimilarity,5,10,0.009635022578635726,0.004459831604748692,5.735589331803843E-4,0.003178210652214233,0.0037254498773382303,8.669929709551585E-4,0.0,0.022439066617072425
Dominance,JaroSimilarity,5,0,0.008109616910560495,0.001666926110419261,2.8677946659019213E-4,0.003368847352883616,1.6423901970329582E-4,6.493048508372635E-4,0.0,0.014245713710994125
Dominance,JaroSimilarity,60,2,0.0,0.0,0.0,9.141937725120218E-6,0.001392757660167131,1.3117384545955976E-4,2.1300161881230296E-5,0.0015543736052330414
Dominance,JaroSimilarity,60,5,1.0665529010238908E-4,8.153946510110893E-5,9.278159213212098E-5,6.306789037170932E-4,0.001392757660167131,2.0764507577694392E-4,1.8878376294734176E-4,0.0027008417499441288
Dominance,JaroSimilarity,60,7,0.0015222249309280024,8.153946510110893E-5,0.003758782595002134,6.306789037170932E-4,0.001850980959616057,2.0764507577694392E-4,1.8878376294734176E-4,0.00824063569308868
Dominance,JaroSimilarity,60,10,0.0023493959586109755,6.659056316590563E-4,0.006913356727494247,6.81122810093203E-4,0.0022498161077548263,2.0764507577694392E-4,1.8878376294734176E-4,0.013256026074336593
Dominance,JaroSimilarity,60,0,2.4378352023403217E-4,0.0,0.0031545741324921135,1.8797762796382117E-4,0.0015521732767183327,2.0122502388512242E-4,1.1205737337516808E-4,0.0054517909546685905
Dominance,JaroSimilarity,8,2,0.0034129692832764505,4.0429984779299846E-4,0.0034174553101997893,0.0025771223379947596,6.963788300835655E-5,0.0,0.0,0.009881484662272354
Dominance,JaroSimilarity,8,5,0.0035196245733788395,0.0021981680800173954,0.0034174553101997893,0.002589789866053334,4.345118757505242E-4,1.6087516087516087E-4,0.0,0.012320424866275045
Dominance,JaroSimilarity,8,7,0.003832364003621927,0.01258320081544667,0.0034174553101997893,0.002589789866053334,7.673266932450073E-4,1.6087516087516087E-4,0.0,0.023351011849441893
Dominance,JaroSimilarity,8,10,0.0077346478794828154,0.013225324103117901,0.0034638461062658503,0.003133031934719132,0.003792420427183288,1.962972146458385E-4,0.0,0.03154556766541483
Dominance,JaroSimilarity,8,0,0.0037921880925293897,0.009441590563165904,0.0031545741324921135,0.0026817467364044687,7.016962395857917E-4,4.8262548262548264E-4,0.0,0.02025442124680315
Dominance,LCS-Ponderado,10,2,6.258165692587926E-4,0.0,0.0032354606487098596,1.1844897536659461E-4,9.473261562398053E-5,5.0658034497972934E-5,4.6860356138706655E-4,0.004593720404844268
Dominance,LCS-Ponderado,10,5,8.358951709756195E-4,0.0048515981735159815,0.003337221104596703,0.0012262367232341032,2.570586832425273E-4,0.0020165820187705813,4.6860356138706655E-4,0.012993195435722584
Dominance,LCS-Ponderado,10,7,0.002115758652204288,0.0048515981735159815,0.004388745815427407,0.0012262367232341032,3.4907143132190154E-4,0.002788782790971353,5.43308476970512E-4,0.016263502063645546
Dominance,LCS-Ponderado,10,10,0.009332766615799282,0.00857881003879562,0.004388745815427407,0.0012262367232341032,8.58978056406346E-4,0.0038123019866853265,5.43308476970512E-4,0.028741147713318597
Dominance,LCS-Ponderado,10,0,0.005493176172113276,0.004715108199324995,0.003337221104596703,1.6413643729370968E-4,3.2055216475541134E-4,0.0027784086607616026,4.6860356138706655E-4,0.017277206300232762
Dominance,LCS-Ponderado,15,2,0.0,1.223091976516634E-4,3.943217665615142E-4,8.560178051703476E-5,2.509473261562398E-5,3.357394661742488E-5,0.0,6.609014239632612E-4
Dominance,LCS-Ponderado,15,5,6.011479987589203E-4,0.0050690367471189395,3.943217665615142E-4,2.5176994269716105E-4,2.5300053155206357E-4,5.0658034497972934E-5,5.542622769094336E-5,0.006675361248877515
Dominance,LCS-Ponderado,15,7,7.078032888613093E-4,0.0050690367471189395,3.943217665615142E-4,3.302382415044429E-4,3.367780862372438E-4,8.608008826865056E-5,5.542622769094336E-5,0.006979684446243044
Dominance,LCS-Ponderado,15,10,0.0034556811220633745,0.0050690367471189395,3.943217665615142E-4,3.630854363540028E-4,3.8742381933423037E-4,0.0028794040397635166,1.3013114327438874E-4,0.012679084074469967
Dominance,LCS-Ponderado,15,0,3.1673389181921606E-4,0.0039274842357034144,3.943217665615142E-4,2.5176994269716105E-4,3.316036530278991E-4,0.0019833360541325145,1.4940983116689077E-4,0.007354659375108611
