Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P1,RAWSEMAUX,FFT10,org,125,62,CART,0.416587283121922,0.419391900370161,0.31357586995264,0.289398523273352,0.327037455298325,0.265977305915608,0.348712103610331,0.379608165105122
P1,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.427516464339723,0.504480420498218,0.319149809440047,0.266515072617736,0.260375593949833,0.304872063900359,0.278103920078627,0.45709882368079
P1,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.43377836068514,0.56799401898355,0.306433201498052,0.282552052159895,0.169301548224124,0.294627376111918,0.209859850228825,0.381986086615221
P1,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.440711462450593,0.515202201223707,0.328066350114914,0.27925068994452,0.212864969536598,0.275366447181817,0.227354305398527,0.402890210161677
P1,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.352618442589786,0.491628787878788,0.372018386509932,0.369393303160785,0.361433126804747,0.280375200636372,0.287119758699239,0.392367566495625
P1,RAWSEMAUX,FFT10,org,125,62,LDA,0.345408307480581,0.33532727824528,0.280636279313546,0.275266078002554,0.321488428875971,0.30138105639439,0.31664958337168,0.317718051518769
P1,RAWSEMAUX,FFT10,org,125,62,LR,0.370969161795031,0.370698320017044,0.252439849485228,0.261953896170764,0.312398429980621,0.301202098105768,0.30777867965368,0.317845304542295
P1,RAWSEMAUX,FFT10,org,125,62,LSTM,0.275677673612611,0.306365420968446,0.303308258226291,0.315983232310159,0.210874597601268,0.236390461485675,0.257481230169949,0.273343766301513
P1,RAWSEMAUX,FFT10,org,125,62,MLP,0.39041350680551,0.420301416794988,0.262292839274547,0.336583938735323,0.265496283410771,0.277731489463505,0.324389686122491,0.391502833586088
P1,RAWSEMAUX,FFT10,org,125,62,SVC,0.369864832544577,0.377606530733253,0.245912143718165,0.258840134396796,0.333812752617187,0.248776213962067,0.314834384750245,0.351507076637284
P1,RAWSEMAUX,FFT10,org,125,62,SVM,0.166666666666667,0.166666666666667,0.170376655238936,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
P1,RAWSEMAUX,FFT10,org,125,62,XGB,0.382202678552593,0.554766772902462,0.274875204552281,0.259433268440407,0.251633927690266,0.220606850799553,0.334082164940351,0.446831734724862
P1,RAWSEMAUX,FFT10,org,125,125,CART,0.267618727598566,0.521489199952573,0.35901331969708,0.341213252977959,0.303933832261014,0.346844956015154,0.306156523215347,0.381767591020562
P1,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.425274766125361,0.499892114280604,0.317286988582832,0.318886198547215,0.304441084496087,0.281974907023831,0.250715534655084,0.430313410754895
P1,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.410878561725685,0.525401679214403,0.287118110647522,0.338573032347994,0.27276138425909,0.255277379649189,0.203902057934664,0.393070638682013
P1,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.212196871861099,0.522406691026368,0.323648929408092,0.285166310482766,0.222224094822485,0.286179855173164,0.22321778940484,0.405870752782505
P1,RAWSEMAUX,FFT10,org,125,125,KNC-3,0.350339252548597,0.510041913292034,0.425904370447143,0.398007499024448,0.347764006502679,0.288969257612254,0.329774224381415,0.376874569832316
P1,RAWSEMAUX,FFT10,org,125,125,LDA,0.343970803311463,0.354062636738973,0.311183562956613,0.327500890098398,0.345476358836869,0.282485272773841,0.349267104339568,0.352277726942999
P1,RAWSEMAUX,FFT10,org,125,125,LR,0.36480352303523,0.372753867033043,0.298398769827341,0.30316742081448,0.339682826276669,0.29062850390423,0.332289014927317,0.353159118724053
P1,RAWSEMAUX,FFT10,org,125,125,LSTM,0.258603148310046,0.23381175326835,0.31025641025641,0.324284212479129,0.212910735070284,0.246249710211305,0.235383591596159,0.269708890637293
P1,RAWSEMAUX,FFT10,org,125,125,MLP,0.417833800186741,0.406735830866969,0.28926790509069,0.25391859829946,0.286028487641391,0.260677389235264,0.350826776197133,0.39159645618839
P1,RAWSEMAUX,FFT10,org,125,125,SVC,0.363197314947783,0.379147580261097,0.302063580765061,0.307495666888456,0.310341028821057,0.294346088876855,0.327717372136783,0.336972884181622
P1,RAWSEMAUX,FFT10,org,125,125,SVM,0.166666666666667,0.166666666666667,0.195932160403381,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
